player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent,season,week
Adam Vinatieri,226,K,1,IND,75.6,4,4,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,1,1,100.0,2013,7
David Akers,295,K,1,DET,63.2,3,3,100.0,0,0,,0,0,,1,2,50.0,0,0,,0,0,,2013,7
Phil Dawson,422,K,1,SF,64.1,4,4,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2013,7
Rian Lindell,754,K,1,TB,65.2,2,2,100.0,0,0,,0,0,,2,2,100.0,1,1,100.0,0,0,,2013,7
Jay Feely,955,K,1,ARZ,70.9,1,1,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,1,1,100.0,2013,7
Rob Bironas,1218,K,1,TEN,61.7,2,2,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2013,7
Matt Bryant,1223,K,1,ATL,61.5,4,4,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2013,7
Billy Cundiff,1230,K,1,CLV,67.7,1,1,100.0,0,0,,0,0,,0,0,,2,2,100.0,0,0,,2013,7
Josh Brown,1520,K,1,NYG,63.4,2,2,100.0,0,0,,1,1,100.0,2,2,100.0,0,0,,0,0,,2013,7
Josh Scobee,1858,K,1,JAX,61.8,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,0,0,,2013,7
Mike Nugent,2264,K,1,CIN,65.7,3,3,100.0,0,0,,0,0,,0,0,,1,2,50.0,1,1,100.0,2013,7
Robbie Gould,2607,K,1,CHI,55.3,5,5,100.0,0,0,,0,0,,0,1,0.0,2,2,100.0,0,0,,2013,7
Nick Novak,2726,K,1,SD,61.2,3,3,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2013,7
Shaun Suisham,2796,K,1,PIT,74.0,1,1,100.0,0,0,,1,1,100.0,2,2,100.0,1,1,100.0,0,0,,2013,7
Stephen Gostkowski,3063,K,1,NE,73.3,3,3,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2013,7
Matt Prater,3471,K,1,DEN,81.7,3,3,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2013,7
Nick Folk,3794,K,1,NYJ,60.0,3,3,100.0,0,0,,0,0,,2,2,100.0,1,1,100.0,0,0,,2013,7
Mason Crosby,3809,K,1,GB,51.4,4,4,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,1,0.0,2013,7
Brandon Fields,3841,P,1,MIA,60.1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2013,7
Stephen Hauschka,4655,K,1,SEA,68.2,4,4,100.0,0,0,,0,0,,0,0,,1,1,100.0,1,1,100.0,2013,7
Dan Carpenter,4697,K,1,BUF,71.3,2,2,100.0,0,0,,1,1,100.0,2,2,100.0,0,0,,0,0,,2013,7
Ryan Succop,5180,K,1,KC,61.0,2,2,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2013,7
Graham Gano,5443,K,1,CAR,67.6,3,3,100.0,0,0,,0,0,,2,2,100.0,0,0,,1,1,100.0,2013,7
Alex Henery,6272,K,1,PHI,55.2,0,0,,0,0,,0,0,,1,1,100.0,0,0,,0,1,0.0,2013,7
Dan Bailey,6796,K,1,DAL,62.1,2,2,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2013,7
Kai Forbath,6860,K,1,WAS,62.7,6,6,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2013,7
Randy Bullock,7154,K,1,HST,69.0,1,1,100.0,0,0,,1,1,100.0,0,0,,2,2,100.0,0,0,,2013,7
Greg Zuerlein,7163,K,1,SL,63.9,1,1,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,0,0,,2013,7
Blair Walsh,7167,K,1,MIN,48.4,1,1,100.0,0,0,,0,0,,0,0,,0,0,,0,1,0.0,2013,7
Justin Tucker,7604,K,1,BLT,66.5,1,1,100.0,0,0,,0,0,,2,2,100.0,1,1,100.0,0,0,,2013,7
Caleb Sturgis,7948,K,1,MIA,48.3,2,2,100.0,0,0,,0,0,,0,0,,0,0,,0,1,0.0,2013,7
