player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Antonio Brown,5718,WR,1,PIT,16,8,50.0,101,1,78.0,76.7,35.7,70.1,,12.6,22,2.8,24,6,2,0,0,1,90.9,0,0,2017,13
A.J. Green,6156,WR,1,CIN,15,7,46.7,77,2,84.0,84.5,54.5,70.1,,11.0,13,1.9,17,6,1,0,0,0,101.9,1,0,2017,13
DeAndre Hopkins,7808,WR,1,HST,14,8,57.1,80,0,70.7,69.6,77.3,70.6,,10.0,27,3.4,17,5,0,1,0,1,43.8,0,0,2017,13
Keenan Allen,7857,WR,1,LAC,14,10,71.4,105,1,78.7,76.8,78.0,19.8,,10.5,39,3.9,26,7,0,0,1,0,116.7,0,0,2017,13
Stephen Anderson,11160,TE,1,HST,12,5,41.7,79,1,61.3,62.2,29.2,68.0,60.5,15.8,15,3.0,25,4,2,0,0,0,92.0,0,0,2017,13
Robby Anderson,11254,WR,1,NYJ,12,8,66.7,107,0,89.0,87.2,76.5,70.1,,13.4,44,5.5,26,6,0,0,0,1,94.8,0,0,2017,13
Kenny Stills,7926,WR,1,MIA,12,5,41.7,98,1,75.2,80.2,73.4,16.0,,19.6,4,0.8,23,4,0,1,1,1,63.9,1,0,2017,13
Rob Gronkowski,5567,TE,1,NE,11,9,81.8,147,0,82.7,90.1,78.0,71.1,70.6,16.3,37,4.1,30,7,0,1,0,0,80.9,4,1,2017,13
Josh Gordon,7618,WR,1,CLV,11,4,36.4,85,0,79.6,78.7,72.1,67.0,,21.3,27,6.8,39,2,0,0,0,2,64.6,0,0,2017,13
Nelson Agholor,9453,WR,1,PHI,11,7,63.6,141,1,76.4,75.8,75.6,69.5,,20.1,29,4.1,51,5,0,1,0,0,99.6,0,0,2017,13
Larry Fitzgerald,1724,WR,1,ARZ,10,10,100.0,98,1,76.0,75.8,78.7,71.5,,9.8,30,3.0,20,7,0,0,0,2,140.8,0,0,2017,13
Golden Tate,5585,WR,1,DET,10,8,80.0,69,0,68.6,66.5,35.7,70.1,,8.6,43,5.4,24,3,2,1,0,0,55.8,0,0,2017,13
Demaryius Thomas,5547,WR,1,DEN,10,2,20.0,27,0,47.9,47.8,27.3,64.0,,13.5,5,2.5,20,1,2,1,0,0,0.0,0,0,2017,13
Jermaine Kearse,7428,WR,1,NYJ,9,9,100.0,157,0,91.6,91.4,77.3,70.6,,17.4,80,8.9,51,6,0,0,0,2,118.8,0,0,2017,13
Dede Westbrook,11865,WR,1,JAX,9,6,66.7,78,0,62.2,64.1,49.2,68.8,,13.0,24,4.0,22,3,1,0,0,1,93.8,1,0,2017,13
Marqise Lee,8674,WR,1,JAX,9,7,77.8,86,1,82.8,83.8,75.6,69.5,,12.3,9,1.3,22,5,0,0,0,1,143.5,1,0,2017,13
Marquise Goodwin,7859,WR,1,SF,8,8,100.0,99,0,77.9,77.5,76.5,70.1,,12.4,13,1.6,20,6,0,0,0,2,118.2,2,1,2017,13
Mike Wallace,5007,WR,1,BLT,8,5,62.5,116,0,75.1,74.1,73.4,68.0,,23.2,32,6.4,66,3,0,0,0,1,106.3,0,0,2017,13
