player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Phil Dawson,422,K,1,ARZ,0,1,0,0,0,1,60.0,60.0,,,,54.4,0,0,0,0,0,2017,7
Julius Peppers,1010,ED,1,CAR,0,0,0,0,4,0,60.1,,,,,,0,0,0,0,0,2017,7
Matt Bryant,1223,K,1,ATL,0,0,0,0,0,3,60.0,,,,,44.7,0,0,0,0,0,2017,7
Jason Witten,1384,TE,1,DAL,1,0,0,0,0,5,60.2,,,,,,0,0,0,0,0,2017,7
Karlos Dansby,1754,LB,1,ARZ,0,0,0,0,6,0,60.2,,,,,,0,0,0,0,0,2017,7
Andy Lee,1906,P,1,ARZ,0,0,0,6,0,1,60.1,,,51.6,,,0,0,0,0,0,2017,7
Donnie Jones,1939,P,1,PHI,0,0,0,3,0,7,60.8,,,61.3,,,0,0,0,0,0,2017,7
Mike Adams,1972,S,1,CAR,0,0,0,0,4,0,60.1,,,,,,0,0,0,0,0,2017,7
Thomas Davis Sr.,2231,LB,1,CAR,0,0,0,0,4,0,60.0,,,,,,0,0,0,0,0,2017,7
Richie Incognito,2298,G,1,BUF,0,0,0,0,0,7,61.0,,,,,,0,0,0,0,0,2017,7
Dustin Colquitt,2316,P,1,KC,0,0,0,3,0,6,60.7,,,58.7,,,0,0,0,0,0,2017,7
Joe Berger,2424,G,1,MIN,0,0,0,0,0,7,60.7,,,,,,0,0,0,0,0,2017,7
Lorenzo Alexander,2476,ED,1,BUF,0,7,2,2,5,0,70.0,,,,,,0,0,0,0,0,2017,7
Jon Condo,2539,LS,1,OAK,0,0,0,4,0,7,65.0,,,,,,0,0,0,0,0,2017,7
John Denney,2561,LS,1,MIA,0,0,0,6,0,5,61.0,,,,,,0,0,0,0,0,2017,7
Robbie Gould,2607,K,1,SF,0,0,0,0,0,2,60.0,,,,,63.9,0,0,0,0,0,2017,7
L.P. Ladouceur,2687,LS,1,DAL,0,0,0,3,0,5,64.2,,,,,,0,0,0,0,0,2017,7
Nick Novak,2726,K,1,LAC,0,4,0,0,0,3,60.0,60.0,,,,63.5,0,0,0,0,0,2017,7
Marcedes Lewis,2973,TE,1,JAX,0,0,0,0,0,5,60.4,,,,,,0,0,0,0,0,2017,7
