player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Adam Vinatieri,226,K,1,IND,0,0,0,0,0,3,60.0,,,,,66.9,0,0,0,0,0,2017,10
Phil Dawson,422,K,1,ARZ,0,4,0,0,0,3,60.0,60.0,,,,64.2,0,0,0,0,0,2017,10
Shane Lechler,673,P,1,HST,0,0,0,7,0,2,60.3,,,69.7,,,0,0,0,0,0,2017,10
Julius Peppers,1010,ED,1,CAR,0,0,2,0,3,0,59.9,,,,,,0,0,0,0,0,2017,10
Matt Bryant,1223,K,1,ATL,0,0,0,0,0,5,60.0,,,,,69.0,0,0,0,0,0,2017,10
Jason Witten,1384,TE,1,DAL,0,0,0,0,0,2,60.0,,,,,,0,0,0,0,0,2017,10
Ben Roethlisberger,1732,QB,1,PIT,0,0,0,0,0,0,60.0,,,,,,1,0,0,0,0,2017,10
Karlos Dansby,1754,LB,1,ARZ,0,0,0,0,4,0,60.1,,,,,,0,0,0,0,0,2017,10
Andy Lee,1906,P,1,ARZ,0,1,0,5,0,3,60.4,60.0,,66.4,,,0,0,0,0,0,2017,10
Mike Adams,1972,S,1,CAR,0,0,2,0,3,0,60.4,,,,,,0,0,0,0,0,2017,10
Don Muhlbach,2130,LS,1,DET,0,0,0,4,0,6,60.5,,,,,,0,0,0,0,0,2017,10
Adam Jones,2223,CB,1,CIN,0,0,2,0,0,0,60.0,,,,62.2,,0,0,0,0,0,2017,10
Thomas Davis Sr.,2231,LB,1,CAR,0,0,0,0,2,0,60.0,,,,,,0,0,0,0,0,2017,10
Mike Nugent,2264,K,1,DAL,0,2,0,0,0,2,60.0,60.0,,,,44.8,0,0,0,0,0,2017,10
Richie Incognito,2298,G,1,BUF,0,0,0,0,0,2,60.2,,,,,,0,0,0,0,0,2017,10
Joe Berger,2424,G,1,MIN,0,0,0,0,0,6,60.5,,,,,,0,0,0,0,0,2017,10
Lorenzo Alexander,2476,ED,1,BUF,0,3,0,6,8,0,46.6,,,,,,1,0,0,0,0,2017,10
John Denney,2561,LS,1,MIA,0,0,0,4,0,3,63.9,,,,,,0,0,0,0,0,2017,10
Robbie Gould,2607,K,1,SF,0,0,0,0,0,5,60.0,,,,,66.9,0,0,0,0,0,2017,10
L.P. Ladouceur,2687,LS,1,DAL,0,0,0,4,0,2,58.6,,,,,,0,0,0,0,0,2017,10
Nick Novak,2726,K,1,LAC,0,5,0,0,0,3,60.0,60.0,,,,68.1,0,0,0,0,0,2017,10
Ahmad Brooks,2945,ED,1,GB,0,0,0,0,1,0,59.9,,,,,,0,0,0,0,0,2017,10
Johnathan Joseph,2969,CB,1,HST,0,0,0,0,5,0,60.1,,,,,,0,0,0,0,0,2017,10
Marcedes Lewis,2973,TE,1,JAX,0,0,0,0,0,3,60.2,,,,,,0,0,0,0,0,2017,10
Kellen Clemens,2994,QB,1,LAC,0,0,0,0,0,3,60.0,,,,,,0,0,0,0,0,2017,10
Anthony Fasano,2998,TE,1,MIA,0,0,0,0,0,3,60.2,,,,,,0,0,0,0,0,2017,10
Andrew Whitworth,3000,T,1,LA,0,0,0,0,0,7,61.0,,,,,,0,0,0,0,0,2017,10
Darryl Tapp,3008,ED,1,TB,0,0,2,0,2,0,60.5,,,,,,0,0,0,0,0,2017,10
Eric Winston,3011,T,1,CIN,0,0,0,0,0,3,60.1,,,,,,0,0,0,0,0,2017,10
Frostee Rucker,3036,DI,1,ARZ,0,0,0,0,4,0,59.7,,,,,,0,0,0,0,0,2017,10
Jahri Evans,3053,G,1,GB,0,0,0,0,0,6,47.3,,,,,,0,0,0,0,0,2017,10
Stephen Gostkowski,3063,K,1,NE,0,8,0,0,0,7,60.1,57.7,,,,65.8,0,0,0,0,0,2017,10
