player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Julio Jones,6158,WR,1,ATL,16,9,56.3,92,1,77.6,76.7,38.7,70.6,,10.2,28,3.1,21,5,2,0,0,1,93.8,0,0,2015,7
Rob Gronkowski,5567,TE,1,NE,15,11,73.3,108,1,73.5,73.3,61.2,71.8,67.8,9.8,57,5.2,26,5,1,0,0,0,115.4,0,0,2015,7
Nate Washington,2832,WR,1,HST,14,9,64.3,127,2,80.8,79.8,56.7,70.6,,14.1,38,4.2,27,8,1,0,0,0,133.0,0,0,2015,7
T.Y. Hilton,7092,WR,1,IND,13,4,30.8,150,2,73.0,71.8,72.1,67.0,,37.5,52,13.0,87,3,0,1,0,0,83.3,0,0,2015,7
Jordan Reed,7866,TE,1,WAS,13,11,84.6,72,2,91.3,90.2,78.7,71.5,73.7,6.5,34,3.1,13,4,0,0,0,2,129.3,0,0,2015,7
Robert Woods,7822,WR,1,BUF,13,9,69.2,84,1,81.0,82.6,77.3,70.6,,9.3,8,0.9,16,5,0,1,0,1,80.3,1,0,2015,7
Keenan Allen,7857,WR,1,SD,12,9,75.0,89,0,59.6,57.9,78.7,71.5,,9.9,20,2.2,18,2,0,1,0,0,60.8,1,0,2015,7
Danny Woodhead,4914,HB,1,SD,12,11,91.7,75,2,71.2,70.8,78.7,74.1,77.0,6.8,86,7.8,11,4,0,0,0,2,132.3,0,0,2015,7
Mike Evans,8642,WR,1,TB,11,8,72.7,164,1,92.6,92.9,77.3,70.6,,20.5,30,3.8,40,8,0,0,0,1,145.1,1,0,2015,7
DeAndre Hopkins,7808,WR,1,HST,11,6,54.5,50,0,62.1,61.5,74.6,16.9,,8.3,12,2.0,11,5,0,0,1,1,66.5,0,0,2015,7
Brandin Cooks,8655,WR,1,NO,11,6,54.5,81,0,67.3,66.9,75.6,69.5,,13.5,40,6.7,47,2,0,0,1,0,78.2,0,0,2015,7
Chris Hogan,6468,WR,1,BUF,10,6,60.0,56,0,62.9,62.4,49.2,68.8,,9.3,20,3.3,14,3,1,1,0,1,35.8,0,0,2015,7
Eric Decker,5611,WR,1,NYJ,10,6,60.0,94,0,71.3,68.9,49.7,68.8,,15.7,21,3.5,24,5,1,0,0,0,91.3,0,0,2015,7
Allen Robinson II,8696,WR,1,JAX,9,6,66.7,98,1,91.8,91.0,74.6,68.8,,16.3,15,2.5,23,6,0,1,0,0,100.5,0,0,2015,7
Delanie Walker,3120,TE,1,TEN,9,7,77.8,55,0,71.5,70.3,75.6,69.5,69.6,7.9,21,3.0,12,3,0,0,0,0,92.1,0,0,2015,7
Dexter McCluster,5561,HB,1,TEN,8,6,75.0,48,0,63.3,66.2,52.1,72.9,82.0,8.0,42,7.0,14,4,1,0,0,2,89.6,0,0,2015,7
Jason Witten,1384,TE,1,DAL,8,6,75.0,73,0,83.2,78.3,74.6,68.8,75.8,12.2,24,4.0,35,4,0,0,0,1,102.6,0,0,2015,7
Michael Crabtree,4933,WR,1,OAK,8,6,75.0,63,1,69.4,67.4,49.2,68.8,,10.5,31,5.2,25,3,1,0,0,1,137.0,0,0,2015,7
Antonio Brown,5718,WR,1,PIT,8,6,75.0,124,0,85.9,86.7,74.6,71.1,,20.7,10,1.7,41,5,0,1,0,0,77.1,0,0,2015,7
Steve Johnson,4538,WR,1,SD,8,4,50.0,50,0,53.3,53.1,72.1,15.2,70.2,12.5,11,2.8,23,3,0,1,1,0,30.2,0,0,2015,7
Kendall Wright,7026,WR,1,TEN,8,4,50.0,46,1,58.3,58.1,41.6,67.0,,11.5,4,1.0,19,2,1,1,0,0,67.7,0,0,2015,7
Brandon LaFell,5602,WR,1,NE,8,2,25.0,25,0,37.4,39.0,24.4,64.0,,12.5,6,3.0,19,0,5,0,0,0,40.1,0,0,2015,7
Danny Amendola,4717,WR,1,NE,8,8,100.0,86,1,77.2,78.1,76.5,73.8,,10.8,15,1.9,23,5,0,0,0,1,151.0,0,0,2015,7
Zach Ertz,7816,TE,1,PHI,8,5,62.5,63,0,71.0,66.3,45.8,68.0,61.8,12.6,10,2.0,24,5,1,0,0,0,87.0,0,0,2015,7
Darren Sproles,2347,HB,1,PHI,7,5,71.4,31,0,54.3,50.7,45.8,72.0,76.7,6.2,32,6.4,9,2,1,0,0,0,80.1,0,0,2015,7
Duke Johnson Jr.,9510,HB,1,CLV,7,7,100.0,73,0,67.0,91.0,75.6,73.5,69.2,10.4,68,9.7,21,4,0,0,0,2,110.1,0,0,2015,7
Steve Smith,837,WR,1,BLT,7,5,71.4,78,0,81.3,77.2,75.6,69.5,,15.6,33,6.6,29,4,1,0,0,1,108.0,0,0,2015,7
Anquan Boldin,1369,WR,1,SF,7,3,42.9,39,0,64.0,63.7,70.5,65.8,,13.0,11,3.7,27,1,0,0,0,0,61.0,0,0,2015,7
Gary Barnidge,4455,TE,1,CLV,7,6,85.7,101,0,87.1,88.7,74.6,68.8,71.1,16.8,46,7.7,28,5,0,0,0,1,118.8,1,0,2015,7
Branden Oliver,9286,HB,1,SD,7,6,85.7,39,0,74.1,72.1,74.6,74.5,50.0,6.5,47,7.8,14,2,0,0,0,0,89.9,0,0,2015,7
Ladarius Green,7110,TE,1,SD,7,4,57.1,45,1,60.7,62.1,52.1,69.5,30.1,11.3,37,9.3,31,2,1,0,0,1,116.1,0,0,2015,7
Arian Foster,5398,HB,1,HST,7,5,71.4,66,1,70.5,69.6,45.8,77.3,81.1,13.2,42,8.4,26,3,1,0,0,1,140.5,0,0,2015,7
Julian Edelman,5156,WR,1,NE,7,5,71.4,54,0,57.6,59.3,29.7,71.6,,10.8,7,1.4,27,3,2,0,0,0,93.8,0,0,2015,7
Allen Hurns,8931,WR,1,JAX,7,2,28.6,53,1,76.0,75.2,70.5,65.8,,26.5,6,3.0,31,2,0,0,0,0,98.2,0,0,2015,7
Martavis Bryant,8753,WR,1,PIT,7,3,42.9,45,1,71.6,69.2,70.5,67.4,,15.0,16,5.3,19,3,0,1,0,0,64.6,0,0,2015,7
Stefon Diggs,9579,WR,1,MIN,7,6,85.7,108,1,86.5,84.2,74.6,69.8,,18.0,38,6.3,36,5,0,0,0,1,158.3,0,0,2015,7
Brandon Marshall,3064,WR,1,NYJ,7,4,57.1,67,0,59.6,61.0,28.6,67.0,,16.8,23,5.8,29,4,2,0,0,1,89.6,1,0,2015,7
Chris Gragg,8004,TE,1,BUF,7,2,28.6,35,0,58.4,47.5,68.3,64.0,76.1,17.5,4,2.0,29,1,0,0,0,0,47.9,0,0,2015,7
Chris Conley,9509,WR,1,KC,7,6,85.7,63,1,81.3,80.9,74.6,68.8,,10.5,30,5.0,25,4,0,0,0,1,143.8,0,0,2015,7
Crockett Gillmore,8734,TE,1,BLT,7,5,71.4,53,0,74.0,70.4,74.9,68.4,79.2,10.6,20,4.0,23,2,0,1,0,1,53.6,0,0,2015,7
Ted Ginn Jr.,3625,WR,1,CAR,7,5,71.4,59,0,72.0,67.9,73.4,70.6,,11.8,32,6.4,20,3,0,1,0,0,57.1,0,0,2015,7
Tavon Austin,7789,WR,1,SL,7,4,57.1,43,0,72.7,66.0,72.1,71.4,,10.8,34,8.5,20,2,0,0,0,1,75.3,0,0,2015,7
C.J. Spiller,5534,HB,1,NO,6,6,100.0,32,0,63.0,81.2,74.6,72.0,,5.3,55,9.2,17,3,0,0,0,1,88.9,0,0,2015,7
Travis Kelce,7844,TE,1,KC,6,5,83.3,73,0,79.9,81.5,73.4,68.0,71.7,14.6,23,4.6,26,3,0,0,0,0,117.4,0,0,2015,7
Frank Gore,2282,HB,1,IND,6,5,83.3,32,0,58.9,59.2,46.3,74.3,78.2,6.4,22,4.4,10,1,1,0,0,1,88.9,0,0,2015,7
Travis Benjamin,7100,WR,1,CLV,6,4,66.7,47,0,60.8,62.9,73.4,18.6,,11.8,11,2.8,21,2,0,0,1,1,90.3,0,0,2015,7
Willie Snead IV,8999,WR,1,NO,6,3,50.0,25,0,50.0,51.2,70.5,65.8,,8.3,3,1.0,11,0,0,0,0,0,61.1,1,0,2015,7
Jacob Tamme,4441,TE,1,ATL,6,3,50.0,36,0,56.9,56.9,70.5,65.8,48.8,12.0,18,6.0,24,1,0,1,0,0,29.2,0,0,2015,7
Pierre Garcon,4519,WR,1,WAS,6,5,83.3,55,0,68.1,67.2,73.4,68.0,,11.0,17,3.4,21,4,0,0,0,0,104.9,0,0,2015,7
Amari Cooper,9437,WR,1,OAK,6,5,83.3,133,1,91.3,91.0,73.4,68.0,,26.6,63,12.6,52,4,0,0,0,2,158.3,0,0,2015,7
Golden Tate,5585,WR,1,DET,6,2,33.3,14,0,49.2,47.1,29.9,67.1,61.6,7.0,6,3.0,11,0,1,0,0,0,42.4,0,0,2015,7
Terrance Williams,7855,WR,1,DAL,6,4,66.7,70,0,63.8,62.9,72.1,67.0,,17.5,10,2.5,27,3,0,2,0,0,66.7,0,0,2015,7
Andre Roberts,5612,WR,1,WAS,6,3,50.0,49,0,63.6,63.0,70.5,65.8,,16.3,21,7.0,38,1,0,0,0,1,77.8,0,0,2015,7
Donte Moncrief,8725,WR,1,IND,6,4,66.7,34,1,60.2,59.8,45.8,68.0,,8.5,24,6.0,12,2,0,1,0,1,81.3,0,0,2015,7
Miles Austin,3211,WR,1,PHI,6,4,66.7,52,0,62.1,59.7,42.1,67.0,,13.0,29,7.3,22,3,1,0,0,0,93.8,0,0,2015,7
Jordan Matthews,8677,WR,1,PHI,6,3,50.0,14,0,42.6,42.9,28.0,65.8,,4.7,1,0.3,7,0,2,1,0,0,16.7,0,0,2015,7
Jarius Wright,7118,WR,1,MIN,6,3,50.0,31,0,55.1,55.3,28.0,65.8,,10.3,4,1.3,16,2,2,0,0,0,65.3,0,0,2015,7
Odell Beckham Jr.,8647,WR,1,NYG,6,4,66.7,35,0,64.0,63.1,42.1,67.0,,8.8,5,1.3,10,2,0,0,0,0,81.9,0,0,2015,7
Calvin Johnson,3618,WR,1,DET,6,5,83.3,86,1,90.1,88.9,74.6,68.8,,17.2,18,3.6,46,4,0,0,0,0,158.3,0,0,2015,7
Coby Fleener,7038,TE,1,IND,5,3,60.0,47,0,64.7,64.7,70.5,65.8,74.4,15.7,7,2.3,27,2,0,0,0,0,91.3,0,0,2015,7
Jarvis Landry,8698,WR,1,MIA,5,5,100.0,83,2,95.4,94.7,73.4,75.4,,16.6,75,15.0,50,3,0,0,0,3,158.3,0,0,2015,7
Reggie Bush,2947,HB,1,SF,5,3,60.0,13,0,56.3,71.6,70.5,71.8,17.6,4.3,24,8.0,8,1,0,0,0,0,64.6,0,0,2015,7
Greg Olsen,3647,TE,1,CAR,5,3,60.0,65,0,72.1,72.1,70.5,65.8,74.3,21.7,33,11.0,28,2,0,0,0,0,104.2,0,0,2015,7
Eric Ebron,8645,TE,1,DET,5,5,100.0,89,1,62.5,75.2,74.6,68.8,19.5,17.8,61,12.2,55,3,0,0,0,1,158.3,1,0,2015,7
Kyle Juszczyk,7912,FB,1,BLT,5,4,80.0,15,1,70.4,89.0,72.1,67.0,77.7,3.8,13,3.3,11,2,0,0,0,0,118.8,1,0,2015,7
Jimmy Graham,5619,TE,1,SEA,5,2,40.0,31,0,55.4,57.7,68.3,64.0,,15.5,9,4.5,23,1,0,0,0,0,61.3,0,0,2015,7
John Brown,8726,WR,1,ARZ,5,4,80.0,65,1,75.7,72.7,72.1,67.0,,16.3,13,3.3,35,4,0,0,0,1,158.3,0,0,2015,7
Tyler Lockett,9502,WR,1,SEA,5,5,100.0,79,1,75.3,74.2,73.4,74.9,,15.8,18,3.6,43,3,0,0,0,0,158.3,0,0,2015,7
Michael Hoomanawanui,5655,TE,1,NO,5,5,100.0,31,1,73.0,76.2,73.4,68.0,80.2,6.2,15,3.0,16,1,0,0,0,0,132.1,1,0,2015,7
Nick Williams,8005,WR,1,ATL,5,3,60.0,43,0,61.5,60.8,36.8,65.8,,14.3,16,5.3,21,2,1,0,0,0,87.9,0,0,2015,7
Julius Thomas,6281,TE,1,JAX,5,1,20.0,4,0,59.9,59.5,68.3,64.0,71.6,4.0,0,0.0,4,0,0,0,0,0,39.6,0,0,2015,7
Marlon Brown,8179,WR,1,BLT,5,3,60.0,22,0,52.1,52.7,36.2,65.8,65.7,7.3,12,4.0,10,1,1,0,0,0,70.4,0,0,2015,7
Jamison Crowder,9538,WR,1,WAS,5,5,100.0,48,0,73.7,72.5,74.6,70.3,,9.6,13,2.6,18,3,0,0,0,0,106.7,0,0,2015,7
Mike Wallace,5007,WR,1,MIN,5,4,80.0,36,0,67.4,67.3,72.1,67.0,,9.0,9,2.3,17,3,0,0,0,0,96.7,0,0,2015,7
James White,8765,HB,1,NE,5,3,60.0,26,0,60.3,53.2,36.8,68.7,85.3,8.7,25,8.3,12,1,1,0,0,3,73.8,0,0,2015,7
Benjamin Watson,1753,TE,1,NO,5,4,80.0,59,0,68.7,68.4,72.1,67.0,,14.8,16,4.0,25,3,0,0,0,0,115.8,0,0,2015,7
Albert Wilson,8943,WR,1,KC,5,3,60.0,71,0,67.1,66.1,36.2,65.8,,23.7,41,13.7,40,3,1,0,0,3,104.2,0,0,2015,7
Larry Fitzgerald,1724,WR,1,ARZ,5,3,60.0,39,0,67.3,66.0,70.5,65.8,56.5,13.0,24,8.0,16,2,0,0,0,1,84.6,0,0,2015,7
Larry Donnell,7638,TE,1,NYG,5,4,80.0,18,0,69.2,71.5,72.1,67.0,69.0,4.5,6,1.5,10,2,0,0,0,0,81.7,0,0,2015,7
Todd Gurley II,9443,HB,1,SL,5,4,80.0,35,0,90.7,71.3,72.1,77.5,68.8,8.8,39,9.8,24,1,0,0,0,0,95.8,0,0,2015,7
Jermaine Gresham,5546,TE,1,ARZ,5,4,80.0,62,0,79.3,88.5,72.1,67.0,73.2,15.5,31,7.8,21,3,0,0,0,0,118.3,1,0,2015,7
