player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Eli Manning,1722,QB,1,NYG,53,52,24,46.2,334,6.4,2,3,66.5,68.2,,81.0,1,1,4,4,0,56.1,0,17,2013,5
Philip Rivers,1725,QB,1,SD,50,48,35,72.9,411,8.6,2,3,69.6,69.8,,80.8,2,0,1,1,0,86.4,0,21,2013,5
Matt Ryan,4317,QB,1,ATL,47,45,36,80.0,319,7.1,2,0,74.8,73.4,,80.6,2,1,1,0,1,111.0,0,20,2013,5
Peyton Manning,327,QB,1,DEN,42,42,33,78.6,414,9.9,4,1,79.0,82.5,45.0,80.6,0,0,2,2,0,129.6,0,21,2013,5
Ryan Fitzpatrick,2467,QB,1,TEN,49,41,21,51.2,247,6.0,1,2,60.2,56.3,71.9,80.7,3,0,5,1,0,57.7,5,14,2013,5
Matthew Stafford,4924,QB,1,DET,45,40,25,62.5,262,6.6,1,0,68.9,68.8,63.8,80.2,5,0,5,0,0,89.8,0,12,2013,5
Ryan Tannehill,7014,QB,1,MIA,46,40,21,52.5,307,7.7,1,0,85.0,83.6,59.8,80.4,6,1,6,1,1,86.1,0,9,2013,5
Cam Newton,6153,QB,1,CAR,46,39,21,53.8,308,7.9,0,3,63.3,61.0,66.7,80.8,7,0,4,3,0,47.8,0,15,2013,5
Alex Smith,2218,QB,1,KC,44,39,20,51.3,245,6.3,0,1,59.1,59.2,57.3,80.0,2,1,1,1,1,60.3,3,11,2013,5
Tom Brady,698,QB,1,NE,42,38,18,47.4,197,5.2,0,1,45.8,46.3,,42.8,4,0,6,0,0,52.2,0,9,2013,5
Tony Romo,1693,QB,1,DAL,41,36,25,69.4,506,14.1,5,1,93.8,93.7,51.3,79.8,4,0,2,0,0,140.0,1,21,2013,5
Matt Schaub,1811,QB,1,HST,36,35,19,54.3,173,4.9,0,3,28.4,28.9,,78.7,1,0,1,1,0,32.2,0,8,2013,5
Drew Brees,802,QB,1,NO,36,35,29,82.9,288,8.2,2,0,85.7,85.6,56.7,78.8,1,0,2,1,0,120.0,0,10,2013,5
Sam Bradford,5526,QB,1,SL,38,34,19,55.9,222,6.5,3,0,61.5,64.8,47.1,41.5,2,1,3,1,0,105.3,2,12,2013,5
Jay Cutler,2956,QB,1,CHI,38,33,24,72.7,358,10.8,2,0,70.2,69.4,61.5,28.6,3,0,2,0,0,128.1,2,17,2013,5
Joe Flacco,4332,QB,1,BLT,35,32,19,59.4,269,8.4,0,1,71.4,70.3,60.2,79.0,2,1,0,0,1,73.6,1,13,2013,5
Russell Wilson,7077,QB,1,SEA,42,31,15,48.4,210,6.8,2,1,67.3,60.2,74.0,80.2,2,2,2,0,0,78.7,9,15,2013,5
Aaron Rodgers,2241,QB,1,GB,33,30,20,66.7,274,9.1,1,0,84.1,88.6,52.8,79.1,1,0,2,2,0,106.8,2,12,2013,5
Andrew Luck,7007,QB,1,IND,33,29,16,55.2,229,7.9,2,0,86.2,86.6,55.7,79.0,2,0,4,1,0,104.0,2,12,2013,5
Carson Palmer,1317,QB,1,ARZ,30,28,19,67.9,175,6.3,1,3,62.7,62.6,57.9,78.5,2,0,1,0,1,57.0,0,9,2013,5
Andy Dalton,6187,QB,1,CIN,33,27,20,74.1,212,7.9,0,1,65.2,63.7,62.5,78.9,4,0,2,0,0,81.1,2,14,2013,5
Nick Foles,7089,QB,1,PHI,26,25,16,64.0,197,7.9,2,0,83.1,84.5,53.7,78.0,1,0,3,3,0,114.9,0,9,2013,5
Brandon Weeden,7028,QB,1,CLV,29,24,13,54.2,197,8.2,1,0,84.3,87.4,49.5,78.1,5,0,4,2,1,95.3,0,9,2013,5
Terrelle Pryor Sr.,6944,QB,1,OAK,29,23,18,78.3,221,9.6,2,0,75.5,79.4,57.0,42.5,4,0,0,1,0,135.7,2,12,2013,5
E.J. Manuel,7797,QB,1,BUF,23,20,11,55.0,129,6.5,0,0,63.7,57.5,69.8,75.9,2,0,2,1,1,74.8,1,8,2013,5
Geno Smith,7820,QB,1,NYJ,26,20,16,80.0,199,10.0,3,0,78.6,79.4,58.5,76.9,4,1,0,0,0,147.7,2,11,2013,5
Jeff Tuel,8508,QB,1,BUF,22,20,8,40.0,80,4.0,0,1,32.4,33.9,,75.9,2,0,1,0,3,31.3,0,3,2013,5
Blaine Gabbert,6162,QB,1,JAX,22,19,9,47.4,181,9.5,1,2,26.5,27.4,50.2,19.5,2,0,0,1,0,59.2,1,6,2013,5
Colin Kaepernick,6188,QB,1,SF,17,15,6,40.0,113,7.5,1,0,73.4,68.8,65.6,74.5,1,2,0,0,0,89.0,1,6,2013,5
Michael Vick,773,QB,1,PHI,16,14,6,42.9,105,7.5,0,0,81.3,68.8,84.3,76.1,0,1,2,1,0,69.0,2,5,2013,5
Chad Henne,4371,QB,1,JAX,14,13,7,53.8,89,6.8,1,0,61.3,62.5,57.9,73.2,0,1,0,0,0,101.1,1,5,2013,5
T.J. Yates,6304,QB,1,HST,5,5,3,60.0,15,3.0,0,0,52.8,53.8,59.3,69.9,0,0,0,2,0,64.6,0,1,2013,5
Brian Hoyer,5277,QB,1,CLV,5,4,2,50.0,25,6.3,0,0,94.2,91.5,65.9,68.0,0,0,1,0,0,69.8,1,3,2013,5
