player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Charles Woodson,330,S,1,OAK,67,0,13,54,91.2,51.0,52.5,,90.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,2.0,48.0,24.0,15.0,40.0,0.0,1.0,1.0,35.8,0,0,2015,3
Julius Peppers,1010,ED,1,GB,49,39,7,3,34.0,38.2,25.2,56.6,42.3,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,0,2015,3
James Harrison,1251,ED,1,PIT,25,13,8,4,45.3,52.0,70.5,68.2,31.3,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0,0,2015,3
Terence Newman,1321,CB,1,MIN,70,0,26,44,76.0,69.6,79.5,,75.6,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,8.0,6.0,42.0,7.0,8.0,9.0,0.0,0.0,0.0,86.5,0,0,2015,3
Kevin Williams,1325,DI,1,NO,29,17,12,0,58.0,57.5,,58.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,3
Calvin Pace,1334,ED,1,NYJ,37,15,22,0,58.8,60.7,,55.1,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,3
Charles Tillman,1351,CB,1,CAR,68,0,25,43,74.9,74.9,82.9,,71.8,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,4.0,0.0,8.0,7.0,67.0,9.6,10.0,20.0,0.0,0.0,1.0,101.6,0,0,2015,3
Rashean Mathis,1355,CB,1,DET,64,1,20,43,81.6,62.1,79.9,60.0,83.8,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,11.0,8.0,31.0,3.9,28.0,17.0,0.0,0.0,1.0,75.2,0,0,2015,3
Cory Redding,1381,DI,1,ARZ,17,8,9,0,74.3,75.5,66.8,54.7,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,3
Robert Mathis,1447,ED,1,IND,20,18,1,1,73.9,60.0,69.2,70.9,60.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,3
Chris Clemons,1585,ED,1,JAX,47,30,17,0,44.8,33.1,69.2,59.7,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,3
Cullen Jenkins,1637,DI,1,NYG,55,43,12,0,58.3,59.3,69.0,56.9,,4.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,3
DeAngelo Hall,1729,CB,1,WAS,36,0,13,23,52.3,62.3,76.6,,50.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,20.0,4.0,30.0,0.0,0.0,0.0,118.8,0,0,2015,3
Vince Wilfork,1742,DI,1,HST,31,16,15,0,85.4,85.8,70.7,59.9,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,3
