player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Julius Peppers,1010,ED,1,GB,43,29,11,3,68.7,65.4,71.7,72.7,61.6,6,1,1,4,0,1,0,1,2,0,0,0,0,,0,,0,0,0,0.0,1,0,2016,12
Dwight Freeney,1019,ED,1,ATL,37,33,4,0,66.9,61.1,69.2,64.4,,4,0,1,3,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
James Harrison,1251,ED,1,PIT,31,13,12,6,62.6,76.9,72.8,64.1,35.4,2,1,0,1,0,1,0,0,2,0,1,1,18,18.0,4,18.0,0,0,0,118.8,0,0,2016,12
Terrell Suggs,1326,ED,1,BLT,61,44,15,2,80.3,59.0,72.4,85.6,42.6,3,2,0,1,1,0,0,0,2,2,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
Robert Mathis,1447,ED,1,IND,31,14,16,1,47.2,50.6,69.6,49.9,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
Cullen Jenkins,1637,DI,1,WAS,18,10,8,0,70.6,72.4,67.6,55.0,,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
Vince Wilfork,1742,DI,1,HST,31,13,17,1,70.2,75.8,,53.4,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
Karlos Dansby,1754,LB,1,CIN,43,4,17,22,70.7,67.7,80.0,72.5,62.7,0,0,0,0,1,4,1,1,3,0,2,2,6,3.0,0,6.0,0,0,0,79.2,0,0,2016,12
Daryl Smith,1760,LB,1,TB,18,5,6,7,65.0,51.8,73.0,53.9,78.2,0,0,0,0,0,1,0,0,1,0,1,1,4,4.0,6,4.0,0,0,0,83.3,0,0,2016,12
Antonio Smith,1856,DI,1,HST,20,15,5,0,45.3,53.4,,63.6,,2,0,1,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,1,0,2016,12
Mike Adams,1972,S,1,IND,54,1,31,22,43.4,64.9,77.3,58.3,41.5,0,0,0,0,0,0,0,0,0,0,1,1,22,22.0,0,22.0,1,0,0,158.3,0,0,2016,12
Adam Jones,2223,CB,1,CIN,67,1,26,40,72.7,66.8,45.2,57.7,73.1,0,0,0,0,0,4,0,1,1,0,3,3,18,6.0,15,8.0,0,0,0,91.7,0,0,2016,12
DeMarcus Ware,2228,ED,1,DEN,61,43,16,2,62.7,76.6,74.2,65.2,60.9,3,1,0,2,0,1,1,0,2,0,0,0,0,,0,,0,0,0,0.0,2,1,2016,12
Thomas Davis Sr.,2231,LB,1,CAR,74,7,31,36,76.3,68.6,82.1,76.2,68.9,1,0,0,1,0,6,1,0,3,0,3,3,37,12.3,19,24.0,0,1,0,78.5,0,0,2016,12
Derrick Johnson,2232,LB,1,KC,71,3,31,37,77.4,76.0,80.6,54.7,69.3,0,0,0,0,0,5,3,0,4,0,3,2,21,10.5,18,22.0,0,0,1,86.8,0,0,2016,12
Jonathan Babineaux,2276,DI,1,ATL,20,14,5,1,73.3,71.8,67.3,66.9,59.5,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
Lorenzo Alexander,2476,ED,1,BUF,56,24,27,5,67.4,56.4,30.0,69.8,66.8,4,0,1,3,1,2,2,2,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
Ahmad Brooks,2945,ED,1,SF,49,24,21,4,69.0,75.9,74.2,53.1,62.7,1,0,0,1,0,1,2,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
Mario Williams,2946,ED,1,MIA,12,7,5,0,56.1,60.8,69.6,53.1,,2,0,0,2,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
Donte Whitner,2953,S,1,WAS,52,1,27,24,59.5,62.4,78.6,59.1,64.2,1,0,0,1,0,3,0,0,0,0,0,0,0,,0,,0,0,0,0.0,1,0,2016,12
Haloti Ngata,2957,DI,1,DET,39,29,10,0,69.3,72.1,67.3,59.1,,1,0,0,1,1,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
Chad Greenway,2962,LB,1,MIN,29,3,15,11,85.2,62.1,76.6,83.6,78.5,1,0,0,1,0,4,0,0,3,0,1,1,0,0.0,1,0.0,0,0,0,79.2,0,0,2016,12
Tamba Hali,2965,ED,1,KC,79,41,34,4,71.1,71.1,78.9,62.9,61.8,3,1,0,2,0,3,1,0,3,0,0,0,0,,0,,0,0,0,0.0,0,0,2016,12
Johnathan Joseph,2969,CB,1,HST,49,0,17,32,82.9,62.9,72.5,,84.7,0,0,0,0,0,1,0,0,1,0,7,4,37,9.3,15,15.0,0,0,0,71.7,0,0,2016,12
