player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Adrian Peterson,3623,HB,1,ARZ,39,37,159,4.3,0,58.5,60.5,35.7,60.0,110,2.97,25,5,7,1,0,0,2017,9
Ezekiel Elliott,10638,HB,1,DAL,28,27,93,3.4,1,63.5,64.7,78.9,60.0,75,2.78,11,6,6,0,0,0,2017,9
Ameer Abdullah,9487,HB,1,DET,23,21,48,2.3,1,35.0,35.4,19.1,60.0,33,1.57,11,3,0,2,0,0,2017,9
Chris Ivory,6007,HB,1,JAX,22,20,70,3.5,0,73.3,70.3,77.8,60.0,48,2.4,14,3,3,0,0,0,2017,9
Frank Gore,2282,HB,1,IND,18,17,51,3.0,0,65.2,64.7,76.7,60.0,27,1.59,16,3,2,0,0,0,2017,9
Mark Ingram II,6180,HB,1,NO,21,16,77,4.8,0,59.4,58.9,76.0,60.0,37,2.31,32,2,0,0,0,0,2017,9
Todd Gurley II,9443,HB,1,LA,19,16,59,3.7,2,67.1,63.4,76.4,60.0,57,3.56,36,3,2,0,0,0,2017,9
Orleans Darkwa,9173,HB,1,NYG,16,16,71,4.4,0,73.5,73.2,76.2,,51,3.19,24,2,3,0,0,0,2017,9
Malcolm Brown,9902,HB,1,LA,16,15,57,3.8,0,54.5,55.1,27.1,60.0,30,2.0,16,2,2,1,0,0,2017,9
Christian McCaffrey,11763,HB,1,CAR,26,15,66,4.4,1,71.2,70.2,76.5,56.6,38,2.53,17,3,1,0,0,0,2017,9
Rob Kelley,11090,HB,1,WAS,15,14,18,1.3,2,52.8,53.8,76.4,60.0,19,1.36,5,2,2,0,0,0,2017,9
Marshawn Lynch,3628,HB,1,OAK,14,14,57,4.1,2,61.4,61.7,76.2,,60,4.29,22,4,3,0,0,0,2017,9
Matt Forte,4358,HB,1,NYJ,14,14,77,5.5,2,84.9,77.7,76.0,,61,4.36,20,4,5,0,0,0,2017,9
Alex Collins,10805,HB,1,BLT,15,13,43,3.3,0,57.0,57.6,74.9,60.0,32,2.46,14,2,3,0,0,0,2017,9
Elijah McGuire,11943,HB,1,NYJ,16,13,30,2.3,0,66.4,63.4,75.6,60.0,39,3.0,15,2,5,0,0,0,2017,9
Joe Mixon,11803,HB,1,CIN,15,13,31,2.4,1,48.7,45.9,75.4,60.0,21,1.62,7,2,0,0,0,0,2017,9
Corey Clement,12253,HB,1,PHI,12,12,51,4.3,2,72.7,69.9,74.5,,47,3.92,28,3,1,0,0,0,2017,9
Carlos Hyde,8692,HB,1,SF,14,12,41,3.4,0,58.9,56.9,76.3,60.0,26,2.17,11,1,2,0,1,1,2017,9
LeSean McCoy,4976,HB,1,BUF,16,12,25,2.1,0,57.3,60.8,74.3,60.0,25,2.08,13,1,1,0,0,0,2017,9
