player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Alex Smith,2218,QB,1,KC,54,48,34,70.8,363,7.6,2,1,73.8,75.2,52.7,35.2,3,1,0,3,0,97.8,3,19,2016,1
Andrew Luck,7007,QB,1,IND,51,47,31,66.0,385,8.2,4,0,94.5,92.8,75.4,80.9,2,3,0,2,1,119.5,2,19,2016,1
Dak Prescott,10769,QB,1,DAL,45,45,25,55.6,227,5.0,0,0,68.3,67.5,59.2,80.4,0,0,3,1,2,69.4,0,13,2016,1
Kirk Cousins,7102,QB,1,WAS,44,43,30,69.8,329,7.7,0,2,53.7,55.2,55.3,79.8,0,0,1,3,1,72.7,1,14,2016,1
Russell Wilson,7077,QB,1,SEA,48,43,27,62.8,258,6.0,1,1,70.4,72.4,49.2,80.7,3,1,3,5,0,77.5,2,16,2016,1
Drew Brees,802,QB,1,NO,43,42,28,66.7,423,10.1,4,0,83.0,84.8,54.5,80.3,1,0,2,4,0,131.3,0,16,2016,1
Marcus Mariota,9435,QB,1,TEN,43,41,25,61.0,271,6.6,2,1,49.7,55.1,37.6,30.9,2,1,1,3,0,86.5,0,16,2016,1
Blake Bortles,8638,QB,1,JAX,42,39,24,61.5,320,8.2,1,1,72.4,73.6,58.7,80.1,3,0,2,2,0,85.4,0,13,2016,1
Matthew Stafford,4924,QB,1,DET,41,39,31,79.5,340,8.7,3,0,85.7,83.0,64.7,79.5,1,0,1,2,0,128.6,1,21,2016,1
Matt Ryan,4317,QB,1,ATL,44,39,27,69.2,334,8.6,2,0,64.8,65.3,55.6,79.9,3,2,2,1,0,112.6,2,17,2016,1
Derek Carr,8671,QB,1,OAK,40,38,24,63.2,319,8.4,1,0,89.8,87.8,62.5,80.0,0,2,3,1,0,98.5,2,15,2016,1
Ben Roethlisberger,1732,QB,1,PIT,38,37,27,73.0,300,8.1,3,1,82.1,80.9,59.8,27.9,1,0,3,0,0,112.4,0,13,2016,1
Carson Wentz,10636,QB,1,PHI,40,37,22,59.5,278,7.5,2,0,84.2,87.2,52.1,79.2,2,3,4,2,1,101.0,1,14,2016,1
Carson Palmer,1317,QB,1,ARZ,40,37,24,64.9,271,7.3,2,0,70.7,73.7,45.0,29.2,3,1,0,0,0,104.7,0,14,2016,1
Philip Rivers,1725,QB,1,SD,38,36,25,69.4,243,6.8,1,0,65.8,63.7,64.5,79.4,1,1,0,4,0,97.3,1,13,2016,1
Ryan Fitzpatrick,2467,QB,1,NYJ,37,35,19,54.3,189,5.4,2,1,55.7,62.3,37.3,43.6,1,3,3,2,1,77.0,1,12,2016,1
Case Keenum,7323,QB,1,LA,38,35,17,48.6,130,3.7,0,2,42.6,44.1,52.4,79.3,2,1,6,0,1,34.2,1,6,2016,1
Brock Osweiler,7059,QB,1,HST,38,35,22,62.9,231,6.6,2,1,80.6,81.4,55.2,79.5,2,0,3,1,0,89.1,1,13,2016,1
Blaine Gabbert,6162,QB,1,SF,40,35,22,62.9,170,4.9,1,0,51.5,49.9,59.6,80.4,0,1,2,1,0,84.2,5,13,2016,1
Aaron Rodgers,2241,QB,1,GB,37,34,20,58.8,199,5.9,2,0,68.6,66.3,80.0,79.6,1,0,0,2,0,95.1,2,11,2016,1
Shaun Hill,1255,QB,1,MIN,34,33,18,54.5,236,7.2,0,0,63.2,64.5,52.3,78.5,0,0,3,0,1,77.3,1,12,2016,1
Joe Flacco,4332,QB,1,BLT,37,33,22,66.7,258,7.8,1,0,64.6,67.0,49.6,79.5,4,0,1,1,1,100.3,0,11,2016,1
Cam Newton,6153,QB,1,CAR,36,33,18,54.5,194,5.9,1,1,75.6,75.2,61.2,81.1,3,0,0,3,1,69.5,0,13,2016,1
Jimmy Garoppolo,8697,QB,1,NE,37,33,24,72.7,264,8.0,1,0,54.5,58.5,50.2,28.8,2,0,1,1,2,106.1,2,12,2016,1
Jameis Winston,9434,QB,1,TB,33,32,23,71.9,281,8.8,4,1,80.9,88.6,43.2,79.1,0,0,1,0,1,125.1,1,12,2016,1
Andy Dalton,6187,QB,1,CIN,37,30,23,76.7,366,12.2,1,1,65.1,66.0,55.2,79.4,7,0,1,0,0,114.0,0,11,2016,1
Ryan Tannehill,7014,QB,1,MIA,35,29,16,55.2,186,6.4,0,0,59.9,60.6,56.7,28.3,5,2,2,3,1,74.8,1,7,2016,1
Jay Cutler,2956,QB,1,CHI,35,29,16,55.2,216,7.4,1,1,77.9,74.8,67.6,78.7,5,0,1,3,1,76.2,1,11,2016,1
Eli Manning,1722,QB,1,NYG,30,28,19,67.9,207,7.4,3,1,74.6,73.2,,30.0,2,0,2,0,0,110.3,0,11,2016,1
Trevor Siemian,9683,QB,1,DEN,31,26,18,69.2,178,6.8,1,2,69.2,65.6,68.3,78.2,2,1,1,0,1,69.1,3,13,2016,1
Robert Griffin III,7008,QB,1,CLV,33,26,12,46.2,190,7.3,0,1,47.6,47.3,57.8,27.2,3,0,3,1,1,55.0,4,8,2016,1
Tyrod Taylor,6332,QB,1,BUF,27,22,15,68.2,111,5.0,0,0,58.6,64.6,50.6,77.5,2,0,0,0,0,79.9,3,6,2016,1
