player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent,season,week
Adam Vinatieri,226,K,1,IND,77.1,2,2,100.0,0,0,,1,1,100.0,0,0,,2,2,100.0,2,2,100.0,2016,5
Phil Dawson,422,K,1,SF,73.1,3,3,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2016,5
Sebastian Janikowski,595,K,1,OAK,65.6,2,2,100.0,0,0,,2,2,100.0,0,0,,1,1,100.0,1,2,50.0,2016,5
Matt Bryant,1223,K,1,ATL,67.2,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,0,0,,2016,5
Josh Brown,1520,K,1,NYG,59.8,1,1,100.0,0,0,,0,0,,1,1,100.0,2,2,100.0,0,0,,2016,5
Mike Nugent,2264,K,1,CIN,40.8,2,2,100.0,0,0,,0,0,,0,0,,0,0,,0,1,0.0,2016,5
Nick Novak,2726,K,1,HST,51.8,1,1,100.0,0,0,,0,0,,2,2,100.0,0,0,,0,1,0.0,2016,5
Stephen Gostkowski,3063,K,1,NE,54.4,4,4,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,1,0.0,2016,5
Matt Prater,3471,K,1,DET,72.8,3,3,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2016,5
Nick Folk,3794,K,1,NYJ,67.1,1,1,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2016,5
Mason Crosby,3809,K,1,GB,66.7,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,0,0,,2016,5
Dan Carpenter,4697,K,1,BUF,63.8,3,4,75.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2016,5
Connor Barth,4777,K,1,CHI,47.2,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,1,2,50.0,0,0,,2016,5
Ryan Succop,5180,K,1,TEN,65.4,3,4,75.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2016,5
Graham Gano,5443,K,1,CAR,47.3,2,2,100.0,0,0,,0,0,,0,0,,0,1,0.0,0,0,,2016,5
Dan Bailey,6796,K,1,DAL,64.5,4,4,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2016,5
Greg Zuerlein,7163,K,1,LA,69.2,1,1,100.0,0,0,,1,1,100.0,2,2,100.0,0,0,,1,1,100.0,2016,5
Blair Walsh,7167,K,1,MIN,64.5,4,4,100.0,1,1,100.0,0,0,,0,0,,0,0,,0,0,,2016,5
Justin Tucker,7604,K,1,BLT,62.2,1,1,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2016,5
Caleb Sturgis,7948,K,1,PHI,72.5,2,2,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,2016,5
Dustin Hopkins,7958,K,1,WAS,30.9,1,2,50.0,0,0,,1,1,100.0,0,0,,0,0,,0,1,0.0,2016,5
Brandon McManus,8437,K,1,DEN,69.6,1,1,100.0,0,0,,0,0,,1,1,100.0,2,2,100.0,0,0,,2016,5
Chris Boswell,8990,K,1,PIT,68.0,4,4,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2016,5
Cody Parkey,9030,K,1,CLV,60.4,1,1,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2016,5
Chandler Catanzaro,9140,K,1,ARZ,65.7,4,4,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2016,5
Andrew Franks,9814,K,1,MIA,62.9,2,2,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2016,5
Josh Lambo,10133,K,1,SD,65.4,4,4,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2016,5
Roberto Aguayo,10693,K,1,TB,36.0,0,0,,0,0,,0,0,,3,4,75.0,0,1,0.0,0,0,,2016,5
