player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent,season,week
Adam Vinatieri,226,K,1,IND,62.0,1,1,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2015,15
Phil Dawson,422,K,1,SF,37.6,2,2,100.0,0,0,,0,0,,0,0,,0,1,0.0,0,0,,2015,15
Sebastian Janikowski,595,K,1,OAK,63.6,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,0,0,,0,0,,2015,15
Shayne Graham,730,K,1,ATL,67.8,2,2,100.0,0,0,,0,0,,2,2,100.0,1,1,100.0,0,0,,2015,15
Josh Brown,1520,K,1,NYG,65.3,5,5,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2015,15
Mike Nugent,2264,K,1,CIN,63.8,3,3,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2015,15
Robbie Gould,2607,K,1,CHI,68.2,2,2,100.0,0,0,,0,0,,0,0,,0,0,,1,1,100.0,2015,15
Nick Novak,2726,K,1,HST,54.5,1,1,100.0,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,0,1,0.0,2015,15
Stephen Gostkowski,3063,K,1,NE,58.8,3,3,100.0,0,0,,0,0,,2,2,100.0,2,3,66.7,0,0,,2015,15
Matt Prater,3471,K,1,DET,51.0,5,5,100.0,0,0,,0,0,,0,1,0.0,0,0,,0,0,,2015,15
Mason Crosby,3809,K,1,GB,64.7,3,3,100.0,0,0,,2,2,100.0,1,1,100.0,0,1,0.0,0,0,,2015,15
Stephen Hauschka,4655,K,1,SEA,68.4,3,3,100.0,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,0,0,,2015,15
Dan Carpenter,4697,K,1,BUF,63.5,2,2,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2015,15
Connor Barth,4777,K,1,TB,77.1,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,0,0,,1,1,100.0,2015,15
Ryan Succop,5180,K,1,TEN,49.0,1,2,50.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2015,15
Graham Gano,5443,K,1,CAR,59.9,5,5,100.0,0,0,,0,0,,0,1,0.0,1,1,100.0,0,0,,2015,15
Dan Bailey,6796,K,1,DAL,68.7,1,1,100.0,0,0,,1,1,100.0,1,1,100.0,0,0,,1,1,100.0,2015,15
Kai Forbath,6860,K,1,NO,74.9,3,3,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,0,0,,2015,15
Randy Bullock,7154,K,1,NYJ,39.5,1,2,50.0,0,0,,0,0,,1,1,100.0,1,2,50.0,0,0,,2015,15
Greg Zuerlein,7163,K,1,SL,64.5,4,4,100.0,1,1,100.0,0,0,,0,0,,0,0,,0,0,,2015,15
Blair Walsh,7167,K,1,MIN,70.0,5,5,100.0,0,0,,0,0,,0,0,,0,0,,1,1,100.0,2015,15
Justin Tucker,7604,K,1,BLT,62.3,2,2,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2015,15
Caleb Sturgis,7948,K,1,PHI,63.8,2,2,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2015,15
Dustin Hopkins,7958,K,1,WAS,65.3,5,5,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2015,15
Brandon McManus,8437,K,1,DEN,47.2,3,4,75.0,0,0,,0,0,,0,0,,0,0,,0,0,,2015,15
Cairo Santos,8932,K,1,KC,69.9,4,4,100.0,0,0,,0,0,,1,1,100.0,0,0,,1,1,100.0,2015,15
Chris Boswell,8990,K,1,PIT,66.5,4,4,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,0,0,,2015,15
Chandler Catanzaro,9140,K,1,ARZ,52.2,4,5,80.0,0,0,,1,1,100.0,1,1,100.0,0,0,,0,0,,2015,15
Travis Coons,9268,K,1,CLV,63.9,1,1,100.0,0,0,,0,0,,2,2,100.0,0,0,,0,0,,2015,15
Andrew Franks,9814,K,1,MIA,62.3,2,2,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2015,15
Josh Lambo,10133,K,1,SD,38.1,3,4,75.0,0,0,,1,1,100.0,0,0,,0,1,0.0,0,0,,2015,15
Jason Myers,10207,K,1,JAX,65.1,2,2,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2015,15
