player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Adam Vinatieri,226,K,1,IND,0,0,0,0,0,6,60.0,,,,,65.3,0,0,0,0,0,2018,11
Sebastian Janikowski,595,K,1,SEA,0,6,0,0,0,5,60.0,60.0,,,,67.3,0,0,0,0,0,2018,11
Julius Peppers,1010,ED,1,CAR,0,0,3,0,4,0,60.0,,,,,,0,0,0,0,0,2018,11
Matt Bryant,1223,K,1,ATL,0,0,0,0,0,5,60.0,,,,,72.2,0,0,0,0,0,2018,11
Benjamin Watson,1753,TE,1,NO,0,0,0,0,0,3,60.2,,,,,,0,0,0,0,0,2018,11
Andy Lee,1906,P,1,ARZ,0,0,0,8,0,3,60.5,,,65.1,,,0,0,0,0,0,2018,11
Donnie Jones,1939,,1,LAC,0,0,0,2,0,5,60.5,,,59.8,,,0,0,0,0,0,2018,11
Mike Adams,1972,S,1,CAR,0,0,3,0,4,0,60.9,,,,,,0,0,0,0,0,2018,11
Don Muhlbach,2130,LS,1,DET,0,0,0,6,0,4,60.6,,,,,,0,0,0,0,0,2018,11
Adam Jones,2223,CB,1,DEN,2,0,1,0,0,0,60.0,,59.5,,60.0,,0,0,0,0,0,2018,11
Thomas Davis Sr.,2231,LB,1,CAR,0,0,0,0,4,0,60.1,,,,,,0,0,0,0,0,2018,11
Dustin Colquitt,2316,P,1,KC,0,0,0,3,0,8,60.9,,,57.2,,,0,0,0,0,0,2018,11
L.P. Ladouceur,2687,LS,1,DAL,0,0,0,3,0,5,64.2,,,,,,0,0,0,0,0,2018,11
Haloti Ngata,2957,DI,1,PHI,0,0,0,0,9,0,58.7,,,,,,0,0,0,0,0,2018,11
Johnathan Joseph,2969,CB,1,HST,0,0,0,0,4,0,60.2,,,,,,0,0,0,0,0,2018,11
