player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent,season,week
Adam Vinatieri,226,K,1,IND,62.3,2,2,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2016,8
Sebastian Janikowski,595,K,1,OAK,43.3,3,3,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,2,0.0,2016,8
Matt Bryant,1223,K,1,ATL,74.4,3,3,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2016,8
Mike Nugent,2264,K,1,CIN,37.1,3,4,75.0,0,0,,0,0,,0,0,,0,0,,0,1,0.0,2016,8
Nick Novak,2726,K,1,HST,64.7,2,2,100.0,0,0,,0,0,,2,2,100.0,0,0,,0,0,,2016,8
Stephen Gostkowski,3063,K,1,NE,70.1,5,5,100.0,0,0,,0,0,,1,1,100.0,0,0,,1,1,100.0,2016,8
Matt Prater,3471,K,1,DET,53.7,1,1,100.0,0,0,,0,0,,1,1,100.0,1,2,50.0,0,0,,2016,8
Nick Folk,3794,K,1,NYJ,64.7,4,4,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2016,8
Mason Crosby,3809,K,1,GB,64.2,3,3,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2016,8
Stephen Hauschka,4655,K,1,SEA,65.8,2,2,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,0,0,,2016,8
Dan Carpenter,4697,K,1,BUF,50.1,2,2,100.0,0,0,,1,1,100.0,0,0,,0,1,0.0,0,0,,2016,8
Connor Barth,4777,K,1,CHI,64.0,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,0,0,,0,0,,2016,8
Ryan Succop,5180,K,1,TEN,51.6,3,4,75.0,0,0,,1,1,100.0,2,2,100.0,0,0,,0,0,,2016,8
Graham Gano,5443,K,1,CAR,70.8,3,3,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,1,1,100.0,2016,8
Dan Bailey,6796,K,1,DAL,68.2,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,0,0,,2016,8
Blair Walsh,7167,K,1,MIN,62.1,1,1,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2016,8
Caleb Sturgis,7948,K,1,PHI,72.2,2,2,100.0,0,0,,0,0,,2,2,100.0,0,0,,1,1,100.0,2016,8
Dustin Hopkins,7958,K,1,WAS,30.1,3,3,100.0,0,0,,1,1,100.0,0,1,0.0,1,1,100.0,0,1,0.0,2016,8
Brandon McManus,8437,K,1,DEN,64.3,3,3,100.0,0,0,,2,2,100.0,0,0,,0,0,,0,0,,2016,8
Cairo Santos,8932,K,1,KC,45.9,3,3,100.0,0,0,,1,2,50.0,1,1,100.0,1,1,100.0,0,0,,2016,8
Cody Parkey,9030,K,1,CLV,65.3,2,2,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,0,0,,2016,8
Chandler Catanzaro,9140,K,1,ARZ,62.3,2,2,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2016,8
Josh Lambo,10133,K,1,SD,46.9,1,2,50.0,0,0,,0,0,,0,0,,0,1,0.0,0,0,,2016,8
Jason Myers,10207,K,1,JAX,62.3,2,2,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2016,8
Roberto Aguayo,10693,K,1,TB,46.7,1,2,50.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2016,8
Wil Lutz,11096,K,1,NO,69.3,1,1,100.0,0,0,,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,2016,8
