player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent,season,week
Adam Vinatieri,226,K,1,IND,79.4,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,1,1,100.0,2015,8
Phil Dawson,422,K,1,SF,66.8,0,0,,0,0,,1,1,100.0,0,0,,0,0,,1,1,100.0,2015,8
Sebastian Janikowski,595,K,1,OAK,62.1,4,4,100.0,0,0,,0,0,,0,0,,1,1,100.0,1,2,50.0,2015,8
Matt Bryant,1223,K,1,ATL,63.1,2,2,100.0,0,0,,2,2,100.0,0,0,,0,0,,0,0,,2015,8
Josh Brown,1520,K,1,NYG,66.5,7,7,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2015,8
Mike Nugent,2264,K,1,CIN,71.0,1,1,100.0,0,0,,0,0,,0,0,,3,4,75.0,0,0,,2015,8
Robbie Gould,2607,K,1,CHI,60.3,2,2,100.0,0,0,,0,0,,1,1,100.0,0,0,,1,2,50.0,2015,8
Nick Novak,2726,K,1,HST,64.2,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,0,0,,0,0,,2015,8
Stephen Gostkowski,3063,K,1,NE,70.1,4,4,100.0,0,0,,0,0,,1,1,100.0,0,0,,1,1,100.0,2015,8
Matt Prater,3471,K,1,DET,62.5,1,1,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2015,8
Nick Folk,3794,K,1,NYJ,65.8,2,2,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2015,8
Mason Crosby,3809,K,1,GB,72.5,1,1,100.0,0,0,,0,0,,0,0,,0,0,,1,1,100.0,2015,8
Stephen Hauschka,4655,K,1,SEA,71.5,1,1,100.0,0,0,,2,2,100.0,0,0,,0,1,0.0,0,0,,2015,8
Connor Barth,4777,K,1,TB,72.9,2,2,100.0,0,0,,1,1,100.0,2,2,100.0,0,0,,0,0,,2015,8
Ryan Succop,5180,K,1,TEN,64.6,0,0,,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2015,8
Graham Gano,5443,K,1,CAR,71.6,2,3,66.7,0,0,,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,2015,8
Dan Bailey,6796,K,1,DAL,68.8,0,0,,0,0,,1,1,100.0,2,2,100.0,0,0,,1,1,100.0,2015,8
Kai Forbath,6860,K,1,NO,77.2,7,7,100.0,0,0,,0,0,,0,0,,0,0,,1,1,100.0,2015,8
Greg Zuerlein,7163,K,1,SL,48.5,2,2,100.0,0,0,,0,0,,1,1,100.0,0,1,0.0,0,0,,2015,8
Blair Walsh,7167,K,1,MIN,78.2,2,2,100.0,0,0,,0,0,,1,1,100.0,2,2,100.0,0,0,,2015,8
Justin Tucker,7604,K,1,BLT,81.0,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,3,3,100.0,0,0,,2015,8
Brandon McManus,8437,K,1,DEN,68.7,3,3,100.0,0,0,,1,1,100.0,0,0,,0,0,,1,1,100.0,2015,8
Cairo Santos,8932,K,1,KC,66.5,6,6,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2015,8
Chris Boswell,8990,K,1,PIT,62.2,1,1,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2015,8
Chandler Catanzaro,9140,K,1,ARZ,73.8,4,4,100.0,0,0,,0,0,,2,2,100.0,0,0,,0,0,,2015,8
Travis Coons,9268,K,1,CLV,45.4,2,3,66.7,0,0,,0,0,,0,0,,0,0,,0,0,,2015,8
Andrew Franks,9814,K,1,MIA,61.4,1,1,100.0,0,0,,0,0,,0,0,,0,0,,0,1,0.0,2015,8
Josh Lambo,10133,K,1,SD,69.5,2,3,66.7,0,0,,0,0,,0,0,,2,2,100.0,0,0,,2015,8
