player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Teddy Bridgewater,8667,QB,1,MIN,23,0,13,2.6,0,86.1,52.2,78.6,60.0,15,3.0,6,0,0,0,0,0,2014,16
Blake Bortles,8638,QB,1,JAX,22,2,50,10.0,0,61.2,61.3,78.7,60.0,10,2.0,19,2,0,1,1,0,2014,16
Jordan Todman,6335,HB,1,JAX,7,5,71,14.2,1,86.2,87.4,72.2,60.0,70,14.0,62,1,4,0,0,0,2014,16
Robert Griffin III,7008,QB,1,WAS,26,2,11,2.2,0,56.3,38.8,32.0,60.0,17,3.4,7,0,0,1,1,0,2014,16
Bilal Powell,6278,HB,1,NYJ,5,5,21,4.2,0,59.1,54.1,70.9,,14,2.8,14,1,1,0,0,0,2014,16
Joe Banyard,7361,HB,1,MIN,6,5,23,4.6,0,56.5,54.5,70.9,60.0,7,1.4,16,1,0,0,0,0,2014,16
Brandon Bolden,7469,HB,1,NE,5,5,32,6.4,0,58.7,59.0,69.7,,11,2.2,17,1,2,0,0,0,2014,16
Mark Sanchez,4928,QB,1,PHI,28,2,22,4.4,0,70.7,55.0,81.7,60.0,13,2.6,6,0,1,1,0,0,2014,16
Devonta Freeman,8738,HB,1,ATL,5,5,36,7.2,1,85.9,66.0,71.8,,33,6.6,31,1,2,0,0,0,2014,16
Donald Brown,4950,HB,1,SD,4,4,12,3.0,0,46.7,48.4,70.0,,2,0.5,4,1,0,0,0,0,2014,16
John Kuhn,2686,FB,1,GB,17,4,22,5.5,0,74.7,66.7,68.6,76.0,23,5.75,11,2,1,0,0,0,2014,16
Leon Washington,3062,HB,1,TEN,4,4,11,2.8,0,66.3,50.2,76.1,,8,2.0,11,1,0,0,0,0,2014,16
Case Keenum,7323,QB,1,HST,37,3,19,4.8,0,60.2,55.2,80.3,60.6,0,0.0,13,3,0,0,0,0,2014,16
Matthew Stafford,4924,QB,1,DET,25,3,2,0.5,0,55.7,55.8,80.6,60.0,3,0.75,5,0,0,0,0,0,2014,16
Fitzgerald Toussaint,9244,HB,1,BLT,4,4,11,2.8,0,61.3,58.6,70.0,,-2,-0.5,12,1,0,0,0,0,2014,16
Orleans Darkwa,9173,HB,1,NYG,7,4,21,5.3,1,63.9,65.2,70.9,60.0,20,5.0,12,1,1,0,0,0,2014,16
C.J. Spiller,5534,HB,1,BUF,4,4,-4,-1.0,0,41.6,33.8,19.2,,3,0.75,4,0,0,1,1,0,2014,16
Ben Roethlisberger,1732,QB,1,PIT,26,4,-4,-1.0,0,79.5,61.0,78.0,60.0,0,0.0,0,0,0,0,0,0,2014,16
Charles Sims,8704,HB,1,TB,4,4,-1,-0.3,0,59.6,55.8,71.4,,7,1.75,1,0,0,0,0,0,2014,16
Steven Jackson,1745,HB,1,ATL,4,4,9,2.3,0,63.4,58.6,70.3,,8,2.0,5,0,0,0,0,0,2014,16
Derek Carr,8671,QB,1,OAK,36,4,0,0.0,0,54.1,30.0,28.6,60.0,0,0.0,2,1,0,1,0,0,2014,16
Darren Sproles,2347,HB,1,PHI,6,4,24,6.0,0,70.5,72.8,73.9,59.7,14,3.5,12,2,2,0,0,0,2014,16
Anthony Dixon,5696,HB,1,BUF,3,3,7,2.3,0,50.6,52.8,67.2,,3,1.0,4,0,0,0,0,0,2014,16
Jimmy Clausen,5573,QB,1,CHI,20,1,9,3.0,0,67.6,60.7,79.8,60.0,1,0.33,4,1,0,0,0,0,2014,16
Tavon Austin,7789,WR,1,SL,12,3,25,8.3,0,52.3,66.4,73.2,61.0,2,0.67,19,1,0,0,1,0,2014,16
Geno Smith,7820,QB,1,NYJ,30,1,9,3.0,0,52.2,50.1,78.0,61.2,0,0.0,6,0,0,0,0,0,2014,16
Matt Flynn,4523,QB,1,GB,3,3,-3,-1.0,0,61.2,60.5,67.2,,0,0.0,-1,0,0,0,0,0,2014,16
Charlie Whitehurst,3026,QB,1,TEN,26,1,12,4.0,0,84.7,55.0,79.4,60.0,0,0.0,10,1,0,0,1,0,2014,16
Bruce Ellington,8741,WR,1,SF,5,3,12,4.0,1,73.0,70.5,74.9,60.0,11,3.67,7,1,2,0,0,0,2014,16
Eli Manning,1722,QB,1,NYG,33,3,-3,-1.0,0,78.6,60.5,78.9,60.0,0,0.0,0,0,0,0,0,0,2014,16
Tony Romo,1693,QB,1,DAL,32,0,28,9.3,0,96.0,74.8,76.3,60.0,0,0.0,13,1,0,0,0,0,2014,16
Storm Johnson,8856,HB,1,JAX,3,3,3,1.0,0,53.2,53.2,67.2,,1,0.33,2,0,0,0,0,0,2014,16
Damien Williams,9205,HB,1,MIA,3,3,18,6.0,0,85.6,66.4,71.3,,3,1.0,12,1,0,0,0,0,2014,16
Percy Harvin,4945,WR,1,NYJ,12,2,1,0.5,0,81.7,54.2,70.7,61.2,1,0.5,1,0,0,0,0,0,2014,16
Andrew Hawkins,6125,WR,1,CLV,8,2,7,3.5,0,71.3,54.1,66.7,90.3,4,2.0,5,0,0,0,0,0,2014,16
Martavis Bryant,8753,WR,1,PIT,12,2,9,4.5,0,67.6,62.6,66.7,58.9,3,1.5,9,0,1,0,0,0,2014,16
Kerwynn Williams,8013,HB,1,ARZ,2,2,4,2.0,0,53.2,53.5,65.2,,2,1.0,3,0,0,0,0,0,2014,16
Alfonso Smith,5877,HB,1,SF,5,2,14,7.0,0,61.6,59.6,67.8,60.0,4,2.0,12,1,0,0,0,0,2014,16
Knile Davis,7878,HB,1,KC,2,2,2,1.0,0,57.3,53.8,70.1,,4,2.0,1,0,0,0,0,0,2014,16
Johnny Manziel,8657,QB,1,CLV,7,1,3,1.5,0,62.3,52.6,71.6,60.0,0,0.0,4,0,0,0,0,0,2014,16
Lance Dunbar,7332,HB,1,DAL,2,2,4,2.0,0,66.1,53.8,67.8,,3,1.5,5,0,0,0,0,0,2014,16
Drew Brees,802,QB,1,NO,17,1,8,4.0,0,54.9,63.8,25.3,60.0,0,0.0,9,1,0,2,0,0,2014,16
Matt Ryan,4317,QB,1,ATL,21,1,7,3.5,0,89.1,51.3,79.5,60.0,0,0.0,7,0,0,1,0,0,2014,16
Brian Hoyer,5277,QB,1,CLV,12,0,19,9.5,0,63.7,61.8,74.8,60.0,2,1.0,11,1,0,0,0,0,2014,16
Alex Smith,2218,QB,1,KC,12,0,14,7.0,0,69.2,66.4,80.9,60.0,2,1.0,11,1,0,0,0,0,2014,16
Darrel Young,5438,FB,1,WAS,14,2,2,1.0,2,73.0,69.9,66.7,59.6,0,0.0,1,2,0,0,0,0,2014,16
Trent Richardson,7009,HB,1,IND,2,2,1,0.5,0,60.3,57.7,67.8,,2,1.0,3,0,0,0,0,0,2014,16
Zac Stacy,7942,HB,1,SL,2,2,6,3.0,0,68.1,66.0,65.2,,5,2.5,5,0,0,0,0,0,2014,16
Khiry Robinson,8514,HB,1,NO,2,2,7,3.5,0,54.1,53.6,66.7,,4,2.0,4,0,0,0,0,0,2014,16
John Conner,5662,FB,1,NYJ,10,1,2,2.0,0,67.1,59.5,64.6,60.0,1,1.0,2,0,0,0,0,0,2014,16
Nick Toon,7122,WR,1,NO,8,1,4,4.0,0,68.7,63.4,67.4,81.6,4,4.0,4,0,0,0,0,0,2014,16
Jonathan Grimes,7585,HB,1,HST,2,1,2,2.0,0,48.5,56.6,61.9,60.0,2,2.0,2,0,0,0,0,0,2014,16
Silas Redd,8900,HB,1,WAS,1,1,4,4.0,0,65.8,62.3,61.9,,2,2.0,4,1,0,0,0,0,2014,16
Cordarrelle Patterson,7810,WR,1,MIN,2,1,-2,-2.0,0,67.1,60.0,69.1,60.0,2,2.0,0,0,0,0,0,0,2014,16
Jed Collins,4743,FB,1,DET,12,1,3,3.0,0,59.2,61.4,61.9,85.7,2,2.0,3,1,0,0,1,0,2014,16
Juwan Thompson,8955,HB,1,DEN,1,1,2,2.0,0,37.4,56.7,61.9,,2,2.0,2,0,0,0,0,0,2014,16
Joe Flacco,4332,QB,1,BLT,15,0,5,5.0,0,38.6,39.5,35.6,60.0,8,8.0,5,0,0,1,1,0,2014,16
Corey Brown,8986,WR,1,CAR,23,1,0,0.0,0,63.0,58.7,67.4,76.7,0,0.0,0,0,0,0,1,0,2014,16
Quinton Patton,7910,WR,1,SF,23,1,20,20.0,0,46.9,45.7,15.5,76.8,5,5.0,20,1,0,1,0,0,2014,16
Jarius Wright,7118,WR,1,MIN,9,1,27,27.0,0,77.9,63.1,67.4,59.2,7,7.0,27,1,1,0,0,0,2014,16
Zurlon Tipton,9164,HB,1,IND,1,1,-3,-3.0,0,63.3,59.1,69.1,,0,0.0,0,0,0,0,0,0,2014,16
Bernard Pierce,7085,HB,1,BLT,1,1,-2,-2.0,0,55.8,56.7,65.2,,2,2.0,0,0,0,0,0,0,2014,16
George Winn,8123,HB,1,DET,1,1,5,5.0,0,65.5,62.8,86.3,,2,2.0,5,0,0,0,0,0,2014,16
Benny Cunningham,8283,HB,1,SL,2,1,-1,-1.0,0,61.8,59.2,18.8,60.0,1,1.0,0,0,0,0,0,0,2014,16
Fozzy Whittaker,8547,HB,1,CAR,1,1,5,5.0,0,54.1,57.4,69.9,,2,2.0,5,0,0,0,0,0,2014,16
Shaun Hill,1255,QB,1,SL,20,1,0,0.0,0,71.9,60.0,79.1,60.0,0,0.0,0,0,0,0,0,0,2014,16
Odell Beckham Jr.,8647,WR,1,NYG,30,0,0,0.0,0,75.1,58.3,71.1,61.3,0,0.0,0,0,0,0,1,0,2014,16
LaMichael James,7063,HB,1,MIA,1,1,5,5.0,0,64.4,62.8,61.9,60.0,4,4.0,5,0,1,0,0,0,2014,16
Dane Sanzenbacher,6570,WR,1,CIN,12,1,-1,-1.0,0,59.2,56.6,64.6,55.7,2,2.0,0,0,1,0,0,0,2014,16
Robert Hughes,6564,HB,1,ARZ,3,1,0,0.0,0,56.8,58.7,61.9,60.1,0,0.0,0,0,0,0,0,0,2014,16
Bruce Miller,6363,FB,1,SF,31,1,0,0.0,0,78.7,46.8,14.1,92.9,-3,-3.0,0,0,0,1,0,0,2014,16
De'Anthony Thomas,8759,HB,1,KC,5,1,-6,-6.0,0,59.2,59.7,73.8,60.3,0,0.0,0,0,0,0,0,0,2014,16
Marion Grice,8835,HB,1,ARZ,1,1,6,6.0,0,70.1,63.0,64.6,,3,3.0,6,0,0,0,0,0,2014,16
