player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Ben Roethlisberger,1732,QB,1,PIT,63,60,39,65.0,452,7.5,3,0,58.4,57.8,62.0,44.1,1,0,0,2,1,104.3,2,26,2018,2
Joe Flacco,4332,QB,1,BLT,60,55,32,58.2,376,6.8,2,2,39.6,41.8,56.8,41.5,4,3,2,0,0,76.0,1,21,2018,2
Matthew Stafford,4924,QB,1,DET,56,53,34,64.2,347,6.5,3,0,69.4,69.0,58.3,36.3,2,1,4,1,1,101.7,1,17,2018,2
Nick Foles,7089,QB,1,PHI,52,48,35,72.9,334,7.0,1,0,65.5,62.1,67.2,36.8,3,0,1,2,0,98.8,1,15,2018,2
Kirk Cousins,7102,QB,1,MIN,52,48,35,72.9,425,8.9,4,1,93.6,93.3,54.5,80.9,2,2,5,1,0,118.8,2,20,2018,2
Alex Smith,2218,QB,1,WAS,51,46,33,71.7,292,6.3,0,0,72.3,75.8,48.1,81.1,3,2,1,2,0,88.3,2,17,2018,2
Blake Bortles,8638,QB,1,JAX,51,45,29,64.4,376,8.4,4,1,90.4,89.6,65.7,80.8,0,0,3,5,0,111.0,5,24,2018,2
Cam Newton,6153,QB,1,CAR,50,45,32,71.1,335,7.4,3,1,72.3,71.1,64.3,81.0,2,0,4,1,0,105.3,3,22,2018,2
Eli Manning,1722,QB,1,NYG,51,44,33,75.0,279,6.3,1,0,62.0,61.8,58.6,33.4,6,0,0,2,0,98.6,1,11,2018,2
Andy Dalton,6187,QB,1,CIN,42,42,24,57.1,265,6.3,4,0,65.7,64.7,,80.0,0,4,3,1,0,107.7,0,14,2018,2
Aaron Rodgers,2241,QB,1,GB,48,42,30,71.4,281,6.7,1,0,84.3,88.5,44.1,35.2,4,0,2,4,0,97.4,2,12,2018,2
Sam Darnold,29048,QB,1,NYJ,45,41,25,61.0,334,8.1,1,2,58.5,59.7,52.2,80.0,3,1,3,0,0,74.6,1,15,2018,2
Russell Wilson,7077,QB,1,SEA,45,36,22,61.1,226,6.3,2,1,57.1,57.2,57.4,22.4,6,0,2,0,1,86.1,3,11,2018,2
Tom Brady,698,QB,1,NE,38,35,24,68.6,234,6.7,2,0,71.4,67.5,71.2,79.0,2,0,0,2,0,106.1,1,13,2018,2
Drew Brees,802,QB,1,NO,38,35,28,80.0,243,6.9,2,0,66.5,65.8,60.0,79.5,3,0,0,1,0,114.6,0,11,2018,2
Case Keenum,7323,QB,1,DEN,37,35,19,54.3,222,6.3,0,1,77.7,74.4,69.4,79.3,1,0,3,0,1,61.8,1,9,2018,2
Mitchell Trubisky,11757,QB,1,CHI,39,34,25,73.5,200,5.9,2,2,49.7,50.2,55.4,79.6,2,0,0,0,0,83.0,3,12,2018,2
Josh Allen,46601,QB,1,BUF,41,33,18,54.5,245,7.4,1,2,38.6,38.9,53.9,80.3,5,0,2,0,1,63.3,3,12,2018,2
Ryan Fitzpatrick,2467,QB,1,TB,35,33,27,81.8,402,12.2,4,1,96.3,95.2,60.0,78.5,2,0,2,1,0,144.4,0,17,2018,2
Derek Carr,8671,QB,1,OAK,33,32,29,90.6,288,9.0,1,0,86.3,84.4,,27.4,1,0,1,0,0,114.6,0,16,2018,2
Deshaun Watson,11767,QB,1,HST,40,32,22,68.8,310,9.7,2,1,73.7,70.8,68.5,22.1,4,0,0,2,0,107.6,4,15,2018,2
Jared Goff,10635,QB,1,LA,34,32,24,75.0,354,11.1,1,1,74.3,75.1,54.5,78.9,2,1,0,3,0,108.1,0,14,2018,2
Andrew Luck,7007,QB,1,IND,33,31,21,67.7,179,5.8,2,2,64.8,63.8,60.9,78.6,1,1,0,0,1,77.2,1,9,2018,2
Tyrod Taylor,6332,QB,1,CLV,35,30,22,73.3,246,8.2,1,1,55.5,58.5,44.2,28.2,3,0,2,0,1,94.6,2,9,2018,2
Matt Ryan,4317,QB,1,ATL,31,28,23,82.1,272,9.7,2,1,78.3,75.1,69.1,78.2,0,0,2,0,1,116.1,3,14,2018,2
Patrick Mahomes,11765,QB,1,KC,31,28,23,82.1,326,11.6,6,0,94.1,95.5,49.7,28.1,1,1,0,0,1,154.8,2,18,2018,2
Sam Bradford,5526,QB,1,ARZ,28,27,17,63.0,90,3.3,0,1,56.4,56.8,58.3,77.4,1,0,0,0,0,53.0,0,4,2018,2
Philip Rivers,1725,QB,1,LAC,30,27,23,85.2,256,9.5,3,0,81.5,77.5,68.4,77.8,2,1,0,0,0,143.2,1,15,2018,2
Jimmy Garoppolo,8697,QB,1,SF,33,26,18,69.2,206,7.9,2,0,56.7,58.1,52.2,78.7,6,0,0,2,0,118.4,1,13,2018,2
Dak Prescott,10769,QB,1,DAL,25,25,16,64.0,160,6.4,1,0,70.6,66.8,69.0,78.4,0,1,1,3,0,95.4,0,6,2018,2
Ryan Tannehill,7014,QB,1,MIA,28,23,17,73.9,168,7.3,2,0,57.8,48.1,78.1,21.1,4,0,1,1,0,123.1,1,10,2018,2
Blaine Gabbert,6162,QB,1,TEN,21,20,13,65.0,117,5.9,1,0,63.6,68.9,52.7,76.3,1,0,0,1,0,97.3,0,5,2018,2
