player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
E.J. Gaines,8823,CB,1,LA,0,0,0,0,5,0,60.2,,,,,,0,0,0,0,0,2016,6
Pat O'Donnell,8826,P,1,CHI,0,0,0,6,0,4,60.6,,,67.1,,,0,0,0,0,0,2016,6
Zach Fulton,8828,G,1,KC,0,0,0,0,0,6,61.3,,,,,,0,0,0,0,0,2016,6
Walter Powell,8831,WR,1,BUF,0,8,0,0,0,0,52.9,,,,,,0,0,0,0,0,2016,6
Demetri Goodson,8832,CB,1,GB,0,4,2,0,5,0,72.2,,,,,,0,0,0,0,0,2016,6
Laurent Duvernay-Tardif,8834,G,1,KC,0,0,0,0,0,6,60.4,,,,,,0,0,0,0,0,2016,6
Matt Paradis,8841,C,1,DEN,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2016,6
Jay Prosch,8845,FB,1,HST,6,6,2,5,0,5,54.2,,,,,,0,0,1,0,1,2016,6
Marquis Flowers,8846,LB,1,CIN,7,5,3,4,0,0,58.1,,,,,,0,0,0,0,0,2016,6
Dan McCullers,8849,DI,1,PIT,0,0,0,0,8,0,92.5,,,,,,0,0,0,0,0,2016,6
Andre Hal,8850,S,1,HST,0,0,1,0,6,0,60.0,,,,,,0,0,0,0,0,2016,6
T.J. Carrie,8853,CB,1,OAK,0,0,3,0,6,0,60.9,,,,61.1,,0,0,0,0,0,2016,6
Beau Allen,8858,DI,1,PHI,0,0,0,0,5,4,59.5,,,,,,0,0,0,0,0,2016,6
Jeff Janis,8870,WR,1,GB,7,5,2,1,0,0,60.6,,58.8,,,,0,0,0,0,0,2016,6
James Wright,8873,WR,1,CIN,7,5,3,4,0,0,59.7,,,,,,0,0,0,0,0,2016,6
Corey Nelson,8876,LB,1,DEN,6,5,4,5,0,0,62.9,,,,,,0,0,1,0,0,2016,6
Charles Leno Jr.,8880,T,1,CHI,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2016,6
Demetrius Rhaney,8884,C,1,LA,6,0,0,0,0,4,58.3,,,,,,0,0,0,0,0,2016,6
Kapri Bibbs,8906,HB,1,DEN,6,5,4,5,0,0,59.5,,,,,,0,0,0,0,0,2016,6
Dewey McDonald,8913,S,1,SEA,5,6,4,5,0,0,64.0,,,,,,0,0,1,0,0,2016,6
Bennie Fowler,8914,WR,1,DEN,6,5,4,0,0,0,59.5,,,,,,0,0,0,0,0,2016,6
Max Bullough,8919,LB,1,HST,6,6,5,5,6,0,67.3,,,,,,0,0,2,0,0,2016,6
Brent Qvale,8921,T,1,NYJ,2,0,0,0,0,1,59.3,,,,,,0,0,0,0,0,2016,6
Brock Coyle,8929,LB,1,SEA,5,6,4,5,4,0,59.9,,,,,,0,0,0,0,0,2016,6
Cairo Santos,8932,K,1,KC,0,6,0,0,0,6,60.0,60.0,,,,37.1,0,0,1,0,0,2016,6
Kerry Wynn,8938,ED,1,NYG,6,6,1,0,0,0,65.1,,,,,,0,0,1,0,0,2016,6
Jamie Meder,8940,DI,1,CLV,0,0,1,0,5,4,60.1,,,,,,0,0,0,0,0,2016,6
Albert Wilson,8943,WR,1,KC,0,6,3,0,0,0,68.2,,,,,,0,0,0,1,0,2016,6
Casey Kreiter,8959,LS,1,DEN,0,0,0,5,0,4,81.0,,,,,,0,0,1,0,0,2016,6
Ethan Westbrooks,8976,ED,1,LA,0,0,0,0,5,0,60.2,,,,,,0,0,0,0,0,2016,6
Je'Ron Hamm,8981,TE,1,SF,8,5,4,0,0,0,58.7,,,,,,0,0,0,0,0,2016,6
Denico Autry,8982,DI,1,OAK,0,0,0,0,6,0,58.8,,,,,,0,0,0,0,0,2016,6
Corey Brown,8986,WR,1,CAR,2,0,0,0,0,0,59.2,,,,,,0,0,0,0,0,2016,6
Robert Nelson,8989,CB,1,HST,6,6,2,1,0,0,68.1,,,,,,0,0,2,0,0,2016,6
Chris Boswell,8990,K,1,PIT,0,3,0,0,0,1,60.0,60.0,,,,60.4,0,0,0,0,0,2016,6
Shaquil Barrett,9000,ED,1,DEN,0,0,1,5,5,0,58.4,,,,,,0,0,0,0,0,2016,6
