player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Zach Ertz,7816,TE,1,PHI,16,14,87.5,145,2,74.2,76.3,64.7,72.7,55.7,10.4,41,2.9,23,9,1,1,0,1,118.0,0,0,2018,10
Kenny Golladay,11851,WR,1,DET,12,6,50.0,78,1,70.4,70.2,75.6,17.7,,13.0,20,3.3,25,4,0,0,1,0,98.6,0,0,2018,10
Julian Edelman,5156,WR,1,NE,12,9,75.0,104,0,67.8,67.6,77.3,73.1,,11.6,47,5.2,30,4,0,0,0,0,100.7,0,0,2018,10
Brandin Cooks,8655,WR,1,LA,12,10,83.3,100,0,83.6,80.7,78.0,71.7,,10.0,53,5.3,17,5,0,0,0,0,101.4,0,0,2018,10
Austin Hooper,10715,TE,1,ATL,11,10,90.9,56,1,71.0,68.8,78.0,71.1,72.9,5.6,11,1.1,10,4,0,0,0,1,118.2,0,0,2018,10
DeVante Parker,9447,WR,1,MIA,11,5,45.5,43,0,64.1,64.0,73.4,68.0,,8.6,24,4.8,14,2,0,0,0,1,56.3,0,0,2018,10
Odell Beckham Jr.,8647,WR,1,NYG,11,4,36.4,73,2,68.7,67.8,29.2,68.0,,18.3,10,2.5,30,4,2,0,0,0,99.6,0,0,2018,10
Julio Jones,6158,WR,1,ATL,11,7,63.6,107,1,69.3,68.3,52.1,69.5,,15.3,32,4.6,30,6,1,0,0,2,125.9,0,0,2018,10
Zay Jones,11792,WR,1,BUF,11,8,72.7,93,1,90.9,90.2,76.5,18.5,61.6,11.6,34,4.3,33,6,0,0,1,0,128.2,0,0,2018,10
George Kittle,11901,TE,1,SF,10,9,90.0,83,0,66.3,72.1,78.0,71.1,73.9,9.2,45,5.0,22,4,0,0,0,1,101.3,2,0,2018,10
Josh Gordon,7618,WR,1,NE,10,4,40.0,81,0,68.8,67.8,41.6,67.0,,20.3,20,5.0,44,3,1,0,0,0,69.2,0,0,2018,10
Corey Davis,11760,WR,1,TEN,10,7,70.0,125,1,92.3,92.8,75.6,69.5,,17.9,23,3.3,27,6,0,0,0,0,145.8,0,0,2018,10
Dede Westbrook,11865,WR,1,JAX,9,5,55.6,30,0,56.2,55.9,45.8,71.3,,6.0,26,5.2,11,3,1,0,0,0,62.3,0,0,2018,10
Ricky Seals-Jones,12020,TE,1,ARZ,9,5,55.6,51,0,57.1,61.3,73.4,68.0,,10.2,12,2.4,21,3,0,1,0,1,32.4,0,0,2018,10
Amari Cooper,9437,WR,1,DAL,9,6,66.7,75,0,79.7,78.8,74.6,68.8,,12.5,22,3.7,24,5,0,0,0,0,92.4,0,0,2018,10
Tyreek Hill,10799,WR,1,KC,9,7,77.8,117,2,85.9,87.5,75.6,72.6,,16.7,53,7.6,38,4,0,0,0,1,158.3,1,0,2018,10
