player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Chad Henne,4371,QB,1,JAX,54,51,30,58.8,331,6.5,1,1,56.3,57.1,56.8,81.0,3,2,4,3,0,76.5,0,17,2013,17
Joe Flacco,4332,QB,1,BLT,52,50,30,60.0,192,3.8,1,3,34.5,36.2,56.7,81.0,2,1,0,3,0,49.8,0,12,2013,17
Kirk Cousins,7102,QB,1,WAS,53,49,19,38.8,169,3.4,0,2,45.6,47.8,52.8,80.6,3,1,5,2,0,31.8,1,7,2013,17
Carson Palmer,1317,QB,1,ARZ,50,49,28,57.1,407,8.3,2,1,68.1,68.1,56.7,80.7,1,0,3,0,2,89.4,0,16,2013,17
Kyle Orton,2323,QB,1,DAL,47,46,30,65.2,358,7.8,2,2,67.7,65.6,64.0,80.3,0,1,1,2,0,85.2,1,17,2013,17
Mike Glennon,7854,QB,1,TB,43,41,22,53.7,219,5.3,2,1,77.9,76.3,,80.0,2,1,4,2,0,75.2,0,11,2013,17
Jason Campbell,2242,QB,1,CLV,45,41,23,56.1,240,5.9,1,1,65.0,66.6,57.9,79.8,3,2,2,3,0,71.2,1,10,2013,17
Ryan Tannehill,7014,QB,1,MIA,41,40,20,50.0,204,5.1,1,3,59.0,60.2,52.3,79.5,0,0,3,1,0,42.1,1,16,2013,17
Matt Ryan,4317,QB,1,ATL,49,40,28,70.0,280,7.0,2,1,69.0,70.2,50.7,80.9,9,0,4,1,0,95.8,0,13,2013,17
Aaron Rodgers,2241,QB,1,GB,43,39,25,64.1,318,8.2,2,2,58.8,57.1,63.3,79.6,3,0,3,3,0,85.2,1,16,2013,17
Terrelle Pryor Sr.,6944,QB,1,OAK,47,38,21,55.3,207,5.4,2,0,56.0,57.4,54.5,45.7,2,0,4,2,0,88.4,7,16,2013,17
Andrew Luck,7007,QB,1,IND,39,37,26,70.3,282,7.6,1,0,73.5,77.6,41.5,39.3,1,1,1,1,0,101.4,1,15,2013,17
Andy Dalton,6187,QB,1,CIN,37,36,21,58.3,281,7.8,2,4,68.7,68.8,63.9,79.9,0,0,2,3,0,62.2,1,12,2013,17
Matt Schaub,1811,QB,1,HST,36,34,22,64.7,229,6.7,0,2,79.4,78.3,60.0,78.7,1,0,2,2,0,59.6,1,13,2013,17
Colin Kaepernick,6188,QB,1,SF,38,34,21,61.8,310,9.1,2,0,70.9,74.4,54.5,79.2,2,2,1,3,0,111.2,2,15,2013,17
Matthew Stafford,4924,QB,1,DET,38,33,22,66.7,217,6.6,1,0,54.8,56.4,,78.7,5,2,1,2,0,95.1,0,9,2013,17
Philip Rivers,1725,QB,1,SD,38,33,22,66.7,229,6.9,3,1,77.8,80.6,48.5,79.1,3,1,1,1,0,104.2,2,9,2013,17
Matt Cassel,2447,QB,1,MIN,37,33,20,60.6,189,5.7,1,1,58.2,61.4,47.9,79.4,3,4,1,0,0,73.9,1,12,2013,17
Ben Roethlisberger,1732,QB,1,PIT,34,31,19,61.3,179,5.8,1,2,58.8,68.3,29.5,27.8,1,1,2,0,0,61.1,2,11,2013,17
Drew Brees,802,QB,1,NO,33,31,24,77.4,381,12.3,4,0,92.3,92.0,60.2,78.2,1,1,0,0,0,157.4,1,15,2013,17
Chase Daniel,5214,QB,1,KC,37,30,21,70.0,200,6.7,1,0,64.3,60.8,67.3,79.5,2,0,2,0,1,99.3,5,14,2013,17
Kellen Clemens,2994,QB,1,SL,33,30,21,70.0,157,5.2,1,2,52.6,54.2,52.7,78.7,2,1,1,0,1,65.6,1,8,2013,17
Thaddeus Lewis,5817,QB,1,BUF,34,29,16,55.2,247,8.5,1,0,68.9,69.2,55.8,27.7,4,0,4,2,0,95.0,1,10,2013,17
Peyton Manning,327,QB,1,DEN,29,28,25,89.3,266,9.5,4,0,92.5,91.5,,77.4,1,0,0,0,0,145.8,0,16,2013,17
Geno Smith,7820,QB,1,NYJ,31,27,17,63.0,190,7.0,0,0,80.0,79.2,67.1,79.3,0,0,1,0,0,83.9,4,10,2013,17
Cam Newton,6153,QB,1,CAR,34,27,15,55.6,149,5.5,2,1,65.1,58.4,71.6,79.6,1,0,1,2,1,80.6,6,10,2013,17
Nick Foles,7089,QB,1,PHI,31,26,17,65.4,263,10.1,2,0,82.2,90.1,44.3,78.6,5,0,0,5,0,124.4,0,12,2013,17
Tom Brady,698,QB,1,NE,25,24,14,58.3,122,5.1,1,1,56.0,58.0,49.6,78.0,1,0,2,0,0,68.4,0,7,2013,17
Jay Cutler,2956,QB,1,CHI,25,24,15,62.5,226,9.4,2,1,91.1,90.3,,76.6,1,0,3,1,0,103.8,0,8,2013,17
Ryan Fitzpatrick,2467,QB,1,TEN,25,24,15,62.5,166,6.9,0,1,63.7,65.4,50.7,77.7,1,0,1,0,0,65.6,0,6,2013,17
Eli Manning,1722,QB,1,NYG,25,24,10,41.7,152,6.3,1,1,61.2,60.6,,76.6,1,0,2,3,0,59.7,0,7,2013,17
Russell Wilson,7077,QB,1,SEA,28,23,15,65.2,172,7.5,1,0,76.7,76.9,59.5,78.4,4,0,1,2,0,102.1,1,9,2013,17
