player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Aaron Rodgers,2241,QB,1,GB,62,55,37,67.3,442,8.0,2,0,74.8,68.7,83.3,83.0,4,0,1,5,0,103.8,3,21,2018,16
Taylor Heinicke,9896,QB,1,CAR,56,53,33,62.3,274,5.2,1,3,46.5,44.2,70.7,82.0,2,0,1,1,2,58.2,1,18,2018,16
Ben Roethlisberger,1732,QB,1,PIT,54,50,33,66.0,380,7.6,3,0,75.5,74.7,57.8,51.5,3,0,0,4,0,108.8,1,20,2018,16
Nick Foles,7089,QB,1,PHI,50,49,35,71.4,471,9.6,4,1,76.2,76.6,62.6,35.9,1,0,2,0,0,120.4,0,17,2018,16
Jameis Winston,9434,QB,1,TB,54,48,34,70.8,336,7.0,1,0,58.0,64.9,47.4,37.2,3,0,1,1,0,97.2,3,19,2018,16
Andrew Luck,7007,QB,1,IND,49,47,31,66.0,357,7.6,2,1,82.6,79.1,68.3,80.7,1,1,2,1,0,94.0,1,20,2018,16
Josh Allen,46601,QB,1,BUF,43,41,20,48.8,217,5.3,1,2,56.3,54.5,64.7,80.3,0,0,3,2,1,52.6,2,10,2018,16
Deshaun Watson,11767,QB,1,HST,50,40,29,72.5,339,8.5,2,0,86.9,84.2,70.0,35.3,4,0,0,2,0,114.5,6,20,2018,16
Patrick Mahomes,11765,QB,1,KC,44,40,23,57.5,273,6.8,3,0,84.9,83.2,64.8,79.8,1,0,2,3,1,103.4,3,17,2018,16
Drew Brees,802,QB,1,NO,41,39,27,69.2,326,8.4,1,0,86.5,84.8,60.0,79.9,2,2,1,1,0,103.2,0,16,2018,16
Nick Mullens,12282,QB,1,SF,39,38,22,57.9,241,6.3,0,1,58.0,59.5,,79.0,1,3,0,1,3,65.8,0,10,2018,16
Case Keenum,7323,QB,1,DEN,40,37,23,62.2,202,5.5,2,2,67.2,64.9,72.7,79.6,1,1,2,1,0,72.1,2,13,2018,16
Philip Rivers,1725,QB,1,LAC,42,37,23,62.2,181,4.9,0,2,68.6,68.4,58.3,79.9,4,0,0,2,1,51.7,1,10,2018,16
Baker Mayfield,46518,QB,1,CLV,41,37,27,73.0,284,7.7,3,0,86.8,85.3,66.1,80.1,0,1,1,1,0,121.9,3,15,2018,16
Sam Darnold,29048,QB,1,NYJ,38,35,24,68.6,341,9.7,3,0,88.7,87.8,59.8,79.3,2,0,2,3,0,128.4,1,18,2018,16
Eli Manning,1722,QB,1,NYG,33,33,25,75.8,309,9.4,1,1,78.5,75.7,65.3,78.7,0,0,1,2,1,101.7,0,17,2018,16
Matthew Stafford,4924,QB,1,DET,34,32,18,56.3,116,3.6,0,0,67.8,66.7,,78.6,2,1,3,0,0,64.1,0,8,2018,16
Mitchell Trubisky,11757,QB,1,CHI,34,29,25,86.2,246,8.5,1,0,65.7,65.9,57.4,41.1,3,0,0,0,0,113.5,0,12,2018,16
Russell Wilson,7077,QB,1,SEA,36,29,18,62.1,271,9.3,3,0,89.4,84.6,76.6,80.0,3,0,0,2,1,127.2,4,17,2018,16
Kirk Cousins,7102,QB,1,MIN,30,28,21,75.0,253,9.0,3,0,70.7,70.4,60.0,77.8,2,0,1,0,0,137.9,0,11,2018,16
Matt Ryan,4317,QB,1,ATL,27,26,15,57.7,239,9.2,3,0,70.3,69.1,60.0,76.9,1,0,1,1,0,126.9,0,8,2018,16
Derek Carr,8671,QB,1,OAK,27,26,19,73.1,167,6.4,0,0,73.8,74.4,55.7,78.3,1,2,0,0,0,89.7,0,8,2018,16
Dak Prescott,10769,QB,1,DAL,26,25,20,80.0,161,6.4,1,0,64.7,64.2,59.8,77.9,1,0,2,0,0,106.8,0,9,2018,16
Jared Goff,10635,QB,1,LA,27,24,19,79.2,216,9.0,1,0,87.9,87.1,61.9,77.1,2,2,0,1,0,118.1,1,11,2018,16
Tom Brady,698,QB,1,NE,25,24,13,54.2,126,5.3,1,2,63.1,61.8,,76.6,1,1,2,2,0,48.3,0,4,2018,16
Josh Rosen,35460,QB,1,ARZ,31,23,12,52.2,87,3.8,0,0,42.0,36.7,74.6,77.7,4,1,1,0,3,61.3,4,5,2018,16
Josh Johnson,4474,QB,1,WAS,26,23,13,56.5,153,6.7,1,2,61.9,61.8,58.2,77.8,2,0,0,1,0,55.2,1,9,2018,16
Ryan Tannehill,7014,QB,1,MIA,27,22,15,68.2,146,6.6,1,1,48.2,49.2,61.5,77.3,3,1,1,3,0,82.8,2,9,2018,16
