player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Adam Vinatieri,226,K,1,IND,0,0,0,0,0,7,60.0,,,,,65.1,0,0,0,0,0,2013,4
David Akers,295,K,1,DET,0,0,0,0,0,8,60.0,,,,,66.2,0,0,0,0,0,2013,4
Charles Woodson,330,S,1,OAK,0,0,0,0,4,0,59.8,,,,,,0,0,0,0,0,2013,4
Patrick Mannelly,410,LS,1,CHI,0,0,0,5,0,4,51.6,,,,,,0,0,0,0,0,2013,4
Phil Dawson,422,K,1,SF,0,7,0,0,0,7,60.0,59.9,,,,51.2,0,0,0,0,0,2013,4
London Fletcher,424,LB,1,WAS,0,0,1,0,2,0,60.1,,,,,,0,0,0,0,0,2013,4
Brian Waters,575,G,1,DAL,0,0,0,0,0,4,61.0,,,,,,0,0,0,0,0,2013,4
John Abraham,591,ED,1,ARZ,0,0,4,0,2,0,59.6,,,,,,0,0,0,0,0,2013,4
Sebastian Janikowski,595,K,1,OAK,0,3,0,0,0,3,60.0,60.0,,,,48.4,0,0,0,0,0,2013,4
Shane Lechler,673,P,1,HST,0,0,0,8,0,4,61.8,,,62.2,,,0,0,1,0,0,2013,4
Mike Leach,750,LS,1,ARZ,0,0,0,7,0,3,37.4,,,,,,0,0,0,0,0,2013,4
Rian Lindell,754,K,1,TB,0,0,0,0,0,2,60.0,,,,,74.8,0,0,0,0,0,2013,4
Justin Smith,776,DI,1,SF,0,0,5,0,1,0,59.6,,,,,,0,0,0,0,0,2013,4
Dominic Raiola,820,C,1,DET,0,0,0,0,0,8,60.8,,,,,,0,0,0,0,0,2013,4
Shaun Rogers,828,DI,1,NYG,0,0,1,0,6,2,59.4,,,,,,0,0,0,0,0,2013,4
Roberto Garza,856,C,1,CHI,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2013,4
Jay Feely,955,K,1,ARZ,0,4,0,0,0,3,60.0,60.0,,,,63.9,0,0,0,0,0,2013,4
Julius Peppers,1010,ED,1,CHI,0,0,0,0,8,0,59.5,,,,,,0,0,0,0,0,2013,4
Quentin Jammer,1013,CB,1,DEN,0,9,5,0,2,0,64.4,,,,,,0,0,0,0,0,2013,4
Bryant McKinnie,1015,T,1,BLT,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2013,4
Andre Gurode,1044,C,1,OAK,0,0,0,0,0,3,60.3,,,,,,0,0,0,0,0,2013,4
Will Witherspoon,1079,LB,1,SL,0,0,0,8,5,0,58.3,,,,,,0,0,0,0,0,2013,4
Dave Zastudil,1113,P,1,ARZ,0,0,0,7,0,3,66.6,,,64.4,,,0,0,0,0,0,2013,4
Brett Keisel,1204,DI,1,PIT,0,0,0,0,7,0,59.6,,,,,,0,0,0,0,0,2013,4
Rob Bironas,1218,K,1,TEN,0,7,0,0,0,6,60.0,60.9,,,,61.9,0,0,0,0,0,2013,4
Matt Bryant,1223,K,1,ATL,0,0,0,0,0,5,60.0,,,,,64.8,0,0,0,0,0,2013,4
Ryan Clark,1229,S,1,PIT,0,0,0,0,7,0,60.3,,,,,,0,0,0,0,0,2013,4
Billy Cundiff,1230,K,1,CLV,0,0,0,0,0,5,60.0,,,,,39.0,0,0,0,0,0,2013,4
James Harrison,1251,LB,1,CIN,0,0,0,0,5,0,60.1,,,,,,0,0,0,0,0,2013,4
Terence Newman,1321,CB,1,CIN,0,0,0,0,5,0,60.1,,,,,,0,0,0,0,0,2013,4
Kevin Williams,1325,DI,1,MIN,0,0,0,0,5,0,59.4,,,,,,0,0,0,0,0,2013,4
Troy Polamalu,1332,S,1,PIT,0,0,0,0,7,0,60.0,,,,,,0,0,0,0,0,2013,4
Nick Barnett,1345,LB,1,WAS,3,5,6,0,1,0,51.6,,,,,,0,0,0,0,0,2013,4
Anquan Boldin,1369,WR,1,SF,1,0,0,0,0,0,60.0,,,,,,0,0,0,0,0,2013,4
Cory Redding,1381,DI,1,IND,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2013,4
Lance Briggs,1383,LB,1,CHI,0,0,0,0,8,0,60.3,,,,,,0,0,0,0,0,2013,4
Jason Witten,1384,TE,1,DAL,0,0,0,0,0,4,60.2,,,,,,0,0,0,0,0,2013,4
Wade Smith,1393,G,1,HST,0,0,0,0,0,4,61.0,,,,,,0,0,0,0,0,2013,4
Jarret Johnson,1421,ED,1,SD,0,0,2,0,4,0,29.4,,,,,,1,0,0,0,0,2013,4
Ike Taylor,1437,CB,1,PIT,0,1,4,0,7,0,60.4,,,,,,0,0,0,0,0,2013,4
Mike Scifres,1458,P,1,SD,0,0,0,4,0,6,61.8,,,62.8,,,0,0,1,0,0,2013,4
Tony Pashos,1478,T,1,OAK,0,0,0,0,0,3,60.4,,,,,,0,0,0,0,0,2013,4
Yeremiah Bell,1513,S,1,ARZ,0,0,4,4,2,0,73.4,,,,,,0,0,1,0,0,2013,4
Josh Brown,1520,K,1,NYG,0,2,0,0,0,2,60.0,60.0,,,,54.7,0,0,0,0,0,2013,4
Chris Clemons,1585,ED,1,SEA,0,0,0,0,2,0,59.7,,,,,,0,0,0,0,0,2013,4
Jon Dorenbos,1600,LS,1,PHI,0,0,0,5,0,5,36.9,,,,,,0,0,0,0,0,2013,4
Israel Idonije,1632,ED,1,DET,4,0,0,0,4,0,59.8,,,,,,0,0,0,0,0,2013,4
Cullen Jenkins,1637,DI,1,NYG,0,0,1,0,6,0,59.4,,,,,,0,0,0,0,0,2013,4
Kassim Osgood,1676,WR,1,SF,2,7,6,7,0,0,34.9,,,,,,0,0,0,1,0,2013,4
DeAngelo Hall,1729,CB,1,WAS,0,0,1,0,3,0,60.2,,,,,,0,0,0,0,0,2013,4
D.J. Williams,1738,LB,1,CHI,0,0,0,0,5,0,59.8,,,,,,0,0,0,0,0,2013,4
Benjamin Watson,1753,TE,1,NO,1,0,0,0,0,7,59.9,,,,,,0,0,0,0,0,2013,4
Karlos Dansby,1754,LB,1,ARZ,0,0,4,0,1,0,30.4,,,,,,1,1,0,0,0,2013,4
Greg Jones II,1776,FB,1,HST,6,0,0,8,0,0,59.1,,,,,,0,0,0,0,0,2013,4
Darnell Dockett,1785,DI,1,ARZ,0,0,2,0,1,0,60.3,,,,,,0,0,0,0,0,2013,4
Randy Starks,1792,DI,1,MIA,0,0,0,0,7,0,58.6,,,,,,0,0,0,0,0,2013,4
Shaun Phillips,1819,ED,1,DEN,0,0,1,0,0,0,59.9,,,,,,0,0,0,0,0,2013,4
Luke McCown,1827,QB,1,NO,0,0,0,0,0,7,60.7,,,,,,0,0,0,0,0,2013,4
Will Allen,1832,S,1,DAL,0,4,0,0,0,0,45.5,,,,,,0,0,0,0,0,2013,4
Jared Allen,1847,ED,1,MIN,0,0,1,0,5,0,59.9,,,,,,0,0,0,0,0,2013,4
Antonio Smith,1856,DI,1,HST,0,0,1,0,4,0,59.5,,,,,,0,0,0,0,0,2013,4
Josh Scobee,1858,K,1,JAX,0,2,0,0,0,1,60.0,60.0,,,,62.0,0,0,0,0,0,2013,4
Andy Lee,1906,P,1,SF,0,0,0,8,0,7,61.0,,,70.9,,,0,0,0,0,0,2013,4
Donnie Jones,1939,P,1,PHI,0,0,0,5,0,5,67.2,,,59.2,,,0,0,0,0,0,2013,4
Mike Adams,1972,S,1,DEN,1,9,4,2,5,0,61.5,,,,,,0,0,0,0,0,2013,4
Tyson Clabo,2011,T,1,MIA,0,0,0,0,0,3,60.4,,,,,,0,0,0,0,0,2013,4
Tommy Kelly,2093,DI,1,NE,0,0,0,0,5,0,59.7,,,,,,0,0,0,0,0,2013,4
Vonta Leach,2100,FB,1,BLT,6,0,0,0,0,0,69.8,,,,,,0,0,0,0,0,2013,4
Cullen Loeffler,2106,LS,1,MIN,0,0,0,4,0,7,50.2,,,,,,0,0,0,0,0,2013,4
Don Muhlbach,2130,LS,1,DET,0,0,0,3,0,8,50.2,,,,,,0,0,0,0,0,2013,4
George Wilson,2210,S,1,TEN,1,0,5,7,0,0,68.0,,,,,,0,0,0,0,0,2013,4
Ronnie Brown,2219,HB,1,SD,4,0,0,0,0,0,75.4,,,,,,0,0,0,0,0,2013,4
Antrel Rolle,2225,S,1,NYG,0,2,0,0,0,0,60.0,,,,,,0,0,0,0,0,2013,4
DeMarcus Ware,2228,ED,1,DAL,0,0,1,0,3,0,59.7,,,,,,0,0,0,0,0,2013,4
Derrick Johnson,2232,LB,1,KC,0,0,0,0,2,0,60.0,,,,,,0,0,0,0,0,2013,4
