player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Adrian Peterson,3623,HB,1,MIN,28,26,203,7.8,1,78.7,76.6,79.1,60.0,125,4.81,80,8,2,0,0,0,2015,10
Chris Johnson,4338,HB,1,ARZ,25,25,58,2.3,0,53.5,60.4,78.4,,39,1.56,8,3,5,0,0,0,2015,10
Charcandrick West,9047,HB,1,KC,25,24,69,2.9,1,70.1,72.4,78.6,60.0,41,1.71,15,6,4,0,0,0,2015,10
DeMarco Murray,6223,HB,1,PHI,24,22,61,2.8,0,58.0,55.2,79.0,60.0,41,1.86,13,7,3,0,0,0,2015,10
Jonathan Stewart,4327,HB,1,CAR,29,22,91,4.1,1,65.4,67.5,77.7,60.0,37,1.68,17,3,2,0,0,0,2015,10
Jeremy Langford,9539,HB,1,CHI,22,20,73,3.7,1,67.5,60.5,78.1,60.0,35,1.75,23,4,1,0,0,0,2015,10
LeSean McCoy,4976,HB,1,BUF,23,19,112,5.9,0,85.1,75.7,77.9,60.0,55,2.89,16,6,7,0,0,0,2015,10
LeGarrette Blount,5863,HB,1,NE,20,19,66,3.5,1,65.0,65.3,77.4,60.0,39,2.05,13,4,5,0,0,0,2015,10
Chris Ivory,6007,HB,1,NYJ,18,18,99,5.5,0,50.2,54.0,25.3,,58,3.22,21,5,3,1,0,0,2015,10
T.J. Yeldon,9469,HB,1,JAX,19,18,61,3.4,0,68.2,69.6,77.5,60.0,40,2.22,16,4,5,0,0,0,2015,10
Doug Martin,7035,HB,1,TB,20,18,63,3.5,0,63.6,59.3,77.5,60.0,53,2.94,18,3,3,0,0,0,2015,10
DeAngelo Williams,2972,HB,1,PIT,17,17,54,3.2,0,58.4,56.5,25.0,72.4,32,1.88,12,4,2,1,0,0,2015,10
Darren McFadden,4318,HB,1,DAL,17,17,32,1.9,0,58.6,59.0,76.7,,20,1.18,7,2,2,0,0,0,2015,10
Lamar Miller,7097,HB,1,MIA,19,16,43,2.7,0,66.6,54.7,77.2,60.0,18,1.13,11,1,1,0,0,0,2015,10
Alfred Morris,7165,HB,1,WAS,15,15,92,6.1,0,77.1,76.1,76.4,,36,2.4,28,4,2,0,0,0,2015,10
James Starks,5716,HB,1,GB,16,15,42,2.8,0,58.1,49.9,76.6,60.0,23,1.53,9,2,0,0,0,0,2015,10
Joique Bell,5797,HB,1,DET,17,14,17,1.2,0,51.8,50.9,75.5,60.0,16,1.14,6,0,2,0,0,0,2015,10
Justin Forsett,4547,HB,1,BLT,14,14,53,3.8,0,57.4,54.4,76.0,,26,1.86,16,3,3,0,0,0,2015,10
Ka'Deem Carey,8752,HB,1,CHI,15,14,56,4.0,0,55.4,56.5,23.2,60.0,36,2.57,9,3,2,1,0,0,2015,10
Todd Gurley II,9443,HB,1,SL,14,12,45,3.8,1,55.5,55.1,75.0,60.0,24,2.0,9,2,0,0,0,0,2015,10
Latavius Murray,7962,HB,1,OAK,12,12,48,4.0,0,63.0,58.0,75.5,,25,2.08,14,2,0,0,0,0,2015,10
Alfred Blue,8816,HB,1,HST,14,12,22,1.8,0,46.3,45.4,74.5,60.0,18,1.5,5,1,4,0,0,0,2015,10
Ronnie Hillman,7069,HB,1,DEN,11,11,42,3.8,1,70.2,76.8,74.6,,31,2.82,19,4,3,0,0,0,2015,10
Tim Hightower,4463,HB,1,NO,11,11,46,4.2,0,78.9,76.3,73.8,,23,2.09,9,3,0,0,0,0,2015,10
Antonio Andrews,9014,HB,1,TEN,12,11,8,0.7,0,53.7,53.8,73.8,60.0,10,0.91,6,1,0,0,0,0,2015,10
Rashad Jennings,5174,HB,1,NYG,11,11,39,3.5,0,63.3,60.2,74.4,,23,2.09,6,1,0,0,0,0,2015,10
Matt Jones,9528,HB,1,WAS,11,11,56,5.1,0,80.1,68.2,74.6,,33,3.0,20,3,1,0,0,0,2015,10
Cam Newton,6153,QB,1,CAR,33,8,23,2.6,1,83.3,76.3,79.9,60.0,11,1.22,7,5,0,0,1,0,2015,10
Marshawn Lynch,3628,HB,1,SEA,10,8,42,5.3,1,82.9,87.3,74.5,60.0,44,5.5,16,3,5,0,0,0,2015,10
Giovani Bernard,7818,HB,1,CIN,12,8,36,4.5,0,66.6,74.2,74.0,60.0,26,3.25,9,2,0,0,0,0,2015,10
C.J. Spiller,5534,HB,1,NO,9,8,24,3.0,0,49.7,45.9,26.2,60.0,5,0.63,7,0,1,1,0,0,2015,10
Jeremy Hill,8690,HB,1,CIN,7,7,15,2.1,0,69.4,68.3,73.7,,13,1.86,6,1,1,0,0,0,2015,10
Karlos Williams,9588,HB,1,BUF,8,7,24,3.4,0,69.2,62.6,71.9,60.0,20,2.86,13,1,2,0,0,0,2015,10
Ryan Mathews,5537,HB,1,PHI,7,7,18,2.6,1,53.6,50.7,72.9,,11,1.57,12,2,0,0,0,0,2015,10
Isaiah Crowell,9295,HB,1,CLV,8,6,-5,-0.8,0,50.5,52.1,72.5,60.0,5,0.83,4,0,0,0,0,0,2015,10
Jonathan Grimes,7585,HB,1,HST,6,6,33,5.5,0,55.7,53.2,71.1,,14,2.33,14,1,0,0,0,0,2015,10
Russell Wilson,7077,QB,1,SEA,12,0,52,8.7,0,53.1,69.3,27.2,60.0,8,1.33,20,3,1,1,2,0,2015,10
Alex Smith,2218,QB,1,KC,29,3,33,5.5,0,45.7,65.7,79.7,60.0,0,0.0,17,2,0,0,1,0,2015,10
Tre Mason,8710,HB,1,SL,7,6,31,5.2,0,38.5,47.9,18.4,60.0,18,3.0,11,2,1,1,0,0,2015,10
