player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Ben Roethlisberger,1732,QB,1,PIT,58,55,40,72.7,380,6.9,3,2,66.2,65.3,60.5,82.3,3,1,2,1,0,94.5,0,21,2015,15
Drew Brees,802,QB,1,NO,54,52,34,65.4,341,6.6,3,0,88.3,85.0,64.4,81.4,1,1,2,1,0,103.1,1,22,2015,15
Jameis Winston,9434,QB,1,TB,51,50,29,58.0,363,7.3,2,1,62.4,65.7,46.3,80.9,0,0,3,1,2,85.7,1,21,2015,15
Blaine Gabbert,6162,QB,1,SF,56,50,30,60.0,295,5.9,1,3,60.4,61.0,54.2,81.5,4,0,8,1,0,58.3,2,12,2015,15
Derek Carr,8671,QB,1,OAK,53,47,23,48.9,276,5.9,2,2,52.3,50.2,67.3,81.2,3,0,4,4,0,63.8,3,12,2015,15
Eli Manning,1722,QB,1,NYG,47,46,29,63.0,245,5.3,4,1,81.4,81.0,56.8,80.3,0,2,2,3,0,96.7,1,11,2015,15
Jimmy Clausen,5573,QB,1,BLT,52,45,26,57.8,281,6.2,2,2,53.3,57.0,44.5,80.8,2,1,3,2,0,72.5,5,13,2015,15
Cam Newton,6153,QB,1,CAR,50,45,25,55.6,340,7.6,5,0,78.6,75.2,71.2,81.2,3,1,2,1,1,116.9,2,22,2015,15
Brock Osweiler,7059,QB,1,DEN,49,44,21,47.7,296,6.7,3,1,59.1,61.7,47.1,23.8,2,1,2,2,1,83.1,3,15,2015,15
Sam Bradford,5526,QB,1,PHI,44,41,28,68.3,361,8.8,2,2,68.2,67.9,58.3,79.6,2,2,3,0,0,91.6,1,15,2015,15
Ryan Fitzpatrick,2467,QB,1,NYJ,43,39,26,66.7,299,7.7,1,1,69.7,67.8,64.8,80.3,2,0,2,1,1,87.4,2,16,2015,15
Aaron Rodgers,2241,QB,1,GB,41,39,22,56.4,204,5.2,1,1,63.4,62.5,60.0,80.3,2,0,4,2,0,68.8,0,11,2015,15
Blake Bortles,8638,QB,1,JAX,44,38,23,60.5,297,7.8,1,1,72.5,62.8,90.1,29.9,2,1,3,1,0,82.9,4,16,2015,15
Jay Cutler,2956,QB,1,CHI,42,37,26,70.3,231,6.2,2,1,44.1,45.5,53.1,79.6,5,1,0,2,0,93.4,0,13,2015,15
Philip Rivers,1725,QB,1,SD,37,36,26,72.2,311,8.6,3,2,64.3,64.8,,79.3,1,2,1,1,0,102.9,0,16,2015,15
Matt Ryan,4317,QB,1,ATL,37,35,22,62.9,246,7.0,1,1,75.9,76.1,54.4,79.7,1,3,1,2,0,81.4,1,13,2015,15
Tom Brady,698,QB,1,NE,37,35,23,65.7,267,7.6,2,0,79.0,77.4,,78.7,2,0,1,1,1,107.7,0,12,2015,15
Ryan Tannehill,7014,QB,1,MIA,37,34,20,58.8,216,6.4,0,0,57.6,59.1,52.5,28.7,3,0,1,2,1,77.6,0,8,2015,15
Carson Palmer,1317,QB,1,ARZ,34,32,20,62.5,274,8.6,1,0,92.7,91.4,64.4,78.4,2,0,3,1,0,100.3,0,15,2015,15
Johnny Manziel,8657,QB,1,CLV,36,32,19,59.4,161,5.0,1,1,51.7,48.4,70.1,39.3,3,0,5,2,0,69.9,1,10,2015,15
Matt Hasselbeck,408,QB,1,IND,33,30,17,56.7,147,4.9,1,1,61.4,63.7,58.3,77.9,2,1,0,2,0,66.9,1,9,2015,15
Russell Wilson,7077,QB,1,SEA,35,30,21,70.0,249,8.3,3,0,70.8,66.6,77.2,79.2,2,0,1,2,0,128.3,3,16,2015,15
Kirk Cousins,7102,QB,1,WAS,30,28,22,78.6,319,11.4,4,0,91.2,89.3,69.1,78.1,1,1,1,2,0,153.7,1,14,2015,15
Zach Mettenberger,8813,QB,1,TEN,31,28,20,71.4,242,8.6,2,2,42.1,44.5,52.5,77.7,2,0,1,0,0,91.7,1,10,2015,15
Tyrod Taylor,6332,QB,1,BUF,39,27,16,59.3,235,8.7,2,0,91.9,80.9,91.0,29.3,5,0,3,1,1,112.4,7,13,2015,15
Alex Smith,2218,QB,1,KC,32,25,21,84.0,171,6.8,1,0,69.8,74.1,54.6,77.7,3,0,0,1,0,108.5,4,10,2015,15
Matthew Stafford,4924,QB,1,DET,30,25,22,88.0,254,10.2,3,0,83.3,86.1,51.9,77.9,3,0,0,0,0,148.6,2,15,2015,15
Kellen Moore,7466,QB,1,DAL,26,25,15,60.0,158,6.3,1,3,37.8,38.6,,76.6,1,0,1,1,1,52.2,0,8,2015,15
A.J. McCarron,8799,QB,1,CIN,27,21,15,71.4,192,9.1,1,0,72.5,75.3,50.4,77.0,4,0,1,1,1,115.6,2,8,2015,15
Teddy Bridgewater,8667,QB,1,MIN,24,20,17,85.0,231,11.6,4,0,86.3,85.6,66.1,76.6,1,1,2,0,0,154.4,3,11,2015,15
Brandon Weeden,7028,QB,1,HST,21,18,11,61.1,105,5.8,1,0,66.5,65.0,62.9,25.2,1,0,1,0,0,95.8,2,6,2015,15
Case Keenum,7323,QB,1,SL,19,17,14,82.4,234,13.8,2,0,81.6,83.9,60.5,75.9,2,0,0,0,0,158.0,0,11,2015,15
T.J. Yates,6304,QB,1,HST,13,10,6,60.0,68,6.8,0,1,63.8,60.4,66.4,74.2,2,0,0,0,0,40.8,1,4,2015,15
Matt Cassel,2447,QB,1,DAL,9,8,3,37.5,37,4.6,0,1,27.4,26.8,,70.9,1,0,0,0,0,13.0,0,1,2015,15
Marcus Mariota,9435,QB,1,TEN,9,6,3,50.0,32,5.3,0,0,53.8,53.4,,70.9,3,0,0,1,0,66.0,0,1,2015,15
Charlie Whitehurst,3026,QB,1,IND,3,2,1,50.0,13,6.5,0,0,63.4,63.0,,65.5,1,0,0,0,0,70.8,0,1,2015,15
Drew Stanton,3659,QB,1,ARZ,1,1,0,0.0,0,0.0,0,0,60.1,59.1,60.0,66.7,0,0,0,0,0,39.6,0,0,2015,15
