player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Carson Wentz,10636,QB,1,PHI,49,47,27,57.4,364,7.7,0,2,57.2,60.1,47.0,81.0,2,0,2,4,1,64.5,0,14,2016,9
Case Keenum,7323,QB,1,LA,50,46,27,58.7,296,6.4,1,1,49.4,49.6,,28.3,4,3,3,1,1,76.0,0,15,2016,9
Ben Roethlisberger,1732,QB,1,PIT,48,45,23,51.1,264,5.9,1,1,52.0,57.2,41.6,32.6,2,1,4,1,0,67.3,1,11,2016,9
Marcus Mariota,9435,QB,1,TEN,43,43,27,62.8,313,7.3,3,2,64.2,67.1,44.7,30.0,0,0,1,0,1,88.6,0,15,2016,9
Aaron Rodgers,2241,QB,1,GB,51,43,26,60.5,297,6.9,3,1,59.3,57.4,65.3,81.0,3,0,3,3,0,94.8,5,18,2016,9
Blake Bortles,8638,QB,1,JAX,47,41,22,53.7,252,6.1,2,1,60.9,56.3,73.7,80.6,2,0,1,2,2,78.5,4,19,2016,9
Sam Bradford,5526,QB,1,MIN,42,40,31,77.5,273,6.8,1,0,64.4,63.5,,79.6,2,1,2,1,0,103.4,0,13,2016,9
Colin Kaepernick,6188,QB,1,SF,42,39,24,61.5,398,10.2,2,1,51.9,55.1,48.0,31.4,1,1,1,2,1,102.3,2,18,2016,9
Drew Brees,802,QB,1,NO,40,39,28,71.8,323,8.3,3,0,81.9,80.2,60.0,80.0,1,1,0,1,0,122.1,0,14,2016,9
Tyrod Taylor,6332,QB,1,BUF,46,38,27,71.1,289,7.6,1,1,85.6,84.4,71.4,81.1,5,0,2,4,1,90.8,3,17,2016,9
Trevor Siemian,9683,QB,1,DEN,39,37,18,48.6,283,7.6,2,1,58.9,58.5,,28.6,2,3,1,3,0,81.3,0,9,2016,9
Jameis Winston,9434,QB,1,TB,40,37,23,62.2,261,7.1,3,0,64.7,70.3,35.7,29.9,2,1,2,2,1,110.3,1,13,2016,9
Andrew Luck,7007,QB,1,IND,42,36,23,63.9,281,7.8,1,2,68.6,70.3,53.6,80.2,2,1,0,0,1,74.0,3,14,2016,9
Eli Manning,1722,QB,1,NYG,37,36,22,61.1,257,7.1,4,2,86.0,84.1,60.0,79.5,1,2,2,0,0,96.6,0,11,2016,9
Matthew Stafford,4924,QB,1,DET,37,36,23,63.9,219,6.1,2,1,78.3,76.8,,79.2,1,0,4,1,1,87.6,0,12,2016,9
Matt Ryan,4317,QB,1,ATL,36,34,25,73.5,344,10.1,4,0,90.7,91.7,43.1,21.6,2,1,2,2,0,144.7,0,20,2016,9
Nick Foles,7089,QB,1,KC,35,33,20,60.6,187,5.7,1,0,58.3,57.5,60.5,79.1,2,0,2,1,0,86.3,0,6,2016,9
Philip Rivers,1725,QB,1,SD,34,33,24,72.7,275,8.3,2,0,66.9,65.6,60.5,79.7,1,0,2,2,0,117.6,0,16,2016,9
Cam Newton,6153,QB,1,CAR,37,32,20,62.5,225,7.0,1,0,66.7,66.3,60.2,80.3,5,0,1,1,1,93.9,0,11,2016,9
Derek Carr,8671,QB,1,OAK,34,31,20,64.5,184,5.9,0,0,65.2,66.3,58.1,79.9,2,0,1,1,0,80.6,1,12,2016,9
Joe Flacco,4332,QB,1,BLT,34,30,18,60.0,241,8.0,1,1,51.2,50.0,69.1,79.3,3,0,0,0,0,82.8,1,8,2016,9
Ryan Tannehill,7014,QB,1,MIA,29,28,17,60.7,149,5.3,1,0,50.6,51.3,55.5,78.1,1,1,2,1,1,86.8,0,9,2016,9
Ryan Fitzpatrick,2467,QB,1,NYJ,33,27,16,59.3,194,7.2,1,2,43.7,38.8,71.4,78.4,3,0,0,0,1,62.9,3,10,2016,9
Cody Kessler,10727,QB,1,CLV,32,27,19,70.4,203,7.5,1,0,68.0,66.7,62.2,78.0,4,0,0,2,0,104.4,1,9,2016,9
Dak Prescott,10769,QB,1,DAL,29,27,21,77.8,247,9.1,3,0,85.4,82.7,68.6,77.9,0,0,1,1,0,141.8,2,16,2016,9
Russell Wilson,7077,QB,1,SEA,31,26,20,76.9,282,10.8,2,0,94.5,93.2,69.6,78.7,4,0,0,2,0,137.0,1,14,2016,9
Mike Glennon,7854,QB,1,TB,11,11,10,90.9,75,6.8,1,0,75.0,73.7,,72.4,0,0,1,0,0,125.4,0,6,2016,9
Bryce Petty,9536,QB,1,NYJ,2,2,2,100.0,19,9.5,0,0,62.6,62.0,,63.6,0,0,0,0,0,106.3,0,1,2016,9
Jonathan Williams,10790,HB,1,BUF,1,1,0,0.0,0,0.0,0,0,59.6,60.0,,60.4,0,0,0,0,0,39.6,0,0,2016,9
Jarvis Landry,8698,WR,1,MIA,1,1,0,0.0,0,0.0,0,0,71.4,60.0,,69.7,0,0,0,1,0,39.6,0,0,2016,9
Ryan Mallett,6226,QB,1,BLT,1,1,1,100.0,9,9.0,0,0,60.9,60.4,,60.4,0,0,0,0,0,104.2,0,0,2016,9
Mark Sanchez,4928,QB,1,DAL,1,1,1,100.0,8,8.0,0,0,54.8,54.1,60.0,66.7,0,0,0,0,0,100.0,0,1,2016,9
