player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Davante Adams,8688,WR,1,GB,15,10,66.7,180,0,90.7,90.2,78.0,71.1,,18.0,98,9.8,58,7,0,0,0,0,107.6,0,0,2019,4
Chris Godwin,11839,WR,1,TB,14,12,85.7,172,2,92.1,92.4,79.4,71.9,,14.3,82,6.8,30,12,0,0,0,2,157.4,1,0,2019,4
Cooper Kupp,11824,WR,1,LA,14,9,64.3,121,1,69.7,69.8,77.3,71.3,34.7,13.4,51,5.7,29,5,0,1,0,2,85.7,0,0,2019,4
Robert Woods,7822,WR,1,LA,13,13,100.0,164,0,83.4,82.3,80.0,72.3,,12.6,66,5.1,37,10,0,0,0,0,118.8,1,0,2019,4
Cole Beasley,7330,WR,1,BUF,12,7,58.3,75,0,70.7,69.6,75.6,69.5,,10.7,40,5.7,20,4,0,0,0,0,76.7,0,0,2019,4
David Johnson,9519,HB,1,ARZ,11,8,72.7,99,0,63.3,68.6,54.5,76.1,22.8,12.4,96,12.0,31,3,1,1,0,0,62.3,0,0,2019,4
Austin Hooper,10715,TE,1,ATL,11,9,81.8,130,0,74.9,77.5,56.7,70.6,73.8,14.4,54,6.0,28,5,1,0,0,2,115.9,1,0,2019,4
John Brown,8726,WR,1,BUF,11,5,45.5,69,0,61.9,63.9,46.3,68.8,,13.8,19,3.8,28,3,1,2,0,2,26.5,0,0,2019,4
Mohamed Sanu,7084,WR,1,ATL,11,9,81.8,91,0,59.2,59.4,56.7,72.4,,10.1,37,4.1,28,3,1,0,0,0,101.1,0,0,2019,4
Christian McCaffrey,11763,HB,1,CAR,10,10,100.0,86,0,79.9,91.7,78.7,80.1,70.8,8.6,101,10.1,21,6,0,0,0,4,102.5,0,0,2019,4
Todd Gurley II,9443,HB,1,LA,10,7,70.0,54,0,51.3,44.2,32.2,72.9,25.2,7.7,52,7.4,12,1,2,0,0,1,82.9,0,0,2019,4
