player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
A.J. Green,6156,WR,1,CIN,15,12,80.0,121,0,85.5,84.5,79.4,71.9,,10.1,60,5.0,20,8,0,1,0,2,72.5,0,0,2014,12
Josh Gordon,7618,WR,1,CLV,15,8,53.3,120,0,81.9,82.1,76.5,70.6,,15.0,66,8.3,24,6,0,2,0,0,40.3,0,0,2014,12
Julian Edelman,5156,WR,1,NE,14,11,78.6,89,0,82.2,81.0,61.8,72.9,,8.1,45,4.1,16,6,1,0,0,1,93.2,0,0,2014,12
Demaryius Thomas,5547,WR,1,DEN,13,10,76.9,87,3,82.2,83.4,78.0,71.1,,8.7,44,4.4,21,6,0,0,0,2,133.7,1,0,2014,12
Emmanuel Sanders,5606,WR,1,DEN,13,9,69.2,125,0,89.5,91.2,78.0,71.7,,13.9,44,4.9,35,6,0,0,0,1,99.8,0,0,2014,12
Anquan Boldin,1369,WR,1,SF,12,9,75.0,137,1,91.3,91.0,77.3,70.6,,15.2,34,3.8,30,7,0,1,0,2,105.2,0,0,2014,12
Brandon LaFell,5602,WR,1,NE,12,9,75.0,98,0,67.0,66.9,57.0,70.6,,10.9,35,3.9,16,5,1,0,0,0,98.6,1,0,2014,12
Andre Johnson,1319,WR,1,HST,12,3,25.0,36,0,56.8,59.2,70.5,65.8,,12.0,12,4.0,22,2,0,0,0,1,39.6,0,0,2014,12
Jordy Nelson,4350,WR,1,GB,12,8,66.7,68,0,69.3,71.0,76.5,70.1,,8.5,23,2.9,14,3,0,0,0,2,81.3,1,0,2014,12
Robert Woods,7822,WR,1,BUF,11,9,81.8,118,1,92.5,92.8,77.3,70.6,,13.1,23,2.6,37,8,0,0,0,0,141.7,0,0,2014,12
Golden Tate,5585,WR,1,DET,11,4,36.4,97,0,68.8,67.0,72.1,68.3,,24.3,70,17.5,42,3,0,1,0,2,31.3,0,0,2014,12
Odell Beckham Jr.,8647,WR,1,NYG,11,10,90.9,146,2,90.4,91.3,78.0,72.7,,14.6,58,5.8,43,8,0,0,0,4,158.3,0,0,2014,12
Julio Jones,6158,WR,1,ATL,11,5,45.5,68,1,66.0,65.5,45.8,68.0,,13.6,8,1.6,24,4,1,1,0,0,58.1,0,0,2014,12
Rob Gronkowski,5567,TE,1,NE,10,5,50.0,78,0,70.3,71.6,49.2,68.8,77.3,15.6,37,7.4,24,5,2,1,0,0,36.7,0,0,2014,12
Andre Holmes,6489,WR,1,OAK,10,5,50.0,55,0,61.7,61.6,73.4,68.0,22.0,11.0,36,7.2,37,1,0,0,0,0,66.7,0,0,2014,12
Justin Hunter,7815,WR,1,TEN,10,4,40.0,64,1,64.0,64.2,72.1,67.0,,16.0,34,8.5,40,2,0,1,0,1,55.8,0,0,2014,12
Charles Johnson,7998,WR,1,MIN,10,3,30.0,52,1,64.4,61.9,42.1,67.0,,17.3,5,1.7,22,2,1,0,0,0,82.1,0,0,2014,12
Jimmy Graham,5619,TE,1,NO,10,6,60.0,47,2,60.7,60.2,29.8,68.8,65.7,7.8,7,1.2,11,6,1,1,0,0,71.7,0,0,2014,12
Roddy White,2244,WR,1,ATL,10,9,90.0,96,0,70.6,71.2,77.3,70.6,,10.7,21,2.3,32,4,0,0,0,0,106.7,1,0,2014,12
Andre Ellington,7968,HB,1,ARZ,9,5,55.6,39,0,54.0,41.6,29.2,74.7,68.8,7.8,27,5.4,15,2,2,1,0,1,26.9,0,0,2014,12
Jared Cook,5012,TE,1,SL,9,3,33.3,27,0,54.5,58.1,70.5,65.8,65.0,9.0,12,4.0,10,1,0,1,0,0,2.8,1,0,2014,12
Dez Bryant,5549,WR,1,DAL,9,7,77.8,86,2,91.0,90.8,76.5,70.1,,12.3,21,3.0,31,4,0,0,0,1,146.1,0,0,2014,12
Delanie Walker,3120,TE,1,TEN,9,5,55.6,155,0,78.2,79.6,46.3,68.0,,31.0,106,21.2,68,4,1,0,0,2,100.5,1,0,2014,12
Rashad Jennings,5174,HB,1,NYG,9,8,88.9,68,0,50.1,77.1,54.5,27.9,75.6,8.5,96,12.0,27,3,1,0,0,3,98.1,1,0,2014,12
Calvin Johnson,3618,WR,1,DET,9,4,44.4,58,0,66.0,65.2,42.1,67.0,,14.5,11,2.8,22,3,1,0,0,0,66.0,0,0,2014,12
Reggie Wayne,800,WR,1,IND,9,3,33.3,10,0,52.0,51.6,70.5,65.8,,3.3,9,3.0,8,1,0,0,0,0,42.4,0,0,2014,12
Mike Evans,8642,WR,1,TB,9,3,33.3,47,1,61.0,61.1,36.8,65.8,,15.7,11,3.7,19,3,2,0,0,1,88.7,1,0,2014,12
Jarvis Landry,8698,WR,1,MIA,9,7,77.8,50,2,76.1,78.2,75.6,71.8,,7.1,27,3.9,20,5,0,1,0,2,89.8,0,0,2014,12
Kenny Stills,7926,WR,1,NO,9,8,88.9,98,0,76.2,75.4,76.5,70.8,,12.3,35,4.4,33,3,0,0,0,1,112.0,0,0,2014,12
Shane Vereen,6208,HB,1,NE,9,8,88.9,48,0,58.7,69.3,76.5,74.6,77.1,6.0,64,8.0,17,3,0,0,0,3,88.9,0,0,2014,12
Louis Murphy Jr.,5048,WR,1,TB,8,6,75.0,113,0,61.4,63.1,49.2,68.8,,18.8,65,10.8,54,3,1,0,0,4,116.7,1,0,2014,12
DeAndre Hopkins,7808,WR,1,HST,8,5,62.5,39,0,64.7,62.5,73.4,68.0,,7.8,15,3.0,13,3,0,0,0,1,74.5,0,0,2014,12
Miles Austin,3211,WR,1,CLV,8,6,75.0,64,0,68.0,67.3,49.2,68.8,,10.7,19,3.2,13,4,1,0,0,0,97.9,0,0,2014,12
