player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Charles Woodson,330,S,1,OAK,50,0,16,34,93.4,61.8,57.5,,91.9,0,0,0,0,0,2,2,1,2,0,0,0,0,,0,,0,2,0,0.0,0,0,2015,5
Julius Peppers,1010,ED,1,GB,46,24,19,3,87.1,54.1,73.6,91.3,61.4,6,1,4,1,0,0,2,0,1,1,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
James Harrison,1251,ED,1,PIT,39,28,7,4,91.9,71.0,75.3,90.1,79.1,8,0,1,7,0,3,0,0,2,0,1,1,-2,-2.0,1,-2.0,0,0,0,79.2,0,0,2015,5
Kevin Williams,1325,DI,1,NO,49,29,20,0,45.9,45.1,26.2,66.5,,4,0,1,3,0,0,1,1,0,0,0,0,0,,0,,0,0,0,0.0,1,0,2015,5
Rashean Mathis,1355,CB,1,DET,36,0,19,17,47.2,47.7,27.1,,49.2,0,0,0,0,0,1,0,1,0,0,2,2,25,12.5,2,15.0,0,0,0,118.8,0,0,2015,5
Cory Redding,1381,DI,1,ARZ,31,27,4,0,75.4,68.1,19.5,54.6,67.3,1,0,0,1,0,0,0,1,0,0,0,0,0,,0,,0,1,0,0.0,1,1,2015,5
Robert Mathis,1447,ED,1,IND,32,22,7,3,34.8,57.8,69.2,50.8,62.8,1,0,0,1,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,2,0,2015,5
Chris Clemons,1585,ED,1,JAX,32,18,14,0,53.8,55.3,69.2,54.6,,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
Cullen Jenkins,1637,DI,1,NYG,53,37,15,1,65.6,50.2,70.2,72.8,60.0,2,0,1,1,0,1,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
Vince Wilfork,1742,DI,1,HST,41,19,22,0,64.6,62.6,70.7,60.8,60.0,1,0,0,1,0,1,1,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
Jason Babin,1748,ED,1,BLT,22,18,2,2,27.6,61.2,69.2,51.4,47.2,1,0,1,0,0,0,0,0,0,0,1,1,16,16.0,19,16.0,0,0,0,118.8,3,0,2015,5
Karlos Dansby,1754,LB,1,CLV,70,3,32,35,60.5,42.8,80.9,54.7,75.5,0,0,0,0,0,9,0,0,5,0,3,3,25,8.3,29,11.0,0,0,0,101.4,0,0,2015,5
Daryl Smith,1760,LB,1,BLT,88,6,24,58,51.1,62.4,57.6,49.2,51.1,0,0,0,0,0,7,1,1,1,0,7,6,86,14.3,28,35.0,0,0,0,117.9,0,0,2015,5
Randy Starks,1792,DI,1,CLV,44,24,20,0,39.9,47.2,68.7,49.9,61.2,0,0,0,0,0,2,0,0,2,0,0,0,0,,0,,0,0,0,0.0,1,1,2015,5
Will Allen,1832,S,1,PIT,8,0,2,6,26.7,60.0,29.6,,27.7,0,0,0,0,0,2,0,1,1,0,5,5,66,13.2,53,31.0,1,0,0,158.3,0,0,2015,5
Antonio Smith,1856,DI,1,DEN,27,24,3,0,71.4,64.4,22.9,73.1,60.0,6,0,2,4,1,0,0,1,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
Mike Adams,1972,S,1,IND,70,0,27,43,65.8,60.2,80.4,,64.8,0,0,0,0,0,4,0,0,1,0,5,4,42,10.5,19,17.0,0,2,0,62.1,0,0,2015,5
Adam Jones,2223,CB,1,CIN,60,0,30,30,67.1,41.3,45.2,83.1,70.1,1,1,0,0,0,2,1,1,1,0,1,1,22,22.0,3,22.0,0,1,0,79.2,0,0,2015,5
DeMarcus Ware,2228,ED,1,DEN,22,7,11,4,72.6,66.4,73.6,52.6,75.2,0,0,0,0,0,1,2,0,1,0,1,1,4,4.0,2,4.0,0,0,0,83.3,0,0,2015,5
Derrick Johnson,2232,LB,1,KC,79,6,26,47,77.4,69.7,49.2,61.0,73.3,4,0,1,3,0,5,2,2,2,0,4,2,17,8.5,16,14.0,0,0,2,61.5,0,0,2015,5
Jonathan Babineaux,2276,DI,1,ATL,43,24,13,6,81.9,63.2,70.1,75.6,64.7,4,0,1,3,0,3,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
Justin Tuck,2291,DI,1,OAK,37,27,10,0,52.3,39.8,26.0,66.8,,2,0,1,1,1,1,0,1,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
Trent Cole,2363,ED,1,IND,37,17,17,3,60.1,61.9,,55.2,62.0,2,0,0,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
Jay Ratliff,2441,DI,1,CHI,37,22,15,0,59.4,60.9,69.1,56.4,,1,0,1,0,0,1,1,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
Brandon Browner,2512,CB,1,NO,78,0,29,49,44.1,28.8,27.6,,55.8,0,0,0,0,0,7,0,5,3,0,8,6,72,12.0,34,19.0,0,1,0,62.5,2,0,2015,5
Mario Williams,2946,ED,1,BUF,67,41,25,1,58.8,56.6,73.0,58.1,61.0,5,1,1,3,0,2,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
A.J. Hawk,2950,LB,1,CIN,26,1,18,7,54.6,49.5,74.9,59.1,66.2,0,0,0,0,0,2,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
Donte Whitner,2953,S,1,CLV,70,2,32,36,81.5,65.9,66.5,56.0,79.2,0,0,0,0,0,7,1,1,1,0,2,1,0,0.0,2,0.0,0,0,1,56.3,0,0,2015,5
Tamba Hali,2965,ED,1,KC,62,39,17,6,76.3,60.0,75.2,71.5,76.2,7,0,0,7,0,2,2,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2015,5
