player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Tim Hightower,4463,HB,1,NO,32,27,122,4.5,2,73.3,70.8,79.4,60.0,65,2.41,26,8,5,0,0,0,2015,16
Devonta Freeman,8738,HB,1,ATL,26,22,73,3.3,1,49.1,54.5,78.1,60.0,58,2.64,14,5,1,0,0,0,2015,16
Adrian Peterson,3623,HB,1,MIN,23,22,104,4.7,1,65.2,64.4,78.3,60.0,40,1.82,39,3,2,0,0,0,2015,16
Jeremy Hill,8690,HB,1,CIN,21,19,63,3.3,0,71.5,69.2,77.1,60.0,37,1.95,14,2,1,0,0,0,2015,16
Latavius Murray,7962,HB,1,OAK,19,19,79,4.2,1,65.0,61.8,78.0,60.0,35,1.84,22,4,2,0,0,0,2015,16
Jeremy Langford,9539,HB,1,CHI,20,19,83,4.4,0,52.7,58.2,76.8,60.0,35,1.84,11,5,1,0,0,0,2015,16
Todd Gurley II,9443,HB,1,SL,23,19,83,4.4,1,46.1,46.5,29.5,60.0,49,2.58,18,5,4,1,0,0,2015,16
Darren McFadden,4318,HB,1,DAL,20,19,99,5.2,0,64.3,64.4,77.0,60.0,59,3.11,28,2,2,0,0,0,2015,16
Alfred Morris,7165,HB,1,WAS,21,17,49,2.9,0,50.0,51.2,76.2,60.0,34,2.0,8,3,1,0,0,0,2015,16
Javorius Allen,9558,HB,1,BLT,17,17,77,4.5,1,62.7,63.8,77.3,,35,2.06,14,5,0,0,0,0,2015,16
Doug Martin,7035,HB,1,TB,18,17,49,2.9,1,50.6,60.6,17.8,60.0,31,1.82,9,4,2,2,0,0,2015,16
Karlos Williams,9588,HB,1,BUF,24,17,76,4.5,1,59.9,69.6,25.2,60.0,48,2.82,26,5,1,1,0,0,2015,16
DeAngelo Williams,2972,HB,1,PIT,18,17,100,5.9,2,72.0,71.3,77.2,60.0,28,1.65,30,6,1,0,0,0,2015,16
Isaiah Crowell,9295,HB,1,CLV,17,16,88,5.5,1,73.6,73.5,75.8,60.0,39,2.44,28,4,0,0,0,0,2015,16
Frank Gore,2282,HB,1,IND,16,15,85,5.7,2,83.7,85.4,76.6,60.0,75,5.0,37,4,5,0,0,0,2015,16
Lamar Miller,7097,HB,1,MIA,15,15,31,2.1,1,55.6,58.8,25.4,,21,1.4,7,2,0,1,0,0,2015,16
Alfred Blue,8816,HB,1,HST,15,15,45,3.0,0,64.6,62.8,75.7,,28,1.87,7,2,1,0,0,0,2015,16
Charcandrick West,9047,HB,1,KC,19,14,62,4.4,0,57.1,59.0,75.7,58.9,24,1.71,22,2,2,0,0,0,2015,16
Tyrod Taylor,6332,QB,1,BUF,34,8,67,4.8,0,66.8,63.7,79.1,60.0,38,2.71,16,2,4,0,1,0,2015,16
Terrance West,8729,HB,1,BLT,14,14,44,3.1,0,52.0,55.9,75.1,,30,2.14,15,1,1,0,0,0,2015,16
Donald Brown,4950,HB,1,SD,14,14,17,1.2,1,57.4,54.2,75.8,,15,1.07,5,1,1,0,0,0,2015,16
Rashad Jennings,5174,HB,1,NYG,14,14,74,5.3,0,71.3,68.1,76.1,,48,3.43,16,3,1,0,0,0,2015,16
Eddie Lacy,7842,HB,1,GB,14,12,60,5.0,0,67.3,68.3,74.5,60.0,34,2.83,25,3,2,0,0,0,2015,16
Johnny Manziel,8657,QB,1,CLV,26,2,109,9.9,0,40.0,87.0,79.7,60.0,28,2.55,34,6,4,0,2,0,2015,16
Danny Woodhead,4914,HB,1,SD,11,11,55,5.0,0,70.1,70.6,75.7,,20,1.82,27,3,1,0,0,0,2015,16
DuJuan Harris,6595,HB,1,SF,11,11,73,6.6,0,75.9,71.4,74.1,,39,3.55,25,3,2,0,0,0,2015,16
Chris Polk,7532,HB,1,HST,14,11,38,3.5,0,53.9,55.2,73.8,60.0,22,2.0,17,1,0,0,0,0,2015,16
Chris Ivory,6007,HB,1,NYJ,12,11,38,3.5,0,48.5,55.6,23.1,60.0,18,1.64,17,1,1,1,0,0,2015,16
Matt Forte,4358,HB,1,CHI,14,11,54,4.9,0,75.3,77.4,74.6,60.0,38,3.45,16,4,3,0,0,0,2015,16
Jay Ajayi,9582,HB,1,MIA,9,9,23,2.6,0,78.1,76.8,72.7,,28,3.11,10,1,5,0,0,0,2015,16
Ronnie Hillman,7069,HB,1,DEN,9,9,35,3.9,0,76.0,77.5,74.4,,24,2.67,8,2,1,0,0,0,2015,16
David Johnson,9519,HB,1,ARZ,9,9,39,4.3,1,74.7,72.3,73.7,,14,1.56,14,2,1,0,0,0,2015,16
C.J. Anderson,8101,HB,1,DEN,10,9,73,8.1,1,60.2,59.5,20.9,81.6,53,5.89,39,3,2,1,0,0,2015,16
Mike Gillislee,7946,HB,1,BUF,10,9,93,10.3,1,73.9,71.4,73.4,60.0,19,2.11,50,4,0,0,0,0,2015,16
Brandon Bolden,7469,HB,1,NE,11,9,30,3.3,0,60.9,48.6,74.3,60.0,12,1.33,13,1,1,0,0,0,2015,16
Jarryd Hayne,10255,HB,1,SF,9,9,27,3.0,0,64.9,64.3,74.5,,29,3.22,11,2,3,0,0,0,2015,16
