player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Julius Peppers,1010,ED,1,CAR,33,19,13,1,55.0,65.0,71.7,57.8,60.1,1,0,0,1,0,2,0,0,2,0,0,0,0,,0,,0,0,0,0.0,1,0,2017,13
Dwight Freeney,1019,ED,1,DET,17,15,2,0,54.4,60.0,,54.2,,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Terence Newman,1321,CB,1,MIN,20,0,6,14,61.5,51.2,,,66.6,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0,39.6,0,0,2017,13
Terrell Suggs,1326,ED,1,BLT,55,33,19,3,70.7,53.7,74.7,74.8,62.5,7,1,0,6,0,3,0,0,4,0,1,1,8,8.0,14,8.0,0,0,0,100.0,0,0,2017,13
DeAngelo Hall,1729,S,1,WAS,1,0,0,1,60.0,,,,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Karlos Dansby,1754,LB,1,ARZ,54,3,25,26,63.9,71.2,51.8,54.4,54.9,0,0,0,0,0,7,0,2,4,0,2,2,20,10.0,1,14.0,0,0,0,108.3,0,0,2017,13
Mike Adams,1972,S,1,CAR,61,2,26,33,80.7,58.1,46.2,56.0,87.7,0,0,0,0,0,7,0,2,2,1,4,2,10,5.0,10,8.0,0,0,1,56.3,1,0,2017,13
Adam Jones,2223,CB,1,CIN,5,0,2,3,94.5,60.0,72.8,,93.3,0,0,0,0,0,1,0,0,0,0,2,1,20,20.0,2,20.0,0,1,0,45.8,0,0,2017,13
Thomas Davis Sr.,2231,LB,1,CAR,25,3,7,15,34.1,35.2,28.4,53.7,51.2,0,0,0,0,0,2,0,2,0,0,5,4,25,6.3,16,10.0,1,0,0,127.1,0,0,2017,13
Derrick Johnson,2232,LB,1,KC,57,3,28,26,71.5,69.8,69.3,54.5,66.4,0,0,0,0,0,6,4,1,5,0,2,2,16,8.0,2,12.0,0,0,0,100.0,0,0,2017,13
Lorenzo Alexander,2476,ED,1,BUF,30,8,20,2,68.6,59.9,26.6,49.1,78.9,0,0,0,0,0,1,1,1,1,0,0,0,0,,0,,0,0,1,0.0,0,0,2017,13
Ahmad Brooks,2945,ED,1,GB,29,17,12,0,55.1,52.0,,60.3,,2,0,1,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Johnathan Joseph,2969,CB,1,HST,27,0,8,19,79.5,61.2,77.8,,80.4,0,0,0,0,0,4,0,0,2,0,3,3,12,4.0,4,12.0,0,0,0,83.3,0,0,2017,13
Frostee Rucker,3036,DI,1,ARZ,35,19,16,0,72.2,72.9,,58.7,,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Elvis Dumervil,3071,ED,1,SF,14,12,2,0,54.0,59.6,69.9,67.8,,4,1,0,3,0,0,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Kyle Williams,3079,DI,1,BUF,44,25,19,0,65.5,62.6,28.7,63.1,,3,1,0,2,0,1,0,1,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Antoine Bethea,3152,S,1,ARZ,55,0,24,31,65.0,76.2,80.9,,56.1,0,0,0,0,0,3,1,0,2,0,1,1,25,25.0,8,25.0,0,0,0,118.8,0,0,2017,13
Tom Johnson,3378,DI,1,MIN,34,24,10,0,69.2,74.5,68.4,55.8,,1,0,0,1,0,2,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Tramon Williams,3558,CB,1,ARZ,58,0,25,33,58.7,52.8,49.9,,60.2,0,0,0,0,0,4,1,1,2,0,2,2,19,9.5,15,11.0,1,0,0,145.8,0,0,2017,13
Brent Grimes,3589,CB,1,TB,54,0,25,29,64.2,69.2,78.7,,61.6,0,0,0,0,0,5,0,0,2,0,5,4,23,5.8,15,13.0,0,0,0,85.8,0,0,2017,13
Darrelle Revis,3630,CB,1,KC,36,0,17,19,48.0,70.9,37.2,,39.5,0,0,0,0,0,6,1,2,0,0,3,3,29,9.7,9,11.0,0,0,0,106.9,0,0,2017,13
Lawrence Timmons,3631,LB,1,MIA,43,4,19,20,72.1,66.3,77.7,68.5,67.1,2,0,1,1,1,3,1,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Leon Hall,3634,CB,1,SF,10,0,1,9,62.4,60.0,,,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Reggie Nelson,3637,S,1,OAK,58,2,20,36,58.9,68.3,46.5,57.0,55.5,0,0,0,0,0,1,3,1,0,0,1,1,9,9.0,0,9.0,0,0,0,104.2,0,0,2017,13
Alan Branch,3649,DI,1,NE,27,16,11,0,55.9,55.0,67.3,59.1,,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Paul Posluszny,3650,LB,1,JAX,68,5,22,41,73.9,56.2,68.6,67.8,77.8,2,2,0,0,0,9,2,1,8,0,3,3,19,6.3,20,8.0,0,0,0,93.1,0,0,2017,13
Eric Weddle,3653,S,1,BLT,60,5,19,36,89.1,65.3,77.4,82.4,79.4,1,1,0,0,0,2,0,0,1,0,1,1,6,6.0,8,6.0,0,1,0,52.1,0,0,2017,13
David Harris,3663,LB,1,NE,25,2,13,10,55.8,57.5,77.8,71.9,49.4,2,1,0,1,0,1,1,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Brandon Mebane,3701,DI,1,LAC,34,23,11,0,58.5,59.8,68.2,56.6,,1,0,0,1,0,1,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Brian Robison,3718,ED,1,MIN,24,15,9,0,66.3,58.1,69.6,67.7,,2,0,0,2,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Corey Graham,3784,S,1,PHI,23,0,4,19,65.4,62.8,77.5,,63.9,0,0,0,0,0,2,1,0,1,0,1,1,9,9.0,9,9.0,0,0,0,104.2,1,0,2017,13
William Gay,3786,CB,1,PIT,13,0,0,13,75.6,,73.3,,74.2,0,0,0,0,0,1,0,0,1,0,1,1,3,3.0,0,3.0,0,0,0,79.2,0,0,2017,13
Chris Long,4316,ED,1,PHI,26,18,8,0,68.4,69.5,31.0,67.8,60.0,3,0,1,2,0,1,1,1,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Dominique Rodgers-Cromartie,4330,CB,1,NYG,41,1,14,26,74.0,72.8,28.6,60.0,71.8,0,0,0,0,0,2,1,2,0,0,3,2,20,10.0,21,21.0,0,0,0,85.4,0,0,2017,13
Calais Campbell,4364,ED,1,JAX,56,39,16,1,62.2,54.1,27.7,61.0,62.2,3,1,2,0,0,2,0,1,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
Pat Sims,4391,DI,1,CIN,31,17,14,0,64.8,64.0,27.9,59.6,,1,0,0,1,0,1,1,1,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2017,13
