player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Charles Woodson,330,S,1,OAK,61,0,17,44,61.3,65.0,80.1,,59.1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,12
Julius Peppers,1010,ED,1,GB,45,25,19,1,47.0,45.9,71.9,53.6,60.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,12
Dwight Freeney,1019,ED,1,ARZ,27,25,1,1,48.1,60.0,,47.5,60.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,12
James Harrison,1251,ED,1,PIT,34,12,17,5,58.9,54.7,24.2,60.2,64.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,12
Terence Newman,1321,CB,1,MIN,62,0,23,39,58.1,56.9,72.5,,58.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,29.0,14.5,9.0,20.0,0.0,1.0,1.0,20.0,1,0,2015,12
Kevin Williams,1325,DI,1,NO,42,16,26,0,53.2,57.7,,81.4,57.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,0,2015,12
Calvin Pace,1334,ED,1,NYJ,17,4,5,8,66.1,65.8,69.9,55.5,63.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0,0,2015,12
Robert Mathis,1447,ED,1,IND,39,22,13,4,69.7,69.2,72.4,62.5,61.5,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,12
Chris Clemons,1585,ED,1,JAX,47,37,10,0,35.2,51.8,69.2,51.6,,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,2,0,2015,12
Cullen Jenkins,1637,DI,1,NYG,49,26,23,0,59.4,64.4,70.4,50.0,,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2015,12
