player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Alfred Morris,7165,HB,1,DAL,28,27,127,4.7,1,62.5,65.1,78.9,60.0,77,2.85,15,8,6,0,1,0,2017,13
Peyton Barber,10927,HB,1,TB,26,23,102,4.4,0,72.1,70.8,78.7,59.8,70,3.04,19,5,1,0,0,0,2017,13
Kenyan Drake,10707,HB,1,MIA,23,23,120,5.2,1,90.6,90.1,79.0,,106,4.61,42,3,7,0,0,0,2017,13
Jamaal Williams,11889,HB,1,GB,24,21,113,5.4,1,60.7,60.4,77.9,60.0,74,3.52,25,4,3,0,0,0,2017,13
Leonard Fournette,11759,HB,1,JAX,21,20,57,2.9,1,63.3,54.4,77.7,60.0,32,1.6,24,4,1,0,0,0,2017,13
Todd Gurley II,9443,HB,1,LA,21,19,74,3.9,0,72.2,65.1,78.0,60.0,67,3.53,14,2,3,0,0,0,2017,13
Melvin Gordon III,9448,HB,1,LAC,21,19,77,4.1,0,68.1,65.0,77.5,60.0,60,3.16,29,4,4,0,0,0,2017,13
Le'Veon Bell,7829,HB,1,PIT,19,18,76,4.2,0,68.1,65.1,77.3,60.0,53,2.94,16,3,3,0,1,0,2017,13
Bilal Powell,6278,HB,1,NYJ,20,18,48,2.7,1,65.4,64.6,76.9,60.0,41,2.28,13,3,5,0,0,0,2017,13
Mike Davis,9559,HB,1,SEA,19,16,64,4.0,0,58.0,53.8,76.6,60.0,49,3.06,22,3,3,0,0,0,2017,13
Marshawn Lynch,3628,HB,1,OAK,17,17,101,5.9,1,70.1,71.8,76.6,,35,2.06,51,2,1,0,0,0,2017,13
Carlos Hyde,8692,HB,1,SF,18,17,54,3.2,0,50.5,55.8,77.0,60.0,39,2.29,18,3,1,0,0,0,2017,13
Latavius Murray,7962,HB,1,MIN,19,16,76,4.8,0,75.5,70.9,76.7,60.0,54,3.38,30,4,4,0,0,0,2017,13
Kerwynn Williams,8013,HB,1,ARZ,16,16,97,6.1,0,60.8,61.7,75.8,,45,2.81,25,5,1,0,0,0,2017,13
