player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Ray Rice,4369,HB,1,BLT,28,27,74,2.7,2,58.6,55.7,29.2,60.0,36,1.33,7,4,0,1,0,0,2013,5
Willis McGahee,1339,HB,1,CLV,29,26,72,2.8,1,56.1,56.4,78.9,58.9,38,1.46,16,4,1,0,0,0,2013,5
Eddie Lacy,7842,HB,1,GB,26,23,99,4.3,0,78.4,75.6,78.1,60.0,63,2.74,13,2,4,1,0,0,2013,5
Jamaal Charles,4387,HB,1,KC,22,22,108,4.9,1,63.3,63.3,27.9,,25,1.14,19,6,0,1,0,0,2013,5
Arian Foster,5398,HB,1,HST,22,21,98,4.7,0,74.7,75.1,78.2,60.0,48,2.29,17,7,1,0,0,0,2013,5
LeSean McCoy,4976,HB,1,PHI,24,20,46,2.3,1,76.8,73.0,78.2,60.0,29,1.45,17,4,1,0,0,0,2013,5
Knowshon Moreno,4935,HB,1,DEN,23,19,93,4.9,1,65.4,61.0,26.9,58.6,53,2.79,16,7,3,1,0,0,2013,5
Pierre Thomas,4080,HB,1,NO,22,19,36,1.9,0,56.6,58.7,27.9,60.0,40,2.11,9,1,6,1,0,0,2013,5
BenJarvus Green-Ellis,4599,HB,1,CIN,22,19,67,3.5,1,54.7,61.0,76.8,59.0,33,1.74,13,5,1,0,0,0,2013,5
Trent Richardson,7009,HB,1,IND,21,18,56,3.1,0,57.1,56.0,76.5,59.0,38,2.11,16,4,1,0,0,0,2013,5
Frank Gore,2282,HB,1,SF,21,17,81,4.8,1,71.6,69.4,76.2,58.2,46,2.71,26,4,1,0,0,0,2013,5
Maurice Jones-Drew,3005,HB,1,JAX,18,17,70,4.1,0,73.6,72.9,76.6,60.0,68,4.0,20,4,7,0,0,0,2013,5
Fred Jackson,3368,HB,1,BUF,17,17,53,3.1,2,63.0,60.1,76.9,,28,1.65,11,5,1,0,1,0,2013,5
Marshawn Lynch,3628,HB,1,SEA,21,17,102,6.0,0,79.8,81.6,76.4,60.0,53,3.12,24,5,9,0,0,0,2013,5
Rashard Mendenhall,4337,HB,1,ARZ,19,17,43,2.5,1,59.4,58.7,76.9,60.0,20,1.18,7,3,2,0,0,0,2013,5
Zac Stacy,7942,HB,1,SL,14,14,78,5.6,0,66.4,67.4,75.1,,45,3.21,12,4,1,0,0,0,2013,5
Jacquizz Rodgers,6297,HB,1,ATL,14,14,43,3.1,2,71.3,70.9,76.8,,32,2.29,19,2,2,0,0,0,2013,5
Giovani Bernard,7818,HB,1,CIN,14,13,67,5.2,0,58.1,56.1,23.3,60.0,44,3.38,28,2,1,1,0,0,2013,5
Daryl Richardson,7233,HB,1,SL,13,13,48,3.7,0,63.0,64.2,74.7,,19,1.46,13,2,0,0,0,0,2013,5
Reggie Bush,2947,HB,1,DET,15,13,44,3.4,0,59.0,60.7,75.6,60.0,16,1.23,20,3,0,0,0,0,2013,5
Russell Wilson,7077,QB,1,SEA,25,4,102,7.8,0,67.3,74.0,80.2,60.0,17,1.31,22,6,1,1,1,0,2013,5
LeGarrette Blount,5863,HB,1,NE,12,12,51,4.3,0,51.3,51.4,22.2,,27,2.25,10,1,4,1,0,0,2013,5
DeAngelo Williams,2972,HB,1,CAR,13,12,39,3.3,0,65.8,60.9,74.8,60.0,37,3.08,9,1,1,0,0,0,2013,5
Matt Forte,4358,HB,1,CHI,13,12,55,4.6,0,64.1,66.2,75.6,60.0,31,2.58,14,2,0,1,0,0,2013,5
Bilal Powell,6278,HB,1,NYJ,17,12,38,3.2,0,59.9,59.9,74.5,60.0,28,2.33,6,2,1,0,0,0,2013,5
DeMarco Murray,6223,HB,1,DAL,13,12,43,3.6,1,56.4,59.8,74.5,60.0,24,2.0,13,3,3,0,1,0,2013,5
Brandon Jacobs,2327,HB,1,NYG,11,11,37,3.4,0,54.5,55.6,21.9,,24,2.18,7,0,0,1,0,0,2013,5
Terrelle Pryor Sr.,6944,QB,1,OAK,26,9,31,2.8,0,75.5,57.0,42.5,60.0,5,0.45,11,2,0,1,0,0,2013,5
Bernard Pierce,7085,HB,1,BLT,11,11,46,4.2,0,54.8,57.3,21.3,,21,1.91,28,1,0,1,0,0,2013,5
Chris Johnson,4338,HB,1,TEN,11,10,17,1.7,0,53.0,49.8,74.4,60.0,15,1.5,6,1,1,0,0,0,2013,5
Rashad Jennings,5174,HB,1,OAK,13,10,41,4.1,0,60.3,60.1,73.3,60.0,20,2.0,9,2,1,0,0,0,2013,5
Danny Woodhead,4914,HB,1,SD,9,9,17,1.9,0,53.1,36.9,26.3,,15,1.67,5,1,2,1,0,0,2013,5
