player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Philip Rivers,1725,QB,1,SD,68,65,43,66.2,503,7.7,2,0,79.1,77.3,,82.6,3,1,1,4,1,99.7,0,26,2015,6
Joe Flacco,4332,QB,1,BLT,53,53,33,62.3,343,6.5,2,2,64.5,63.7,,80.9,0,1,3,4,0,77.8,0,16,2015,6
Blake Bortles,8638,QB,1,JAX,60,53,30,56.6,331,6.2,3,3,64.8,63.5,63.6,41.0,3,1,3,3,1,70.6,4,21,2015,6
Andrew Luck,7007,QB,1,IND,56,50,30,60.0,312,6.2,3,0,56.9,55.4,65.5,81.7,3,0,1,2,1,98.1,3,19,2015,6
Peyton Manning,327,QB,1,DEN,48,48,26,54.2,290,6.0,1,3,65.4,63.4,,80.4,0,0,3,1,0,53.3,0,15,2015,6
Carson Palmer,1317,QB,1,ARZ,46,45,29,64.4,421,9.4,1,2,73.0,75.7,39.7,48.2,1,0,1,0,0,83.7,0,18,2015,6
Matt Ryan,4317,QB,1,ATL,51,44,30,68.2,295,6.7,2,0,65.8,72.0,31.0,33.8,5,1,5,1,0,102.0,2,17,2015,6
Kirk Cousins,7102,QB,1,WAS,45,43,25,58.1,196,4.6,1,2,45.1,48.6,54.9,79.9,1,0,3,0,1,57.9,1,13,2015,6
Matthew Stafford,4924,QB,1,DET,49,42,27,64.3,405,9.6,4,1,73.2,72.0,68.4,80.9,2,0,4,3,0,117.7,5,19,2015,6
E.J. Manuel,7797,QB,1,BUF,45,42,28,66.7,263,6.3,1,1,58.8,57.5,62.7,80.8,2,1,3,1,0,81.7,1,14,2015,6
Jay Cutler,2956,QB,1,CHI,43,41,26,63.4,353,8.6,1,1,70.5,69.4,60.7,80.2,1,0,5,1,0,88.8,1,14,2015,6
Drew Brees,802,QB,1,NO,41,39,30,76.9,312,8.0,1,0,87.0,86.2,57.9,79.4,1,0,4,1,0,108.1,1,16,2015,6
Josh McCown,1085,QB,1,CLV,44,39,20,51.3,213,5.5,2,2,40.2,39.0,63.4,32.3,4,0,0,3,1,63.3,1,11,2015,6
Eli Manning,1722,QB,1,NYG,42,38,24,63.2,189,5.0,1,2,47.3,45.1,65.6,29.7,3,2,1,1,2,62.3,1,12,2015,6
Sam Bradford,5526,QB,1,PHI,40,38,24,63.2,280,7.4,1,3,59.3,64.1,37.7,44.3,1,3,0,0,0,61.3,1,11,2015,6
Alex Smith,2218,QB,1,KC,41,37,22,59.5,282,7.6,1,0,67.4,67.8,54.5,79.9,2,0,1,0,0,92.4,2,13,2015,6
Tom Brady,698,QB,1,NE,39,37,23,62.2,312,8.4,3,1,82.8,82.9,63.1,80.2,2,2,4,0,0,104.8,0,15,2015,6
Brian Hoyer,5277,QB,1,HST,38,36,24,66.7,293,8.1,3,0,85.8,84.0,63.8,80.0,1,2,1,0,1,119.3,1,16,2015,6
Cam Newton,6153,QB,1,CAR,39,36,20,55.6,269,7.5,1,2,80.4,77.4,69.6,80.4,3,1,4,0,0,65.6,0,14,2015,6
Marcus Mariota,9435,QB,1,TEN,38,33,21,63.6,219,6.6,1,2,56.6,56.3,,28.5,5,2,0,0,0,67.6,0,12,2015,6
Andy Dalton,6187,QB,1,CIN,33,33,22,66.7,243,7.4,3,0,68.2,73.2,51.5,27.6,0,1,1,3,0,118.6,0,15,2015,6
Teddy Bridgewater,8667,QB,1,MIN,32,31,17,54.8,249,8.0,1,2,65.8,65.1,59.2,79.0,1,2,1,3,0,65.1,0,10,2015,6
Russell Wilson,7077,QB,1,SEA,40,30,18,60.0,241,8.0,1,0,80.0,81.5,60.2,79.6,4,1,1,3,0,96.7,6,11,2015,6
Aaron Rodgers,2241,QB,1,GB,33,29,16,55.2,255,8.8,2,0,68.8,66.4,65.4,78.8,3,1,2,3,0,107.7,1,12,2015,6
Ryan Tannehill,7014,QB,1,MIA,32,29,22,75.9,266,9.2,2,2,91.2,89.7,71.6,78.4,2,0,1,0,1,97.8,1,15,2015,6
Colin Kaepernick,6188,QB,1,SF,32,27,16,59.3,340,12.6,2,0,66.2,69.3,49.5,78.5,3,2,0,2,0,128.2,2,12,2015,6
Ryan Fitzpatrick,2467,QB,1,NYJ,28,26,19,73.1,253,9.7,2,1,75.6,67.6,83.1,77.5,0,0,2,0,0,113.1,2,15,2015,6
Landry Jones,7897,QB,1,PIT,12,12,8,66.7,168,14.0,2,0,55.9,55.4,60.0,73.3,0,0,0,0,0,149.3,0,6,2015,6
Zach Mettenberger,8813,QB,1,TEN,10,8,5,62.5,63,7.9,0,0,56.0,61.0,55.3,71.4,1,0,2,0,0,87.0,1,4,2015,6
Michael Vick,773,QB,1,PIT,13,8,3,37.5,6,0.8,0,0,52.9,33.5,83.5,74.0,1,0,0,1,0,45.8,4,1,2015,6
Jamison Crowder,9538,WR,1,WAS,1,1,0,0.0,0,0.0,0,0,63.3,60.0,,68.0,0,0,0,1,0,39.6,0,0,2015,6
