player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Chris Ivory,6007,HB,1,NYJ,37,34,104,3.1,0,56.5,60.1,80.4,59.8,64,1.88,17,6,2,0,0,0,2013,7
Frank Gore,2282,HB,1,SF,32,24,70,2.9,2,74.2,70.3,78.4,68.1,44,1.83,7,5,0,0,0,0,2013,7
Eddie Lacy,7842,HB,1,GB,23,22,82,3.7,1,75.4,71.6,78.6,60.0,42,1.91,13,5,4,0,0,0,2013,7
Jamaal Charles,4387,HB,1,KC,28,21,84,4.0,1,69.7,63.7,26.7,58.0,44,2.1,18,7,3,1,0,0,2013,7
Ryan Mathews,5537,HB,1,SD,26,21,110,5.2,1,62.9,63.4,77.7,59.1,62,2.95,14,5,2,0,0,0,2013,7
Marshawn Lynch,3628,HB,1,SEA,25,21,91,4.3,1,82.4,83.3,77.5,60.0,80,3.81,17,5,8,0,0,0,2013,7
Reggie Bush,2947,HB,1,DET,21,20,50,2.5,0,64.1,63.3,77.6,60.0,28,1.4,7,2,6,0,1,0,2013,7
Le'Veon Bell,7829,HB,1,PIT,21,19,93,4.9,0,59.6,63.9,77.3,60.0,39,2.05,11,3,0,0,1,0,2013,7
Joseph Randle,7933,HB,1,DAL,21,19,65,3.4,0,53.5,58.5,77.3,70.5,37,1.95,12,1,1,0,0,0,2013,7
Alfred Morris,7165,HB,1,WAS,29,19,95,5.0,0,81.0,79.8,76.8,59.5,67,3.53,21,5,4,0,0,0,2013,7
Peyton Hillis,4541,HB,1,NYG,19,18,36,2.0,1,51.3,43.4,26.2,60.0,26,1.44,8,1,0,1,0,0,2013,7
LeSean McCoy,4976,HB,1,PHI,19,18,55,3.1,0,60.4,59.2,77.5,60.0,25,1.39,10,2,4,0,0,0,2013,7
Zac Stacy,7942,HB,1,SL,17,17,53,3.1,0,68.2,63.3,76.9,,43,2.53,21,3,3,0,0,0,2013,7
Matt Forte,4358,HB,1,CHI,19,16,91,5.7,3,64.9,66.2,76.2,59.4,31,1.94,50,5,3,0,0,0,2013,7
Ben Tate,5583,HB,1,HST,16,15,50,3.3,0,71.3,71.8,76.2,60.0,18,1.2,10,3,4,0,0,0,2013,7
DeAngelo Williams,2972,HB,1,CAR,20,15,40,2.7,0,64.5,62.3,75.7,58.8,15,1.0,12,3,0,0,0,0,2013,7
Ray Rice,4369,HB,1,BLT,15,15,45,3.0,0,56.7,54.7,76.3,,17,1.13,13,3,1,0,0,0,2013,7
Knowshon Moreno,4935,HB,1,DEN,15,15,40,2.7,1,53.5,60.8,76.6,,20,1.33,9,1,0,0,1,0,2013,7
Mike James,7970,HB,1,TB,14,14,45,3.2,0,70.0,67.8,75.8,,35,2.5,11,2,1,0,0,0,2013,7
Trent Richardson,7009,HB,1,IND,16,14,37,2.6,0,48.1,49.1,22.9,60.0,25,1.79,8,2,4,1,0,0,2013,7
Mike Tolbert,4740,FB,1,CAR,23,13,36,2.8,1,58.0,62.3,74.7,58.0,23,1.77,8,4,1,0,1,0,2013,7
Adrian Peterson,3623,HB,1,MIN,14,13,28,2.2,0,58.0,52.1,75.2,60.0,19,1.46,8,1,0,0,0,0,2013,7
Rashard Mendenhall,4337,HB,1,ARZ,13,13,22,1.7,1,57.3,57.7,74.7,,16,1.23,6,2,1,0,0,0,2013,7
Daniel Thomas,6214,HB,1,MIA,12,12,60,5.0,0,73.2,75.4,74.5,,35,2.92,16,2,7,0,0,0,2013,7
Donald Brown,4950,HB,1,IND,12,11,23,2.1,0,55.6,54.8,74.6,60.0,12,1.09,7,0,0,0,0,0,2013,7
Colin Kaepernick,6188,QB,1,SF,39,9,68,6.2,1,61.0,65.2,78.9,60.0,12,1.09,20,4,0,0,0,0,2013,7
Michael Cox,8036,HB,1,NYG,12,11,23,2.1,0,68.2,66.2,74.4,60.0,15,1.36,7,0,1,0,0,0,2013,7
Doug Martin,7035,HB,1,TB,11,11,47,4.3,0,75.8,74.0,74.5,,30,2.73,16,1,2,0,0,0,2013,7
Willis McGahee,1339,HB,1,CLV,11,11,39,3.5,0,60.6,61.4,73.8,,24,2.18,8,2,0,0,0,0,2013,7
Robert Griffin III,7008,QB,1,WAS,41,9,84,7.6,0,78.2,81.0,79.9,60.0,17,1.55,23,4,2,1,0,0,2013,7
Fred Jackson,3368,HB,1,BUF,13,11,36,3.3,1,60.4,62.7,74.9,60.0,22,2.0,10,3,2,0,0,0,2013,7
Roy Helu,6257,HB,1,WAS,12,11,41,3.7,3,68.2,70.3,74.1,59.4,16,1.45,14,4,2,0,0,0,2013,7
Stevan Ridley,6225,HB,1,NE,11,11,50,4.5,1,70.9,70.5,75.2,,9,0.82,17,3,0,0,0,0,2013,7
Cam Newton,6153,QB,1,CAR,34,7,26,2.6,0,82.5,52.3,33.1,60.3,34,3.4,13,1,4,1,0,0,2013,7
BenJarvus Green-Ellis,4599,HB,1,CIN,10,10,24,2.4,0,61.6,60.9,73.8,,20,2.0,11,1,2,0,0,0,2013,7
Lamar Miller,7097,HB,1,MIA,11,9,43,4.8,0,82.4,88.8,73.1,60.0,38,4.22,30,2,5,0,0,0,2013,7
Danny Woodhead,4914,HB,1,SD,9,9,29,3.2,1,66.2,56.8,74.0,,7,0.78,7,3,0,0,0,0,2013,7
Maurice Jones-Drew,3005,HB,1,JAX,12,9,37,4.1,0,58.4,53.3,73.4,60.0,15,1.67,11,3,0,0,0,0,2013,7
Chris Johnson,4338,HB,1,TEN,9,9,39,4.3,0,64.0,66.6,74.9,36.1,24,2.67,9,1,1,0,1,0,2013,7
Brandon Bolden,7469,HB,1,NE,8,8,36,4.5,1,57.6,67.8,73.4,,18,2.25,9,3,1,0,0,0,2013,7
Russell Wilson,7077,QB,1,SEA,30,6,29,3.6,0,77.1,55.1,23.8,60.0,4,0.5,11,1,0,3,0,0,2013,7
Jacquizz Rodgers,6297,HB,1,ATL,11,8,16,2.0,0,71.5,46.3,75.2,59.2,15,1.88,7,0,2,0,0,0,2013,7
Jason Snelling,3860,HB,1,ATL,10,7,14,2.0,0,60.6,60.4,72.1,59.2,10,1.43,7,1,0,0,0,0,2013,7
Giovani Bernard,7818,HB,1,CIN,7,7,27,3.9,0,65.6,69.1,73.3,,15,2.14,7,0,0,0,0,0,2013,7
C.J. Spiller,5534,HB,1,BUF,6,6,11,1.8,0,56.6,53.9,72.4,,2,0.33,11,1,0,0,0,0,2013,7
Alex Smith,2218,QB,1,KC,31,5,28,4.7,1,59.8,52.7,79.6,60.2,0,0.0,23,2,0,0,0,0,2013,7
Tashard Choice,4436,HB,1,BUF,8,6,16,2.7,0,47.0,57.8,70.6,60.0,6,1.0,5,1,0,0,0,0,2013,7
Geno Smith,7820,QB,1,NYJ,50,4,32,5.3,1,69.6,68.1,79.7,61.2,7,1.17,14,3,1,2,0,0,2013,7
Tommy Bohanon,7997,FB,1,NYJ,31,6,21,3.5,0,44.2,51.2,70.6,44.7,12,2.0,5,1,0,0,0,0,2013,7
Bernard Pierce,7085,HB,1,BLT,8,6,13,2.2,0,59.8,56.4,71.6,60.0,9,1.5,6,2,0,0,0,0,2013,7
Joique Bell,5797,HB,1,DET,6,5,27,5.4,0,70.9,59.0,71.8,60.0,21,4.2,13,1,0,0,0,0,2013,7
Thaddeus Lewis,5817,QB,1,BUF,29,4,13,2.6,0,56.6,39.6,40.7,60.0,2,0.4,8,0,0,2,0,0,2013,7
Fozzy Whittaker,8547,HB,1,CLV,6,5,11,2.2,0,59.0,59.0,73.6,60.0,9,1.8,7,1,0,0,0,0,2013,7
Felix Jones,4336,HB,1,PIT,5,5,16,3.2,0,59.1,57.3,71.5,,7,1.4,6,2,0,0,0,0,2013,7
Ronnie Hillman,7069,HB,1,DEN,4,4,25,6.3,0,45.2,40.9,14.6,,10,2.5,14,1,0,1,0,0,2013,7
Tony Romo,1693,QB,1,DAL,25,3,2,0.5,0,60.0,42.0,81.2,60.0,0,0.0,4,0,0,0,0,0,2013,7
Aaron Rodgers,2241,QB,1,GB,26,1,12,3.0,0,81.5,58.5,79.8,60.0,0,0.0,5,1,0,0,0,0,2013,7
Josh McCown,1085,QB,1,CHI,14,1,33,8.3,0,83.2,79.6,77.1,60.0,21,5.25,13,2,0,0,0,0,2013,7
Chris Ogbonnaya,5135,HB,1,CLV,4,4,15,3.8,0,52.2,68.2,68.6,,11,2.75,9,2,1,0,0,0,2013,7
Arian Foster,5398,HB,1,HST,4,4,11,2.8,0,60.7,61.1,68.6,,2,0.5,11,1,0,0,0,0,2013,7
Kendall Hunter,6267,HB,1,SF,5,4,6,1.5,0,56.8,57.6,68.6,60.0,6,1.5,5,0,0,0,0,0,2013,7
Andrew Luck,7007,QB,1,IND,28,1,29,7.3,1,71.4,77.2,80.1,60.0,11,2.75,11,2,0,0,0,0,2013,7
Chad Henne,4371,QB,1,JAX,16,3,5,1.3,0,57.1,52.0,80.3,60.0,2,0.5,4,1,0,0,0,0,2013,7
Bilal Powell,6278,HB,1,NYJ,4,3,6,2.0,0,48.0,53.4,67.2,60.0,7,2.33,4,0,1,0,1,1,2013,7
Eli Manning,1722,QB,1,NYG,31,2,5,1.7,0,77.1,62.1,79.7,60.0,0,0.0,6,1,0,1,0,0,2013,7
