player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Julian Edelman,5156,WR,1,NE,17,8,47.1,77,1,70.8,70.9,76.5,71.5,,9.6,55,6.9,21,4,0,0,0,2,79.8,0,0,2016,11
Rishard Matthews,7211,WR,1,TEN,13,9,69.2,122,0,64.6,64.6,56.7,70.6,,13.6,28,3.1,35,6,1,0,0,0,98.9,0,0,2016,11
Mike Evans,8642,WR,1,TB,13,6,46.2,105,0,89.4,88.0,74.6,68.8,,17.5,13,2.2,31,6,0,0,0,0,74.2,0,0,2016,11
Jared Cook,5012,TE,1,GB,11,6,54.5,105,1,67.0,66.8,49.7,16.9,65.0,17.5,61,10.2,47,5,1,0,1,0,117.6,0,0,2016,11
C.J. Fiedorowicz,8700,TE,1,HST,10,6,60.0,82,0,89.5,85.8,49.2,68.8,74.9,13.7,42,7.0,20,5,2,0,0,1,86.3,0,0,2016,11
Sterling Shepard,10674,WR,1,NYG,10,5,50.0,50,1,64.0,63.7,29.2,68.0,,10.0,14,2.8,15,3,2,0,0,3,97.9,0,0,2016,11
Corey Coleman,10649,WR,1,CLV,10,4,40.0,39,0,55.1,55.1,28.7,67.0,,9.8,6,1.5,16,1,2,1,0,1,12.1,0,0,2016,11
Antonio Brown,5718,WR,1,PIT,10,8,80.0,76,0,76.4,74.9,76.5,71.3,,9.5,25,3.1,21,5,0,0,0,1,98.3,0,0,2016,11
David Johnson,9519,HB,1,ARZ,10,7,70.0,57,1,75.0,74.2,75.6,78.6,73.4,8.1,28,4.0,15,5,0,0,0,2,117.5,0,0,2016,11
DeVante Parker,9447,WR,1,MIA,10,8,80.0,79,1,82.0,83.2,76.5,70.1,,9.9,8,1.0,15,5,0,1,0,1,93.3,1,0,2016,11
Zach Ertz,7816,TE,1,PHI,10,6,60.0,35,1,72.5,69.8,76.5,70.1,70.2,5.8,22,3.7,11,3,0,0,0,0,100.0,0,0,2016,11
Travis Kelce,7844,TE,1,KC,9,7,77.8,108,0,73.0,72.9,52.1,70.3,,15.4,51,7.3,44,3,1,0,0,0,116.7,0,0,2016,11
Brandon LaFell,5602,WR,1,CIN,9,4,44.4,32,0,60.7,62.4,72.1,67.0,,8.0,12,3.0,16,2,0,1,0,0,14.4,0,0,2016,11
Steve Smith,837,WR,1,BLT,9,8,88.9,99,1,78.5,79.4,76.5,70.1,,12.4,31,3.9,22,5,0,0,0,0,149.5,1,0,2016,11
Le'Veon Bell,7829,HB,1,PIT,9,8,88.9,55,0,63.9,50.6,54.5,30.4,52.9,6.9,61,7.6,19,4,1,0,1,1,92.1,1,0,2016,11
T.Y. Hilton,7092,WR,1,IND,9,5,55.6,97,1,81.3,80.7,45.8,68.0,,19.4,43,8.6,50,5,1,1,0,1,90.7,0,0,2016,11
Theo Riddick,7980,HB,1,DET,9,8,88.9,70,0,69.4,87.2,76.5,72.7,74.6,8.8,73,9.1,20,4,0,0,0,2,99.1,0,0,2016,11
Terrelle Pryor Sr.,6944,WR,1,CLV,9,5,55.6,97,0,78.4,75.8,73.4,68.0,,19.4,12,2.4,36,4,0,0,0,0,93.3,1,0,2016,11
Mike Wallace,5007,WR,1,BLT,9,5,55.6,62,0,70.3,68.5,73.4,69.1,,12.4,31,6.2,27,1,0,0,1,1,77.1,0,0,2016,11
Brandin Cooks,8655,WR,1,NO,8,7,87.5,42,0,63.3,62.7,75.6,71.1,,6.0,9,1.3,12,3,1,0,0,2,88.5,0,0,2016,11
Kenny Stills,7926,WR,1,MIA,8,4,50.0,33,0,55.6,60.3,41.6,67.0,,8.3,15,3.8,15,1,1,0,0,2,60.9,1,1,2016,11
Anquan Boldin,1369,WR,1,DET,8,6,75.0,37,0,59.3,59.2,74.6,68.8,,6.2,9,1.5,8,1,0,0,0,0,83.9,0,0,2016,11
Tim Hightower,4463,HB,1,NO,8,8,100.0,57,0,64.5,77.3,76.5,76.1,54.9,7.1,76,9.5,11,5,0,0,0,2,96.4,0,0,2016,11
Marqise Lee,8674,WR,1,JAX,8,4,50.0,52,1,84.8,80.2,42.1,69.8,,13.0,9,2.3,29,4,1,2,0,2,70.8,0,0,2016,11
Tyler Boyd,10689,WR,1,CIN,8,6,75.0,54,1,71.6,68.9,49.7,68.8,,9.0,21,3.5,13,5,1,0,0,0,132.3,0,0,2016,11
Dez Bryant,5549,WR,1,DAL,8,6,75.0,80,2,80.6,79.3,74.6,68.8,,13.3,21,3.5,26,5,0,0,0,2,145.8,0,0,2016,11
Dorial Green-Beckham,9473,WR,1,PHI,8,5,62.5,54,1,60.0,62.2,46.3,68.0,,10.8,11,2.2,21,4,1,1,0,0,82.3,1,0,2016,11
Larry Fitzgerald,1724,WR,1,ARZ,7,6,85.7,63,0,73.0,67.7,74.6,68.8,62.3,10.5,7,1.2,16,3,0,0,0,0,104.2,0,0,2016,11
Charles Clay,6326,TE,1,BUF,7,5,71.4,23,0,59.5,50.2,73.4,68.0,77.7,4.6,8,1.6,6,0,0,0,0,0,75.3,1,0,2016,11
Stefon Diggs,9579,WR,1,MIN,7,6,85.7,37,0,65.1,66.9,74.6,68.8,,6.2,25,4.2,13,1,0,0,0,1,88.7,1,0,2016,11
Chris Conley,9509,WR,1,KC,7,4,57.1,28,0,56.5,56.5,72.1,15.0,,7.0,5,1.3,9,1,0,1,1,0,26.8,0,0,2016,11
Pierre Garcon,4519,WR,1,WAS,7,6,85.7,116,1,75.2,74.0,74.6,68.8,,19.3,39,6.5,70,2,0,0,0,1,158.3,0,0,2016,11
Donte Moncrief,8725,WR,1,IND,7,4,57.1,37,1,72.0,68.8,72.1,67.0,,9.3,3,0.8,17,3,0,0,0,1,111.3,0,0,2016,11
Michael Crabtree,4933,WR,1,OAK,7,3,42.9,5,0,46.8,47.3,28.0,65.8,,1.7,3,1.0,6,1,2,0,1,0,50.3,0,0,2016,11
Kenny Britt,4953,WR,1,LA,7,5,71.4,43,0,63.4,61.0,73.4,68.0,,8.6,19,3.8,19,1,0,0,0,0,87.2,0,0,2016,11
Allen Robinson II,8696,WR,1,JAX,7,3,42.9,18,1,58.2,57.5,70.5,65.8,,6.0,6,2.0,11,2,0,0,0,0,89.9,0,0,2016,11
Jordan Matthews,8677,WR,1,PHI,7,5,71.4,59,0,60.6,60.5,45.8,68.0,,11.8,12,2.4,26,3,1,0,0,0,96.7,0,0,2016,11
Odell Beckham Jr.,8647,WR,1,NYG,7,5,71.4,46,0,60.5,54.0,73.4,16.0,,9.2,3,0.6,20,2,0,0,1,1,89.0,0,0,2016,11
Jason Witten,1384,TE,1,DAL,7,5,71.4,37,0,58.4,60.5,46.3,68.0,74.6,7.4,11,2.2,11,4,1,0,0,0,83.6,1,0,2016,11
Giovani Bernard,7818,HB,1,CIN,7,5,71.4,40,0,57.3,55.5,49.2,73.6,82.1,8.0,17,3.4,12,2,1,0,0,0,85.4,0,0,2016,11
Cordarrelle Patterson,7810,WR,1,MIN,7,4,57.1,53,0,78.3,74.5,72.1,68.7,,13.3,52,13.0,30,2,0,0,0,0,81.3,0,0,2016,11
Cecil Shorts,6266,WR,1,TB,7,5,71.4,62,0,69.7,69.3,46.3,68.0,,12.4,10,2.0,19,3,0,0,0,0,98.5,0,0,2016,11
Tajae Sharpe,10774,WR,1,TEN,7,4,57.1,68,1,65.1,64.3,72.1,67.0,,17.0,11,2.8,34,3,0,0,0,0,129.8,0,0,2016,11
Braxton Miller,10719,WR,1,HST,6,5,83.3,25,1,55.5,56.9,45.8,70.6,,5.0,8,1.6,12,2,1,0,0,0,123.6,0,0,2016,11
James Starks,5716,HB,1,GB,6,5,83.3,46,1,62.5,54.3,45.8,74.7,45.3,9.2,52,10.4,31,1,1,0,0,1,138.2,0,0,2016,11
Eli Rogers,9878,WR,1,PIT,6,4,66.7,20,0,53.4,56.1,72.1,67.0,,5.0,9,2.3,8,1,0,0,0,0,71.5,0,0,2016,11
Greg Olsen,3647,TE,1,CAR,6,4,66.7,33,0,63.2,70.7,72.1,67.0,38.8,8.3,16,4.0,12,3,0,0,0,0,80.6,0,0,2016,11
Chris Ivory,6007,HB,1,JAX,6,6,100.0,75,0,52.7,83.7,74.6,26.9,69.2,12.5,77,12.8,22,4,0,0,0,1,118.8,0,0,2016,11
Jordan Reed,7866,TE,1,WAS,6,5,83.3,79,0,76.6,81.6,73.4,68.0,71.3,15.8,41,8.2,28,4,0,0,0,2,118.8,0,0,2016,11
Delanie Walker,3120,TE,1,TEN,6,4,66.7,36,0,53.9,52.3,72.1,67.0,71.2,9.0,6,1.5,14,1,0,0,0,1,82.6,1,0,2016,11
Kendall Wright,7026,WR,1,TEN,6,4,66.7,52,0,65.8,65.0,72.1,67.0,,13.0,17,4.3,21,2,0,0,0,0,93.8,0,0,2016,11
DeAndre Hopkins,7808,WR,1,HST,6,5,83.3,58,0,71.3,70.4,73.4,68.0,,11.6,17,3.4,24,4,0,0,0,0,106.9,0,0,2016,11
Rashad Jennings,5174,HB,1,NYG,6,5,83.3,44,0,73.0,80.4,73.4,78.1,76.9,8.8,48,9.6,16,3,0,0,0,1,97.2,0,0,2016,11
Jordan Howard,10784,HB,1,CHI,6,1,16.7,22,0,43.1,24.6,25.0,76.6,78.8,22.0,25,25.0,22,1,4,0,0,1,42.4,0,0,2016,11
