player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Michael Crabtree,4933,WR,1,OAK,16,7,43.8,39,2,68.8,68.2,75.6,17.7,,5.6,11,1.6,14,3,0,0,1,0,90.6,0,0,2017,15
Sterling Shepard,10674,WR,1,NYG,16,11,68.8,139,1,71.9,71.7,60.2,71.5,,12.6,80,7.3,67,7,1,0,0,1,116.4,1,0,2017,15
Randall Cobb,6216,WR,1,GB,13,7,53.8,84,1,62.5,60.8,32.2,69.5,65.9,12.0,44,6.3,33,3,2,1,0,0,67.5,0,0,2017,15
Jarvis Landry,8698,WR,1,MIA,13,10,76.9,99,0,66.0,68.8,78.0,71.1,,9.9,41,4.1,17,5,0,0,0,1,97.9,2,0,2017,15
Marquise Goodwin,7859,WR,1,SF,13,10,76.9,114,0,85.7,85.5,78.0,71.7,,11.4,25,2.5,18,7,0,0,0,0,102.7,2,0,2017,15
Evan Engram,11778,TE,1,NYG,12,8,66.7,87,0,62.2,61.4,54.5,70.8,68.9,10.9,29,3.6,28,4,1,0,0,0,87.8,0,0,2017,15
Kendall Wright,7026,WR,1,CHI,12,7,58.3,81,0,71.2,70.1,75.6,69.5,,11.6,23,3.3,19,3,0,1,0,1,44.1,0,0,2017,15
Robby Anderson,11254,WR,1,NYJ,12,5,41.7,40,0,52.8,52.4,46.3,68.0,,8.0,18,3.6,15,1,1,0,0,0,50.7,0,0,2017,15
DeVante Parker,9447,WR,1,MIA,12,6,50.0,89,0,72.3,71.2,75.6,69.5,,14.8,23,3.8,36,3,0,1,0,0,39.9,0,0,2017,15
Greg Olsen,3647,TE,1,CAR,11,9,81.8,116,1,88.2,91.1,77.3,70.6,73.2,12.9,37,4.1,30,7,0,0,0,1,140.9,0,0,2017,15
Rob Gronkowski,5567,TE,1,NE,11,9,81.8,168,0,96.7,95.0,58.5,71.1,74.2,18.7,35,3.9,31,8,1,0,0,2,118.8,0,0,2017,15
DeAndre Hopkins,7808,WR,1,HST,10,4,40.0,80,1,72.6,74.0,45.8,68.0,,20.0,0,0.0,40,3,1,1,0,0,62.5,1,0,2017,15
Kenyan Drake,10707,HB,1,MIA,10,6,60.0,35,0,65.2,46.3,29.7,76.9,72.1,5.8,39,6.5,11,2,2,0,0,4,66.7,0,0,2017,15
Alshon Jeffery,7048,WR,1,PHI,10,4,40.0,49,1,76.0,75.3,72.1,67.0,,12.3,28,7.0,19,4,0,0,0,1,89.2,0,0,2017,15
Michael Thomas,10681,WR,1,NO,10,9,90.0,93,1,81.7,84.2,77.3,70.6,,10.3,41,4.6,20,7,0,0,0,2,138.8,2,0,2017,15
Roger Lewis Jr.,11246,WR,1,NYG,10,4,40.0,74,0,63.5,62.5,73.4,68.0,62.3,18.5,10,2.5,25,3,0,1,0,0,26.7,0,0,2017,15
Charles Clay,6326,TE,1,BUF,9,5,55.6,68,0,65.6,68.3,29.2,68.0,14.0,13.6,27,5.4,29,3,2,0,0,1,79.9,0,0,2017,15
Mike Wallace,5007,WR,1,BLT,9,6,66.7,89,0,69.8,69.1,49.7,68.8,,14.8,8,1.3,30,5,1,0,0,0,98.8,0,0,2017,15
Nelson Agholor,9453,WR,1,PHI,9,7,77.8,59,1,73.3,71.4,52.1,69.5,,8.4,16,2.3,16,4,1,0,0,0,131.0,0,0,2017,15
Emmanuel Sanders,5606,WR,1,DEN,9,7,77.8,68,0,73.1,74.7,52.1,69.5,,9.7,8,1.1,26,4,1,0,0,0,98.1,1,0,2017,15
Josh Gordon,7618,WR,1,CLV,9,5,55.6,47,0,61.9,61.3,46.3,68.0,,9.4,16,3.2,18,2,1,0,0,0,70.1,0,0,2017,15
Delanie Walker,3120,TE,1,TEN,9,5,55.6,37,1,59.1,62.5,45.8,16.0,26.2,7.4,13,2.6,13,3,1,0,1,0,102.5,0,0,2017,15
Keelan Cole,51593,WR,1,JAX,9,7,77.8,186,1,93.1,92.8,75.6,69.5,,26.6,101,14.4,73,5,0,0,0,1,155.8,0,0,2017,15
Kareem Hunt,11841,HB,1,KC,9,7,77.8,51,1,78.9,60.7,52.5,79.0,,7.3,44,6.3,21,2,1,0,0,1,127.3,0,0,2017,15
Melvin Gordon III,9448,HB,1,LAC,8,6,75.0,91,0,71.2,67.2,49.7,77.8,82.3,15.2,98,16.3,49,3,1,0,0,5,112.0,0,0,2017,15
D.J. Foster,11214,HB,1,ARZ,8,4,50.0,22,0,54.8,49.1,42.1,68.7,84.6,5.5,15,3.8,8,1,1,0,0,0,56.3,0,0,2017,15
Jerick McKinnon,8731,HB,1,MIN,8,7,87.5,114,0,70.5,83.5,75.6,75.2,44.7,16.3,100,14.3,41,3,1,1,0,0,79.2,0,0,2017,15
