player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Case Keenum,7323,QB,1,DEN,51,48,31,64.6,292,6.1,1,1,75.4,73.1,63.3,47.8,1,0,6,2,0,79.5,1,12,2018,17
Ben Roethlisberger,1732,QB,1,PIT,47,45,31,68.9,287,6.4,1,1,58.9,55.9,69.5,80.5,1,0,2,0,2,84.2,1,12,2018,17
Matt Ryan,4317,QB,1,ATL,46,44,31,70.5,378,8.6,2,1,77.7,71.6,70.0,80.5,1,0,0,2,0,102.3,1,19,2018,17
Dak Prescott,10769,QB,1,DAL,49,44,27,61.4,387,8.8,4,0,76.0,75.3,58.1,81.5,4,1,2,2,1,120.2,1,18,2018,17
Baker Mayfield,46518,QB,1,CLV,42,42,23,54.8,376,9.0,3,3,72.6,71.3,,79.6,0,0,1,1,0,79.1,0,16,2018,17
Eli Manning,1722,QB,1,NYG,42,41,24,58.5,301,7.3,2,1,53.2,51.5,62.6,29.6,1,0,1,4,0,87.6,0,12,2018,17
Jameis Winston,9434,QB,1,TB,39,37,22,59.5,345,9.3,4,1,88.3,83.8,73.2,79.4,1,1,2,2,0,115.3,1,17,2018,17
DeShone Kizer,11807,QB,1,GB,41,35,16,45.7,132,3.8,0,1,45.7,39.8,77.1,79.2,2,0,4,3,1,44.0,4,8,2018,17
Deshaun Watson,11767,QB,1,HST,42,35,25,71.4,234,6.7,0,0,66.5,61.7,70.6,81.7,6,1,1,0,1,89.5,1,13,2018,17
Andrew Luck,7007,QB,1,IND,40,35,24,68.6,285,8.1,3,1,64.8,64.5,58.7,80.1,1,1,1,0,0,109.8,4,15,2018,17
Josh Rosen,35460,QB,1,ARZ,40,34,18,52.9,149,4.4,1,0,37.0,37.9,58.3,21.3,6,0,1,1,0,74.3,0,8,2018,17
