player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Lawrence Timmons,3631,LB,1,PIT,61,2,19,40,82.2,71.0,77.0,55.9,78.7,1,0,0,1,0,4,0,0,4,0,3,1,5,5.0,9,5.0,0,0,1,42.4,0,0,2014,14
Leon Hall,3634,CB,1,CIN,68,3,28,37,46.2,68.3,43.5,53.8,48.7,0,0,0,0,0,4,0,1,0,0,3,2,105,52.5,51,94.0,1,0,1,149.3,1,0,2014,14
Michael Griffin,3635,S,1,TEN,74,3,30,41,70.0,73.6,87.8,56.3,64.4,0,0,0,0,0,10,0,0,2,0,1,1,3,3.0,3,3.0,0,0,0,79.2,0,0,2014,14
Reggie Nelson,3637,S,1,CIN,70,2,30,38,58.3,57.7,28.9,56.8,59.6,0,0,0,0,0,1,1,1,1,0,4,3,35,11.7,25,16.0,0,0,0,101.0,0,0,2014,14
Anthony Spencer,3642,ED,1,DAL,38,30,6,2,63.0,62.8,73.2,53.6,76.7,1,0,0,1,0,1,1,0,0,1,1,1,21,21.0,24,21.0,0,0,0,118.8,0,0,2014,14
Alan Branch,3649,DI,1,NE,17,10,7,0,61.5,68.5,68.1,51.3,,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Eric Weddle,3653,S,1,SD,77,1,26,50,68.4,73.5,85.4,56.3,64.2,0,0,0,0,0,5,0,0,1,0,2,1,11,11.0,5,11.0,0,0,0,66.7,1,0,2014,14
David Harris,3663,LB,1,NYJ,59,10,26,23,70.6,65.7,81.7,47.9,75.8,1,0,1,0,0,5,2,0,3,0,1,1,3,3.0,0,3.0,0,0,0,79.2,0,0,2014,14
Josh Wilson,3671,CB,1,ATL,49,0,12,37,57.9,29.1,25.8,,66.2,0,0,0,0,0,2,0,2,1,0,1,1,18,18.0,17,18.0,0,0,0,118.8,0,0,2014,14
Charles Johnson,3699,ED,1,CAR,44,33,10,1,79.3,66.4,20.2,80.0,60.0,8,0,1,7,0,0,0,1,0,0,0,0,0,,0,,0,0,0,0.0,1,1,2014,14
Ray McDonald,3713,DI,1,SF,47,28,18,1,55.7,60.4,70.5,51.9,60.0,1,0,0,1,0,2,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Brian Robison,3718,ED,1,MIN,71,37,34,0,62.7,58.3,,58.6,60.0,4,0,0,4,1,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Paul Soliai,3724,DI,1,ATL,36,18,18,0,58.9,64.4,23.0,65.3,60.0,2,0,0,2,0,1,0,1,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Dashon Goldson,3742,S,1,TB,47,0,19,28,37.2,57.4,29.7,,40.5,0,0,0,0,0,4,0,2,1,0,4,3,38,12.7,29,19.0,0,0,0,104.2,0,0,2014,14
Tarell Brown,3763,CB,1,OAK,57,0,16,41,61.2,65.7,76.9,,59.6,0,0,0,0,0,2,1,0,0,0,5,2,42,21.0,7,22.0,0,0,0,70.4,1,0,2014,14
