player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
C.J. Anderson,8101,HB,1,DEN,33,30,158,5.3,0,76.4,77.5,79.5,60.0,102,3.4,16,9,7,0,1,0,2017,15
Le'Veon Bell,7829,HB,1,PIT,24,24,117,4.9,1,63.9,61.5,79.0,72.4,58,2.42,18,6,3,0,0,0,2017,15
Kareem Hunt,11841,HB,1,KC,25,24,155,6.5,1,78.9,80.0,79.0,60.0,99,4.13,23,9,6,0,0,0,2017,15
Devonta Freeman,8738,HB,1,ATL,24,22,126,5.7,1,55.9,50.3,20.7,60.0,54,2.45,32,6,5,2,0,0,2017,15
Todd Gurley II,9443,HB,1,LA,23,21,152,7.2,3,75.3,73.6,77.8,60.0,85,4.05,57,7,5,0,0,0,2017,15
Latavius Murray,7962,HB,1,MIN,24,20,76,3.8,1,64.1,60.8,77.3,60.0,44,2.2,14,4,0,0,0,0,2017,15
LeSean McCoy,4976,HB,1,BUF,20,20,50,2.5,1,58.1,50.9,78.0,,42,2.1,14,4,1,0,0,0,2017,15
Melvin Gordon III,9448,HB,1,LAC,21,19,78,4.1,1,71.2,69.9,77.8,60.0,59,3.11,15,5,6,0,0,0,2017,15
DeMarco Murray,6223,HB,1,TEN,20,18,59,3.3,0,58.2,58.1,76.7,60.0,28,1.56,11,4,0,0,0,0,2017,15
Chris Ivory,6007,HB,1,JAX,18,17,42,2.5,0,54.0,54.9,76.2,60.0,26,1.53,8,1,0,0,0,0,2017,15
Kerwynn Williams,8013,HB,1,ARZ,18,17,61,3.6,0,58.4,60.1,76.2,60.0,35,2.06,12,2,1,0,0,0,2017,15
Kenyan Drake,10707,HB,1,MIA,19,16,78,4.9,1,65.2,73.6,76.9,60.0,37,2.31,31,4,3,0,0,0,2017,15
Carlos Hyde,8692,HB,1,SF,17,16,25,1.6,0,51.2,53.7,76.2,60.0,30,1.88,8,1,4,0,0,0,2017,15
Marshawn Lynch,3628,HB,1,OAK,18,16,76,4.8,0,61.6,63.7,76.7,60.0,64,4.0,19,3,3,0,1,0,2017,15
Alfred Morris,7165,HB,1,DAL,17,16,61,3.8,0,55.6,55.3,76.2,60.0,34,2.13,16,3,1,0,0,0,2017,15
Giovani Bernard,7818,HB,1,CIN,15,14,30,2.1,1,53.7,51.5,75.8,60.0,19,1.36,4,1,1,0,0,0,2017,15
Cam Newton,6153,QB,1,CAR,34,11,58,4.1,0,78.8,75.4,80.6,60.0,33,2.36,13,5,0,0,0,0,2017,15
