player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Sam Bradford,5526,QB,1,SL,57,55,32,58.2,352,6.4,3,1,68.5,67.5,61.6,81.7,0,3,4,5,1,87.8,2,19,2013,2
Eli Manning,1722,QB,1,NYG,50,49,28,57.1,362,7.4,1,4,64.7,63.9,,81.5,1,0,3,2,0,53.3,0,15,2013,2
Matt Schaub,1811,QB,1,HST,50,48,26,54.2,298,6.2,3,2,62.6,61.8,,80.8,2,1,1,4,1,76.6,0,15,2013,2
Philip Rivers,1725,QB,1,SD,49,47,36,76.6,419,8.9,3,0,89.8,88.4,61.2,81.0,1,0,4,1,1,124.3,1,24,2013,2
Drew Brees,802,QB,1,NO,50,46,26,56.5,322,7.0,1,2,65.1,64.3,,47.2,4,0,3,2,1,67.5,0,13,2013,2
Andy Dalton,6187,QB,1,CIN,48,45,25,55.6,280,6.2,1,0,57.8,60.5,44.8,80.3,0,2,2,1,1,81.7,3,12,2013,2
Andrew Luck,7007,QB,1,IND,50,43,25,58.1,321,7.5,1,1,58.4,54.0,75.9,31.2,3,1,1,1,0,79.7,4,17,2013,2
Matt Ryan,4317,QB,1,ATL,45,43,33,76.7,374,8.7,2,0,81.5,79.7,,80.0,2,2,0,1,0,117.8,0,17,2013,2
Peyton Manning,327,QB,1,DEN,43,43,30,69.8,307,7.1,2,0,76.3,76.8,53.8,80.3,0,0,6,0,0,105.5,0,18,2013,2
Aaron Rodgers,2241,QB,1,GB,46,42,34,81.0,480,11.4,4,0,90.1,89.5,57.9,80.6,4,0,1,1,0,146.0,0,18,2013,2
Tony Romo,1693,QB,1,DAL,47,42,30,71.4,298,7.1,1,0,71.2,72.1,52.6,80.6,3,2,1,1,0,99.1,1,15,2013,2
Robert Griffin III,7008,QB,1,WAS,43,40,26,65.0,320,8.0,3,1,66.6,69.2,49.1,80.3,1,2,4,0,0,104.2,2,15,2013,2
E.J. Manuel,7797,QB,1,BUF,43,39,27,69.2,296,7.6,1,1,60.6,63.7,47.0,79.8,1,0,2,0,0,89.3,3,13,2013,2
Tom Brady,698,QB,1,NE,40,39,19,48.7,185,4.7,1,0,71.1,71.8,53.6,79.6,1,0,4,2,0,71.0,0,7,2013,2
Carson Palmer,1317,QB,1,ARZ,40,39,22,56.4,248,6.4,1,1,57.2,60.3,50.7,29.6,1,1,0,2,0,73.5,0,12,2013,2
Cam Newton,6153,QB,1,CAR,46,38,21,55.3,229,6.0,2,1,61.7,61.1,60.0,80.6,6,1,1,1,1,79.8,2,13,2013,2
Jay Cutler,2956,QB,1,CHI,41,38,27,71.1,292,7.7,3,2,66.3,66.3,57.7,41.6,1,0,1,0,0,97.7,2,16,2013,2
Chad Henne,4371,QB,1,JAX,43,38,25,65.8,241,6.3,1,0,64.0,66.1,56.7,80.2,4,1,2,1,0,92.1,1,13,2013,2
Ben Roethlisberger,1732,QB,1,PIT,39,37,20,54.1,251,6.8,1,1,64.7,63.0,63.2,79.4,2,0,1,1,0,73.1,0,12,2013,2
Matthew Stafford,4924,QB,1,DET,38,36,24,66.7,278,7.7,2,0,74.7,76.5,50.1,79.0,1,1,5,0,0,108.3,1,11,2013,2
Michael Vick,773,QB,1,PHI,39,36,23,63.9,428,11.9,2,0,67.3,70.6,54.5,29.6,1,0,0,2,1,123.4,2,17,2013,2
Alex Smith,2218,QB,1,KC,46,36,21,58.3,223,6.2,2,0,61.9,60.9,61.4,80.4,4,1,2,1,0,95.0,6,14,2013,2
Geno Smith,7820,QB,1,NYJ,41,35,15,42.9,214,6.1,0,3,62.9,64.4,57.9,79.4,4,0,5,2,0,27.6,2,10,2013,2
