player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Leonard Fournette,11759,HB,1,JAX,28,28,95,3.4,1,76.4,71.8,79.7,,68.0,2.43,20,5,3,0,0,0,2018,11
Lamar Jackson,46416,QB,1,BLT,51,24,117,4.3,0,50.0,57.0,37.9,60.0,40.0,1.48,21,7,1,1,0,0,2018,11
Saquon Barkley,45791,HB,1,NYG,28,27,142,5.3,2,78.1,77.5,79.1,60.0,124.0,4.59,23,8,4,0,0,0,2018,11
David Johnson,9519,HB,1,ARZ,26,25,137,5.5,0,64.3,72.3,78.9,60.0,63.0,2.52,53,4,3,0,0,0,2018,11
Ezekiel Elliott,10638,HB,1,DAL,27,23,122,5.3,1,70.0,66.7,28.3,59.8,96.0,4.17,23,6,9,1,0,0,2018,11
Lamar Miller,7097,HB,1,HST,20,20,86,4.3,0,61.1,59.1,77.6,,36.0,1.8,21,4,1,0,0,0,2018,11
Jordan Howard,10784,HB,1,CHI,24,18,63,3.5,0,62.1,60.4,76.7,60.0,45.0,2.5,8,1,0,0,0,0,2018,11
Melvin Gordon III,9448,HB,1,LAC,22,18,69,3.8,0,67.3,64.4,77.9,57.7,48.0,2.67,20,4,2,0,0,0,2018,11
Peyton Barber,10927,HB,1,TB,19,18,106,5.9,1,64.3,66.5,77.0,60.0,60.0,3.33,28,5,3,0,0,0,2018,11
Gus Edwards,46027,HB,1,BLT,34,17,115,6.8,1,90.4,89.7,77.1,59.3,91.0,5.35,17,7,8,0,0,0,2018,11
Chris Carson,12004,HB,1,SEA,17,17,83,4.9,1,56.1,57.0,24.3,,64.0,3.76,15,5,3,1,0,0,2018,11
Marlon Mack,11898,HB,1,IND,16,16,61,3.8,1,61.5,62.2,76.0,,45.0,2.81,9,6,1,0,0,0,2018,11
Adrian Peterson,3623,HB,1,WAS,20,16,51,3.2,2,58.1,59.4,23.9,60.0,29.0,1.81,9,4,1,1,0,0,2018,11
Mark Ingram II,6180,HB,1,NO,16,16,103,6.4,2,71.8,72.2,75.8,,76.0,4.75,38,5,2,0,0,0,2018,11
Kerryon Johnson,34455,HB,1,DET,15,15,87,5.8,1,82.1,83.7,75.9,,74.0,4.93,24,9,5,0,0,0,2018,11
Kareem Hunt,11841,HB,1,KC,15,14,70,5.0,0,70.0,74.5,75.8,60.0,55.0,3.93,27,2,2,0,0,0,2018,11
Alvin Kamara,11822,HB,1,NO,21,13,71,5.5,0,72.8,68.0,75.6,60.4,40.0,3.08,16,1,3,0,0,0,2018,11
Christian McCaffrey,11763,HB,1,CAR,15,13,53,4.1,0,65.9,56.2,76.0,60.0,35.0,2.69,10,4,0,0,0,0,2018,11
Joe Mixon,11803,HB,1,CIN,12,12,14,1.2,1,65.1,59.1,75.0,,15.0,1.25,4,3,1,0,0,0,2018,11
Todd Gurley II,9443,HB,1,LA,15,12,55,4.6,0,57.4,55.3,75.2,60.0,35.0,2.92,24,2,0,0,0,0,2018,11
DeAndre Washington,10777,HB,1,OAK,12,12,39,3.3,0,61.4,62.1,74.3,,27.0,2.25,10,3,1,0,0,0,2018,11
Phillip Lindsay,12660,HB,1,DEN,11,11,79,7.2,2,83.9,78.3,75.1,60.0,27.0,2.45,41,3,2,0,0,0,2018,11
Aaron Jones,11937,HB,1,GB,11,11,40,3.6,1,76.0,72.8,75.5,,23.0,2.09,8,2,2,0,0,0,2018,11
Jalen Richard,11395,HB,1,OAK,11,11,61,5.5,0,76.6,72.5,76.0,,22.0,2.0,24,3,2,0,0,0,2018,11
Doug Martin,7035,HB,1,OAK,10,10,52,5.2,0,71.5,69.4,73.6,,31.0,3.1,11,3,0,0,0,0,2018,11
Dion Lewis,6301,HB,1,TEN,12,10,24,2.4,0,48.5,52.6,74.1,60.0,18.0,1.8,11,1,1,0,0,0,2018,11
Mitchell Trubisky,11757,QB,1,CHI,34,5,43,4.3,0,65.6,71.9,80.0,60.0,30.0,3.0,13,4,1,0,0,0,2018,11
Dalvin Cook,11796,HB,1,MIN,9,9,12,1.3,0,46.5,40.4,21.7,,12.0,1.33,7,2,0,1,0,0,2018,11
Derrick Henry,10679,HB,1,TEN,9,9,46,5.1,0,65.5,75.1,73.6,,49.0,5.44,16,1,3,0,0,0,2018,11
