player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Adam Vinatieri,226,K,1,IND,0,0,0,0,0,5,60.0,,,,,69.7,0,0,0,0,0,2015,5
Phil Dawson,422,K,1,SF,0,0,0,0,0,5,60.0,,,,,66.3,0,0,0,0,0,2015,5
Sebastian Janikowski,595,K,1,OAK,0,3,0,0,0,4,60.0,60.0,,,,44.2,0,0,0,0,0,2015,5
Shane Lechler,673,P,1,HST,0,0,0,3,0,4,60.4,,,62.8,,,0,0,0,0,0,2015,5
Mike Leach,750,LS,1,ARZ,0,0,0,6,0,6,49.7,,,,,,0,0,0,0,0,2015,5
Julius Peppers,1010,ED,1,GB,0,0,0,0,5,0,59.3,,,,,,0,0,0,0,0,2015,5
Matt Bryant,1223,K,1,ATL,0,0,0,0,0,5,60.0,,,,,37.4,0,0,0,0,0,2015,5
Billy Cundiff,1230,K,1,BUF,0,4,0,0,0,0,60.0,60.0,,,,,0,0,0,0,0,2015,5
James Harrison,1251,ED,1,PIT,0,0,0,0,5,0,60.3,,,,,,0,0,0,0,0,2015,5
Kevin Williams,1325,DI,1,NO,0,0,0,0,8,0,58.9,,,,,,0,0,0,0,0,2015,5
Rashean Mathis,1355,CB,1,DET,0,0,0,0,6,0,60.6,,,,,,0,0,0,0,0,2015,5
Cory Redding,1381,DI,1,ARZ,0,0,0,0,1,0,59.8,,,,,,0,0,0,0,0,2015,5
Jason Witten,1384,TE,1,DAL,0,0,0,0,0,2,60.0,,,,,,0,0,0,0,0,2015,5
Mike Scifres,1458,P,1,SD,0,0,0,5,0,5,60.6,,,62.3,,,0,0,0,0,0,2015,5
Josh Brown,1520,K,1,NYG,0,7,0,0,0,6,60.0,60.9,,,,65.9,0,0,0,0,0,2015,5
Chris Clemons,1585,ED,1,JAX,0,0,0,0,6,0,59.6,,,,,,0,0,0,0,0,2015,5
Jon Dorenbos,1600,LS,1,PHI,0,0,0,1,0,8,36.8,,,,,,0,0,0,0,0,2015,5
Larry Fitzgerald,1724,WR,1,ARZ,2,0,0,0,0,0,59.9,,,,,,0,0,0,0,0,2015,5
Vince Wilfork,1742,DI,1,HST,0,0,0,0,5,0,59.4,,,,,,0,0,0,0,0,2015,5
Benjamin Watson,1753,TE,1,NO,0,0,0,0,0,3,60.1,,,,,,0,0,0,0,0,2015,5
Karlos Dansby,1754,LB,1,CLV,0,0,1,0,5,0,60.3,,,,,,0,0,0,0,0,2015,5
Randy Starks,1792,DI,1,CLV,0,0,1,0,1,0,60.0,,,,,,0,0,0,0,0,2015,5
Luke McCown,1827,QB,1,NO,0,0,0,0,0,3,60.0,,,,,,0,0,0,0,0,2015,5
Will Allen,1832,S,1,PIT,0,0,0,2,1,0,59.7,,,,,,0,0,0,0,0,2015,5
Antonio Smith,1856,DI,1,DEN,0,0,0,0,2,0,60.0,,,,,,0,0,0,0,0,2015,5
Andy Lee,1906,P,1,CLV,0,0,0,5,0,5,60.6,,,59.0,,,0,0,0,0,0,2015,5
Donnie Jones,1939,P,1,PHI,0,0,0,1,0,8,60.8,,,60.0,,,0,0,0,0,0,2015,5
Mike Adams,1972,S,1,IND,0,0,0,0,4,0,60.1,,,,,,0,0,0,0,0,2015,5
Don Muhlbach,2130,LS,1,DET,0,0,0,4,0,3,53.1,,,,,,0,0,0,0,0,2015,5
Adam Jones,2223,CB,1,CIN,0,0,6,0,1,0,29.4,,,,70.1,,1,0,0,0,0,2015,5
DeMarcus Ware,2228,ED,1,DEN,0,0,0,0,2,0,60.0,,,,,,0,0,0,0,0,2015,5
Mike Nugent,2264,K,1,CIN,0,5,0,0,0,5,60.0,60.0,,,,82.7,0,0,0,0,0,2015,5
Khalif Barnes,2269,T,1,OAK,0,0,0,0,0,4,60.2,,,,,,0,0,0,0,0,2015,5
Vincent Jackson,2278,WR,1,TB,1,0,0,0,0,0,60.0,,,,,,0,0,0,0,0,2015,5
