player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Ben Roethlisberger,1732,QB,1,PIT,58,55,33,60.0,312,5.7,0,5,54.6,55.0,58.3,81.6,2,1,0,3,0,37.8,1,16,2017,5
Jared Goff,10635,QB,1,LA,50,47,22,46.8,288,6.1,0,2,65.5,63.7,66.0,80.6,2,1,3,0,0,48.9,1,15,2017,5
Jameis Winston,9434,QB,1,TB,50,46,26,56.5,334,7.3,1,0,70.0,70.1,56.2,80.6,2,0,5,1,0,86.7,2,18,2017,5
Brian Hoyer,5277,QB,1,SF,48,46,29,63.0,353,7.7,2,0,67.3,72.0,43.1,46.3,2,1,1,1,0,101.1,0,19,2017,5
Philip Rivers,1725,QB,1,LAC,45,44,21,47.7,258,5.9,3,1,63.7,63.4,58.0,80.7,0,1,7,4,0,79.5,1,12,2017,5
Carson Palmer,1317,QB,1,ARZ,46,44,28,63.6,291,6.6,1,0,62.8,62.2,,79.9,2,1,3,0,2,90.2,0,13,2017,5
Tom Brady,698,QB,1,NE,45,40,30,75.0,303,7.6,1,1,85.1,86.8,47.6,80.3,3,1,3,2,0,94.1,2,15,2017,5
Tyrod Taylor,6332,QB,1,BUF,44,37,20,54.1,166,4.5,1,1,61.0,58.8,66.1,79.9,6,0,5,2,0,63.6,1,10,2017,5
Alex Smith,2218,QB,1,KC,42,37,29,78.4,324,8.8,3,0,84.5,85.6,56.7,79.9,1,0,0,1,1,130.2,4,21,2017,5
Russell Wilson,7077,QB,1,SEA,43,37,24,64.9,198,5.4,1,1,66.4,68.6,51.3,80.1,3,0,1,0,1,76.2,3,11,2017,5
Andy Dalton,6187,QB,1,CIN,38,36,22,61.1,328,9.1,1,2,69.1,68.6,58.4,79.7,1,0,3,2,0,77.1,1,11,2017,5
Eli Manning,1722,QB,1,NYG,41,36,21,58.3,225,6.3,2,1,61.7,60.9,,28.8,5,0,4,1,1,83.7,0,9,2017,5
Dak Prescott,10769,QB,1,DAL,39,36,25,69.4,251,7.0,3,1,77.1,74.1,69.0,79.5,1,0,1,2,1,105.2,2,17,2017,5
Matthew Stafford,4924,QB,1,DET,41,35,23,65.7,229,6.5,2,0,58.5,58.1,,22.0,6,0,2,1,0,103.2,0,11,2017,5
Jacoby Brissett,10725,QB,1,IND,43,34,22,64.7,314,9.2,0,1,71.1,73.7,52.6,80.3,4,0,2,1,0,82.2,5,14,2017,5
Cam Newton,6153,QB,1,CAR,37,33,26,78.8,355,10.8,3,0,84.9,90.4,44.6,44.4,3,0,3,0,0,141.8,1,13,2017,5
Matt Cassel,2447,QB,1,TEN,38,32,21,65.6,141,4.4,1,0,58.5,57.9,,28.3,6,1,0,3,1,85.5,0,9,2017,5
Deshaun Watson,11767,QB,1,HST,36,31,16,51.6,261,8.4,5,0,67.8,66.2,64.5,79.6,3,0,0,0,0,119.8,2,14,2017,5
Carson Wentz,10636,QB,1,PHI,35,30,21,70.0,304,10.1,4,1,76.3,78.8,52.9,79.2,1,2,1,0,0,128.3,3,12,2017,5
Josh McCown,1085,QB,1,NYJ,34,30,23,76.7,194,6.5,2,1,68.6,67.6,60.5,78.9,3,1,0,1,0,101.3,0,12,2017,5
Aaron Rodgers,2241,QB,1,GB,37,29,19,65.5,221,7.6,3,0,84.7,80.6,72.8,78.9,4,2,1,1,0,122.9,4,15,2017,5
Joe Flacco,4332,QB,1,BLT,26,26,19,73.1,222,8.5,0,0,83.6,82.3,60.5,77.6,0,0,1,0,0,98.6,0,8,2017,5
E.J. Manuel,7797,QB,1,OAK,30,26,13,50.0,159,6.1,1,0,68.0,66.9,60.8,77.8,3,2,1,1,1,82.1,1,9,2017,5
Jay Cutler,2956,QB,1,MIA,28,26,12,46.2,92,3.5,1,1,73.2,69.1,68.5,77.3,1,0,4,3,0,52.1,1,7,2017,5
Mitchell Trubisky,11757,QB,1,CHI,29,25,12,48.0,128,5.1,1,1,57.0,56.9,57.5,77.8,1,0,1,0,0,60.1,3,7,2017,5
Case Keenum,7323,QB,1,MIN,22,21,17,81.0,140,6.7,1,0,59.9,52.1,71.7,76.1,0,0,1,0,0,110.3,1,8,2017,5
Kevin Hogan,10796,QB,1,CLV,20,19,16,84.2,194,10.2,2,1,76.0,76.3,60.2,76.6,0,0,0,0,0,122.4,1,8,2017,5
DeShone Kizer,11807,QB,1,CLV,21,17,8,47.1,87,5.1,0,1,33.7,40.6,39.4,25.2,1,0,0,1,0,38.1,3,3,2017,5
Blake Bortles,8638,QB,1,JAX,17,14,8,57.1,95,6.8,0,1,79.5,76.4,63.9,74.2,2,0,1,0,0,48.2,1,6,2017,5
Sam Bradford,5526,QB,1,MIN,15,11,5,45.5,36,3.3,0,0,23.4,24.2,,73.5,4,0,0,0,0,53.6,0,3,2017,5
Tanner McEvoy,11288,WR,1,SEA,1,1,0,0.0,0,0.0,0,1,27.7,33.8,,60.4,0,0,0,0,0,0.0,0,0,2017,5
MarQueis Gray,8286,TE,1,MIA,1,1,0,0.0,0,0.0,0,0,29.1,59.6,,60.4,0,0,0,0,0,39.6,0,0,2017,5
Pat O'Donnell,8826,P,1,CHI,1,1,1,100.0,38,38.0,1,0,70.7,67.2,,60.4,0,0,0,0,0,158.3,0,1,2017,5
