player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Adam Vinatieri,226,K,1,IND,0,0,0,0,0,5,60.0,,,,,64.8,0,0,0,0,0,2017,8
Shane Lechler,673,P,1,HST,0,0,0,5,0,6,60.8,,,71.0,,,0,0,0,0,0,2017,8
Julius Peppers,1010,ED,1,CAR,0,0,2,0,1,0,59.7,,,,,,0,0,0,0,0,2017,8
Matt Bryant,1223,K,1,ATL,0,0,0,0,0,5,60.0,,,,,66.8,0,0,0,0,0,2017,8
Terence Newman,1321,CB,1,MIN,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2017,8
Jason Witten,1384,TE,1,DAL,1,0,0,0,0,8,60.4,,,,,,0,0,0,0,0,2017,8
Donnie Jones,1939,P,1,PHI,0,0,0,6,0,5,28.1,,,59.7,,,0,0,0,0,0,2017,8
Mike Adams,1972,S,1,CAR,0,0,2,0,1,0,60.2,,,,,,0,0,0,0,0,2017,8
Don Muhlbach,2130,LS,1,DET,0,0,0,3,0,5,64.2,,,,,,0,0,0,0,0,2017,8
Thomas Davis Sr.,2231,LB,1,CAR,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2017,8
Mike Nugent,2264,K,1,DAL,0,8,0,0,0,8,60.1,61.4,,,,58.8,0,0,0,0,0,2017,8
Richie Incognito,2298,G,1,BUF,0,0,0,0,0,6,60.9,,,,,,0,0,0,0,0,2017,8
Dustin Colquitt,2316,P,1,KC,0,0,0,5,0,7,60.9,,,45.0,,,0,0,0,0,0,2017,8
Joe Berger,2424,G,1,MIN,0,0,0,0,0,6,60.5,,,,,,0,0,0,0,0,2017,8
Lorenzo Alexander,2476,ED,1,BUF,1,7,1,5,2,0,61.3,,,,,,0,0,0,0,0,2017,8
Jon Condo,2539,LS,1,OAK,0,0,0,4,0,2,63.6,,,,,,0,0,0,0,0,2017,8
John Denney,2561,LS,1,MIA,0,0,0,8,0,1,64.4,,,,,,0,0,0,0,0,2017,8
Robbie Gould,2607,K,1,SF,0,0,0,0,0,3,60.0,,,,,66.8,0,0,0,0,0,2017,8
L.P. Ladouceur,2687,LS,1,DAL,0,0,0,3,0,8,60.8,,,,,,0,0,0,0,0,2017,8
Nick Novak,2726,K,1,LAC,0,4,0,0,0,2,60.0,60.0,,,,49.1,0,0,0,0,0,2017,8
Johnathan Joseph,2969,CB,1,HST,0,0,0,0,5,0,60.1,,,,,,0,0,0,0,0,2017,8
Anthony Fasano,2998,TE,1,MIA,0,0,0,0,0,1,60.0,,,,,,0,0,0,0,0,2017,8
