player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Calvin Johnson,3618,WR,1,DET,15,7,46.7,113,1,76.9,75.5,76.5,70.1,,16.1,12,1.7,49,6,0,1,0,0,66.8,1,0,2014,10
Anquan Boldin,1369,WR,1,SF,14,6,42.9,95,1,70.6,68.9,27.1,69.5,,15.8,21,3.5,25,6,4,0,0,0,89.9,1,0,2014,10
Demaryius Thomas,5547,WR,1,DEN,13,11,84.6,108,0,81.0,77.1,78.7,71.5,,9.8,45,4.1,21,6,0,0,0,1,101.3,0,0,2014,10
Vincent Jackson,2278,WR,1,TB,13,8,61.5,75,0,76.7,75.2,76.5,70.1,,9.4,16,2.0,19,4,0,2,0,1,37.8,0,0,2014,10
Golden Tate,5585,WR,1,DET,13,11,84.6,109,0,72.9,71.8,79.4,71.9,,9.9,76,6.9,28,4,0,0,0,0,101.6,0,0,2014,10
Jimmy Graham,5619,TE,1,NO,12,10,83.3,76,2,82.8,80.7,78.7,71.5,75.0,7.6,16,1.6,15,7,0,1,0,0,97.9,1,0,2014,10
Alshon Jeffery,7048,WR,1,CHI,12,6,50.0,63,0,71.7,67.6,52.5,70.3,,10.5,48,8.0,22,3,0,0,0,1,65.6,0,0,2014,10
Julio Jones,6158,WR,1,ATL,11,8,72.7,119,0,71.4,70.2,35.7,70.1,,14.9,50,6.3,39,5,1,0,0,3,107.8,0,0,2014,10
Dwayne Bowe,3639,WR,1,KC,11,8,72.7,93,0,77.0,75.9,76.5,70.1,,11.6,29,3.6,23,4,0,0,1,2,97.9,0,0,2014,10
James Jones,3694,WR,1,OAK,11,8,72.7,20,0,63.6,63.5,76.5,70.1,,2.5,18,2.3,10,2,0,0,0,2,75.2,0,0,2014,10
Brandon Marshall,3064,WR,1,CHI,10,8,80.0,112,1,75.2,75.4,76.5,70.1,,14.0,70,8.8,45,5,0,0,0,3,146.7,0,0,2014,10
Le'Veon Bell,7829,HB,1,PIT,10,8,80.0,33,0,59.4,54.7,54.5,75.7,85.8,4.1,28,3.5,10,2,1,0,0,1,80.4,0,0,2014,10
Charles Clay,6326,TE,1,MIA,9,7,77.8,45,0,73.4,73.2,75.6,69.5,19.5,6.4,26,3.7,13,3,0,0,0,2,87.5,0,0,2014,10
A.J. Green,6156,WR,1,CIN,9,3,33.3,23,0,54.6,52.5,28.0,65.8,,7.7,3,1.0,11,1,2,0,0,1,42.4,0,0,2014,10
Antonio Brown,5718,WR,1,PIT,9,8,88.9,74,0,68.5,67.5,76.5,19.5,,9.3,18,2.3,15,6,0,0,1,1,100.9,0,0,2014,10
Jarvis Landry,8698,WR,1,MIA,9,7,77.8,50,0,63.5,66.8,75.6,73.3,,7.1,18,2.6,12,2,0,0,0,1,89.8,0,0,2014,10
Odell Beckham Jr.,8647,WR,1,NYG,9,7,77.8,108,0,77.2,75.3,75.6,70.3,,15.4,15,2.1,44,6,0,1,0,1,77.1,0,0,2014,10
Allen Robinson II,8696,WR,1,JAX,9,5,55.6,60,0,68.0,67.3,74.6,68.8,,12.0,17,3.4,31,4,0,0,0,0,76.2,0,0,2014,10
Larry Fitzgerald,1724,WR,1,ARZ,9,9,100.0,112,0,80.7,80.0,77.3,70.6,60.5,12.4,37,4.1,18,7,0,0,0,0,118.5,0,0,2014,10
Mike Evans,8642,WR,1,TB,9,7,77.8,125,1,81.0,79.5,75.6,69.5,,17.9,16,2.3,34,5,0,0,0,1,155.8,0,0,2014,10
Jordan Matthews,8677,WR,1,PHI,9,7,77.8,138,2,91.6,91.0,75.6,69.5,,19.7,67,9.6,33,7,0,0,0,2,158.3,0,0,2014,10
Rueben Randle,7065,WR,1,NYG,9,5,55.6,39,0,60.0,59.6,74.6,68.8,,7.8,2,0.4,11,1,0,0,0,1,66.4,0,0,2014,10
