player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Adam Vinatieri,226,K,1,IND,0,0,0,0,0,4,60.0,,,,,46.1,0,0,0,0,0,2016,14
Phil Dawson,422,K,1,SF,0,4,0,0,0,5,60.0,60.0,,,,40.6,0,0,0,0,0,2016,14
Sebastian Janikowski,595,K,1,OAK,0,4,0,0,0,3,60.0,60.0,,,,65.7,0,0,0,0,0,2016,14
Shane Lechler,673,P,1,HST,0,0,0,3,0,6,60.7,,,54.7,,,0,0,0,0,0,2016,14
Julius Peppers,1010,ED,1,GB,0,0,0,0,2,7,60.2,,,,,,0,0,0,0,0,2016,14
Matt Bryant,1223,K,1,ATL,0,0,0,0,0,6,60.0,,,,,65.9,0,0,0,0,0,2016,14
James Harrison,1251,ED,1,PIT,0,0,0,0,3,0,60.2,,,,,,0,0,0,0,0,2016,14
Terence Newman,1321,CB,1,MIN,0,0,0,0,6,0,60.6,,,,,,0,0,0,0,0,2016,14
Jason Witten,1384,TE,1,DAL,0,0,0,0,0,2,60.0,,,,,,0,0,0,0,0,2016,14
Jon Dorenbos,1600,LS,1,PHI,0,0,0,1,0,3,62.6,,,,,,0,0,0,0,0,2016,14
Cullen Jenkins,1637,DI,1,WAS,0,0,0,0,4,0,60.1,,,,,,0,0,0,0,0,2016,14
Vince Wilfork,1742,DI,1,HST,0,0,0,0,4,0,58.9,,,,,,0,0,0,0,0,2016,14
Karlos Dansby,1754,LB,1,CIN,0,0,0,0,2,0,60.0,,,,,,0,0,0,0,0,2016,14
Daryl Smith,1760,LB,1,TB,0,0,0,0,3,0,60.2,,,,,,0,0,0,0,0,2016,14
Donnie Jones,1939,P,1,PHI,0,0,0,2,0,4,60.3,,,59.8,,,0,0,0,0,0,2016,14
