player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Jared Goff,10635,QB,1,LA,70,68,45,66.2,517,7.6,2,3,57.8,58.7,,46.7,2,3,3,1,2,80.3,0,28,2019,4
Aaron Rodgers,2241,QB,1,GB,59,53,34,64.2,422,8.0,2,1,74.8,71.3,72.2,41.0,1,0,2,3,0,93.4,5,22,2019,4
Matt Ryan,4317,QB,1,ATL,60,53,35,66.0,397,7.5,0,0,66.4,64.5,66.1,39.4,5,1,4,4,0,88.3,2,18,2019,4
Jacoby Brissett,10725,QB,1,IND,50,46,24,52.2,265,5.8,3,1,66.6,64.8,64.9,81.0,0,2,5,0,1,82.2,4,15,2019,4
Patrick Mahomes,11765,QB,1,KC,47,42,24,57.1,315,7.5,0,0,69.2,67.9,63.2,80.3,0,0,0,6,1,81.0,5,19,2019,4
Jameis Winston,9434,QB,1,TB,43,41,28,68.3,385,9.4,4,1,75.9,74.3,60.0,79.7,2,1,0,1,2,120.5,0,22,2019,4
Tom Brady,698,QB,1,NE,39,39,18,46.2,150,3.8,0,1,44.4,44.1,60.5,79.7,0,0,2,6,0,45.9,0,5,2019,4
Joe Flacco,4332,QB,1,DEN,38,38,22,57.9,303,8.0,3,1,64.0,63.2,60.0,79.1,0,1,2,3,2,98.9,0,15,2019,4
Andy Dalton,6187,QB,1,CIN,46,37,21,56.8,171,4.6,0,1,54.7,55.9,60.2,31.5,8,0,2,1,0,57.4,1,9,2019,4
Kirk Cousins,7102,QB,1,MIN,42,36,27,75.0,233,6.5,0,0,61.5,60.8,,26.8,6,0,2,1,0,91.6,0,9,2019,4
Kyle Allen,26152,QB,1,CAR,37,34,24,70.6,232,6.8,0,0,46.5,46.4,,16.7,3,1,0,1,0,89.3,0,15,2019,4
Matthew Stafford,4924,QB,1,DET,40,34,21,61.8,291,8.6,3,0,74.8,69.3,78.3,21.5,4,0,0,0,0,118.6,2,18,2019,4
Lamar Jackson,46416,QB,1,BLT,39,34,24,70.6,247,7.3,3,2,80.9,82.3,59.8,31.4,4,1,3,1,0,96.1,1,13,2019,4
Gardner Minshew,41401,QB,1,JAX,39,33,19,57.6,213,6.5,2,0,70.1,69.5,60.0,28.9,5,0,1,1,2,97.2,0,12,2019,4
Dak Prescott,10769,QB,1,DAL,35,33,22,66.7,223,6.8,0,1,66.3,64.5,62.6,78.9,1,0,1,1,1,73.2,1,9,2019,4
Deshaun Watson,11767,QB,1,HST,42,33,21,63.6,160,4.8,0,0,40.5,37.3,69.4,29.9,6,0,0,1,0,75.3,2,8,2019,4
Kyler Murray,38334,QB,1,ARZ,38,32,22,68.8,241,7.5,0,1,61.7,59.3,65.9,79.6,4,0,1,3,0,77.7,2,13,2019,4
Daniel Jones,39395,QB,1,NYG,34,31,23,74.2,225,7.3,1,2,65.0,59.2,82.3,79.7,0,0,1,0,0,78.0,3,15,2019,4
Derek Carr,8671,QB,1,OAK,32,31,21,67.7,189,6.1,2,0,69.4,75.2,41.1,34.1,1,0,3,3,0,105.4,0,11,2019,4
Baker Mayfield,46518,QB,1,CLV,32,30,20,66.7,342,11.4,1,1,77.3,76.2,61.4,78.9,1,2,1,0,0,102.4,1,12,2019,4
Teddy Bridgewater,8667,QB,1,NO,37,30,23,76.7,193,6.4,0,1,73.9,72.1,64.9,79.4,5,1,2,1,0,78.9,2,6,2019,4
Philip Rivers,1725,QB,1,LAC,31,30,24,80.0,310,10.3,2,0,95.7,94.7,60.0,77.7,1,0,0,1,0,131.9,0,15,2019,4
Chase Daniel,5214,QB,1,CHI,32,30,22,73.3,195,6.5,1,0,83.5,88.4,48.9,79.0,1,0,0,1,0,101.4,1,10,2019,4
Josh Allen,46601,QB,1,BUF,35,28,13,46.4,153,5.5,0,3,37.5,37.5,54.5,29.0,4,1,0,2,0,24.0,3,9,2019,4
Russell Wilson,7077,QB,1,SEA,34,28,22,78.6,240,8.6,1,0,63.6,65.0,52.3,27.1,4,0,0,1,0,114.3,2,10,2019,4
Mason Rudolph,46569,QB,1,PIT,28,28,24,85.7,229,8.2,2,0,73.7,74.1,60.5,78.0,0,0,0,1,0,124.6,0,10,2019,4
Marcus Mariota,9435,QB,1,TEN,29,27,18,66.7,227,8.4,3,0,78.0,84.8,41.6,26.3,0,0,1,4,1,129.7,2,10,2019,4
Carson Wentz,10636,QB,1,PHI,29,27,16,59.3,160,5.9,3,0,81.2,80.7,61.9,78.5,0,0,2,0,1,113.2,2,12,2019,4
Josh Rosen,35460,QB,1,MIA,28,24,17,70.8,180,7.5,1,1,53.0,52.7,,26.2,4,0,3,0,0,88.9,0,8,2019,4
Dwayne Haskins,41897,QB,1,WAS,21,17,9,52.9,107,6.3,0,3,36.3,31.1,78.3,75.6,2,1,0,1,0,32.8,2,6,2019,4
Matt Barkley,7880,QB,1,BUF,17,16,9,56.3,127,7.9,0,1,51.9,52.5,,22.0,1,1,1,0,0,56.0,0,5,2019,4
Case Keenum,7323,QB,1,WAS,12,11,6,54.5,37,3.4,0,1,41.9,42.6,,72.4,1,0,0,1,1,23.7,0,1,2019,4
Mitchell Trubisky,11757,QB,1,CHI,3,3,2,66.7,9,3.0,0,0,41.4,42.5,,14.2,0,0,1,0,0,70.1,0,1,2019,4
Jaylen Samuels,47297,HB,1,PIT,3,3,3,100.0,31,10.3,0,0,72.1,63.3,62.4,76.1,0,0,0,0,0,109.7,0,2,2019,4
Odell Beckham Jr.,8647,WR,1,CLV,1,1,0,0.0,0,0.0,0,0,56.9,73.4,,65.7,0,0,0,0,0,39.6,0,0,2019,4
DeAndre Hopkins,7808,WR,1,HST,1,1,0,0.0,0,0.0,0,1,55.8,32.6,,69.5,0,0,0,0,0,0.0,0,0,2019,4
Tyrod Taylor,6332,QB,1,LAC,1,1,1,100.0,7,7.0,0,0,69.3,70.4,59.5,69.4,0,0,0,0,0,95.8,0,1,2019,4
