player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Ben Roethlisberger,1732,QB,1,PIT,70,66,44,66.7,506,7.7,2,0,72.0,70.3,62.6,82.8,3,2,1,0,0,99.7,1,24,2017,14
Eli Manning,1722,QB,1,NYG,46,46,31,67.4,228,5.0,1,2,56.1,55.4,,80.0,0,0,2,1,1,68.0,0,12,2017,14
Brett Hundley,9580,QB,1,GB,51,46,35,76.1,265,5.8,3,0,79.5,72.7,82.3,81.4,1,1,3,2,1,111.2,4,16,2017,14
Matthew Stafford,4924,QB,1,DET,44,44,36,81.8,381,8.7,1,2,69.3,68.2,,80.3,0,0,3,0,0,91.4,0,16,2017,14
Case Keenum,7323,QB,1,MIN,55,44,27,61.4,280,6.4,2,2,88.5,84.9,72.2,81.2,6,0,5,3,1,75.9,5,16,2017,14
Tom Brady,698,QB,1,NE,45,43,24,55.8,233,5.4,1,2,55.5,55.4,,80.5,2,1,1,5,0,59.5,0,9,2017,14
Derek Carr,8671,QB,1,OAK,44,41,24,58.5,211,5.1,1,2,72.0,70.8,,80.3,3,0,2,0,0,60.1,0,10,2017,14
Carson Wentz,10636,QB,1,PHI,45,41,23,56.1,291,7.1,4,1,82.9,82.6,58.3,80.3,1,0,2,0,1,100.8,3,15,2017,14
Jameis Winston,9434,QB,1,TB,42,38,26,68.4,285,7.5,2,2,59.6,56.8,68.3,29.3,3,1,0,1,0,86.0,1,20,2017,14
Jay Cutler,2956,QB,1,MIA,41,38,25,65.8,263,6.9,3,0,75.0,72.3,67.0,80.1,2,1,3,4,0,112.1,1,14,2017,14
Drew Brees,802,QB,1,NO,37,35,26,74.3,271,7.7,2,1,63.5,61.3,62.6,78.8,2,1,0,2,0,103.4,0,16,2017,14
Joe Flacco,4332,QB,1,BLT,36,35,20,57.1,269,7.7,2,1,44.1,44.2,,27.8,1,1,0,2,1,88.9,0,12,2017,14
Alex Smith,2218,QB,1,KC,41,34,20,58.8,268,7.9,0,1,68.1,67.7,59.6,79.9,4,2,3,0,0,71.7,3,13,2017,14
Jimmy Garoppolo,8697,QB,1,SF,36,33,20,60.6,334,10.1,1,1,84.4,85.3,53.8,79.7,2,0,2,0,2,92.2,1,13,2017,14
Mitchell Trubisky,11757,QB,1,CHI,35,32,25,78.1,271,8.5,1,0,89.1,89.6,61.9,79.1,2,1,1,0,0,112.4,1,14,2017,14
Marcus Mariota,9435,QB,1,TEN,35,31,16,51.6,159,5.1,0,2,55.4,54.5,61.6,79.0,3,0,3,0,1,39.6,1,9,2017,14
Philip Rivers,1725,QB,1,LAC,33,31,18,58.1,319,10.3,2,0,92.4,91.5,,78.1,2,1,2,4,1,114.9,0,13,2017,14
Russell Wilson,7077,QB,1,SEA,35,31,17,54.8,271,8.7,3,3,74.6,71.6,64.7,79.7,2,0,2,2,1,76.9,2,7,2017,14
Trevor Siemian,9683,QB,1,DEN,35,31,19,61.3,200,6.5,1,0,77.1,75.6,63.2,78.8,2,0,2,4,0,90.8,2,11,2017,14
Dak Prescott,10769,QB,1,DAL,33,30,20,66.7,332,11.1,3,0,89.7,90.4,56.5,78.8,0,0,4,0,0,137.1,3,13,2017,14
Andy Dalton,6187,QB,1,CIN,31,29,14,48.3,141,4.9,1,1,60.6,60.1,,77.7,2,1,2,2,0,59.7,0,7,2017,14
DeShone Kizer,11807,QB,1,CLV,31,28,20,71.4,214,7.6,3,2,74.7,72.2,64.7,78.0,2,0,0,0,0,99.4,1,13,2017,14
Kirk Cousins,7102,QB,1,WAS,31,27,15,55.6,151,5.6,1,1,55.7,57.9,50.4,77.6,2,0,1,0,0,68.6,2,7,2017,14
Matt Ryan,4317,QB,1,ATL,29,27,15,55.6,221,8.2,1,3,45.3,45.7,55.6,78.9,1,0,3,1,1,55.2,1,11,2017,14
Blake Bortles,8638,QB,1,JAX,28,27,18,66.7,268,9.9,2,0,86.4,85.1,65.2,78.5,0,0,2,0,1,123.7,1,12,2017,14
