player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent,season,week
Adam Vinatieri,226,K,1,IND,63.3,1,1,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2017,4
Phil Dawson,422,K,1,ARZ,70.3,0,0,,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,1,1,100.0,2017,4
Matt Bryant,1223,K,1,ATL,63.2,2,2,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2017,4
Robbie Gould,2607,K,1,SF,74.0,0,0,,0,0,,1,1,100.0,1,1,100.0,3,3,100.0,0,0,,2017,4
Stephen Gostkowski,3063,K,1,NE,79.9,3,3,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,2017,4
Matt Prater,3471,K,1,DET,54.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,0,1,0.0,2017,4
Nick Folk,3794,K,1,TB,32.7,1,2,50.0,0,0,,1,1,100.0,1,1,100.0,0,2,0.0,0,0,,2017,4
Mason Crosby,3809,K,1,GB,65.3,5,5,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2017,4
Stephen Hauschka,4655,K,1,BUF,81.0,2,2,100.0,0,0,,1,1,100.0,0,0,,0,0,,2,2,100.0,2017,4
Connor Barth,4777,K,1,CHI,48.4,2,2,100.0,0,0,,0,0,,0,0,,0,1,0.0,0,0,,2017,4
Ryan Succop,5180,K,1,TEN,62.3,2,2,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2017,4
Graham Gano,5443,K,1,CAR,61.1,3,4,75.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2017,4
Dan Bailey,6796,K,1,DAL,64.5,3,3,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2017,4
Kai Forbath,6860,K,1,MIN,44.9,1,1,100.0,0,0,,0,0,,0,1,0.0,0,0,,0,0,,2017,4
Randy Bullock,7154,K,1,CIN,66.4,4,4,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2017,4
Greg Zuerlein,7163,K,1,LA,74.2,2,2,100.0,0,0,,1,1,100.0,2,2,100.0,4,4,100.0,0,0,,2017,4
Blair Walsh,7167,K,1,SEA,55.3,5,5,100.0,0,0,,0,0,,0,1,0.0,1,1,100.0,0,0,,2017,4
Giorgio Tavecchio,7278,K,1,OAK,62.7,1,1,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2017,4
Justin Tucker,7604,K,1,BLT,61.7,0,0,,0,0,,0,0,,0,0,,1,1,100.0,0,1,0.0,2017,4
Dustin Hopkins,7958,K,1,WAS,73.2,2,2,100.0,1,1,100.0,0,0,,0,0,,1,1,100.0,0,0,,2017,4
Brandon McManus,8437,K,1,DEN,43.1,1,1,100.0,0,0,,1,2,50.0,1,1,100.0,1,1,100.0,0,0,,2017,4
Chris Boswell,8990,K,1,PIT,54.1,2,2,100.0,0,0,,0,0,,1,1,100.0,1,2,50.0,0,0,,2017,4
Chandler Catanzaro,9140,K,1,NYJ,63.2,2,2,100.0,0,0,,1,1,100.0,0,0,,2,3,66.7,0,0,,2017,4
Jason Myers,10207,K,1,JAX,52.5,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,0,0,,0,1,0.0,2017,4
Wil Lutz,11096,K,1,NO,54.2,2,2,100.0,0,0,,0,0,,0,0,,2,3,66.7,0,0,,2017,4
Ka'imi Fairbairn,11161,K,1,HST,59.5,6,7,85.7,0,0,,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,2017,4
Aldrick Rosas,11331,K,1,NYG,48.9,2,2,100.0,0,0,,0,0,,1,1,100.0,0,1,0.0,0,0,,2017,4
Jake Elliott,11908,K,1,PHI,75.5,2,2,100.0,0,0,,0,0,,0,0,,3,3,100.0,1,1,100.0,2017,4
Zane Gonzalez,11979,K,1,CLV,47.8,1,1,100.0,0,0,,0,0,,0,0,,0,1,0.0,0,0,,2017,4
Harrison Butker,11988,K,1,KC,61.8,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,1,2,50.0,0,0,,2017,4
Younghoe Koo,12042,K,1,LAC,64.2,3,3,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2017,4
