player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Cam Newton,6153,QB,1,CAR,48,46,29,63.0,284,6.2,2,1,78.1,72.7,75.3,82.8,0,1,2,0,0,85.8,2,15,2014,6
Blake Bortles,8638,QB,1,JAX,55,46,32,69.6,336,7.3,1,1,72.5,68.7,79.0,81.5,6,1,2,0,0,88.7,3,20,2014,6
Carson Palmer,1317,QB,1,ARZ,45,44,28,63.6,250,5.7,2,0,72.0,73.8,56.2,29.9,1,0,4,3,0,93.9,0,15,2014,6
Andrew Luck,7007,QB,1,IND,50,44,25,56.8,370,8.4,3,1,70.8,67.6,70.5,81.4,3,3,4,2,0,97.7,3,20,2014,6
Mike Glennon,7854,QB,1,TB,49,44,24,54.5,314,7.1,2,1,42.0,42.7,,80.6,5,0,0,3,2,83.0,0,14,2014,6
Geno Smith,7820,QB,1,NYJ,48,43,23,53.5,190,4.4,2,1,62.2,57.9,76.4,30.7,4,2,4,5,0,70.9,1,14,2014,6
Andy Dalton,6187,QB,1,CIN,45,43,33,76.7,323,7.5,2,2,76.7,71.8,72.7,80.8,1,0,1,2,0,93.5,1,19,2014,6
Ben Roethlisberger,1732,QB,1,PIT,45,42,21,50.0,228,5.4,1,1,75.4,74.6,58.3,80.0,2,0,2,0,0,64.4,1,12,2014,6
Aaron Rodgers,2241,QB,1,GB,50,42,24,57.1,264,6.3,3,0,69.7,69.0,61.4,33.4,3,2,3,2,0,99.7,5,18,2014,6
Austin Davis,7305,QB,1,SL,47,42,21,50.0,236,5.6,1,1,39.0,39.5,60.0,80.5,5,0,0,1,0,65.2,0,12,2014,6
Jay Cutler,2956,QB,1,CHI,42,38,26,68.4,381,10.0,1,0,92.3,92.3,58.2,80.5,2,1,2,3,0,109.6,2,16,2014,6
Kyle Orton,2323,QB,1,BUF,43,38,24,63.2,299,7.9,2,1,65.5,64.6,,29.4,5,0,2,1,1,94.1,0,15,2014,6
Kirk Cousins,7102,QB,1,WAS,40,38,24,63.2,354,9.3,2,3,39.3,39.9,,79.5,2,0,5,0,0,78.2,0,15,2014,6
Matt Ryan,4317,QB,1,ATL,41,37,19,51.4,271,7.3,1,1,89.0,86.8,60.0,79.7,4,3,6,0,1,73.1,0,10,2014,6
Teddy Bridgewater,8667,QB,1,MIN,47,37,23,62.2,188,5.1,0,3,53.7,50.6,69.8,33.5,8,0,4,1,1,41.3,2,9,2014,6
Tom Brady,698,QB,1,NE,40,37,27,73.0,361,9.8,4,0,86.3,84.6,63.2,80.3,2,0,0,2,0,139.6,1,13,2014,6
Colin Kaepernick,6188,QB,1,SF,36,35,22,62.9,343,9.8,3,0,72.6,69.7,68.3,79.2,0,0,3,1,0,123.9,1,12,2014,6
Derek Carr,8671,QB,1,OAK,35,34,18,52.9,282,8.3,4,1,72.2,72.1,62.6,28.1,0,2,4,1,2,107.7,1,12,2014,6
Nick Foles,7089,QB,1,PHI,36,34,21,61.8,248,7.3,2,2,56.3,58.6,47.7,78.8,1,0,3,2,0,79.0,1,13,2014,6
Philip Rivers,1725,QB,1,SD,37,34,22,64.7,313,9.2,3,0,71.1,67.4,71.8,79.7,1,0,0,1,0,123.8,2,17,2014,6
Peyton Manning,327,QB,1,DEN,35,33,22,66.7,237,7.2,3,0,76.8,75.2,60.0,78.4,2,0,0,1,0,117.9,0,13,2014,6
Matthew Stafford,4924,QB,1,DET,38,33,19,57.6,185,5.6,1,0,50.0,51.4,55.3,79.3,4,0,3,2,0,83.5,1,9,2014,6
Tony Romo,1693,QB,1,DAL,33,32,21,65.6,250,7.8,2,0,90.0,88.0,60.0,78.7,1,0,1,0,0,110.2,0,13,2014,6
Ryan Tannehill,7014,QB,1,MIA,32,31,20,64.5,247,8.0,2,2,62.6,58.7,71.3,78.9,1,1,1,1,1,83.7,0,13,2014,6
Charlie Whitehurst,3026,QB,1,TEN,32,28,17,60.7,233,8.3,0,0,67.6,67.5,57.8,78.3,3,0,1,5,1,87.4,1,9,2014,6
Joe Flacco,4332,QB,1,BLT,28,28,21,75.0,306,10.9,5,0,93.4,92.5,,77.6,0,0,1,1,0,149.7,0,13,2014,6
Russell Wilson,7077,QB,1,SEA,31,28,14,50.0,126,4.5,0,1,50.6,49.8,61.7,26.8,2,1,1,1,0,47.6,1,5,2014,6
Ryan Fitzpatrick,2467,QB,1,HST,29,23,15,65.2,212,9.2,1,0,66.8,63.7,64.4,26.2,5,0,0,1,2,109.3,1,10,2014,6
Eli Manning,1722,QB,1,NYG,31,23,13,56.5,151,6.6,0,0,39.6,40.8,54.2,26.9,6,0,1,1,1,76.5,2,8,2014,6
Brian Hoyer,5277,QB,1,CLV,18,17,8,47.1,217,12.8,1,0,85.1,84.1,59.2,75.1,1,0,3,2,0,113.0,0,7,2014,6
Ryan Nassib,7892,QB,1,NYG,7,5,4,80.0,60,12.0,0,0,39.6,40.9,,21.1,2,0,1,0,0,116.7,0,2,2014,6
Eric Weddle,3653,S,1,SD,1,1,0,0.0,0,0.0,0,0,60.0,60.0,,60.4,0,0,0,0,0,39.6,0,0,2014,6
