player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
JuJu Smith-Schuster,11817,WR,1,PIT,18,13,72.2,121,1,74.5,74.3,80.0,72.3,,9.3,71,5.5,21,9,0,0,0,1,108.8,0,0,2018,2
Antonio Brown,5718,WR,1,PIT,16,9,56.3,67,0,66.3,67.1,77.3,71.6,,7.4,32,3.6,19,5,0,0,0,4,66.4,1,0,2018,2
Christian McCaffrey,11763,HB,1,CAR,14,14,100.0,102,0,71.0,74.7,80.6,75.9,83.3,7.3,96,6.9,18,6,0,0,0,3,97.0,0,0,2018,2
Allen Robinson II,8696,WR,1,CHI,14,10,71.4,83,0,78.8,76.8,78.0,71.1,,8.3,22,2.2,14,5,0,2,0,1,46.7,0,0,2018,2
Chris Thompson,7936,HB,1,WAS,14,13,92.9,92,0,64.9,71.8,80.0,74.2,80.5,7.1,53,4.1,14,5,0,0,0,1,94.0,0,0,2018,2
Saquon Barkley,45791,HB,1,NYG,14,14,100.0,80,0,61.8,86.6,80.6,77.1,23.6,5.7,100,7.1,18,2,0,0,0,8,90.5,0,0,2018,2
Adam Thielen,8288,WR,1,MIN,13,12,92.3,131,1,82.2,80.6,79.4,71.9,65.1,10.9,27,2.3,25,6,0,0,0,0,134.3,0,0,2018,2
Zach Ertz,7816,TE,1,PHI,13,11,84.6,94,0,66.3,64.6,78.7,71.5,76.6,8.5,23,2.1,34,3,0,0,0,0,96.8,0,0,2018,2
Michael Thomas,10681,WR,1,NO,13,12,92.3,89,2,77.4,78.3,79.4,20.9,,7.4,25,2.1,25,6,0,0,1,1,134.8,1,0,2018,2
Theo Riddick,7980,HB,1,DET,12,9,75.0,47,0,60.3,56.4,38.4,70.6,82.5,5.2,38,4.2,10,2,2,0,0,0,80.9,0,0,2018,2
Davante Adams,8688,WR,1,GB,12,8,66.7,64,1,67.4,66.4,38.7,70.6,,8.0,10,1.3,16,4,2,0,0,0,107.6,1,0,2018,2
Mike Evans,8642,WR,1,TB,12,10,83.3,83,1,78.0,76.6,58.5,19.8,,8.3,8,0.8,16,5,1,0,1,2,123.3,0,0,2018,2
Stefon Diggs,9579,WR,1,MIN,12,9,75.0,128,2,84.7,84.4,78.0,71.7,,14.2,45,5.0,75,5,0,0,0,2,148.6,0,0,2018,2
Golden Tate,5585,WR,1,DET,11,7,63.6,109,0,63.2,64.2,32.2,70.3,,15.6,58,8.3,67,4,2,0,0,2,96.4,0,0,2018,2
Demaryius Thomas,5547,WR,1,DEN,11,5,45.5,18,0,44.4,44.2,29.2,68.0,,3.6,14,2.8,7,0,2,0,0,0,52.5,1,0,2018,2
Quincy Enunwa,8843,WR,1,NYJ,11,7,63.6,92,0,79.8,78.3,75.6,17.7,,13.1,47,6.7,21,5,0,1,1,2,52.1,0,0,2018,2
DeAndre Hopkins,7808,WR,1,HST,11,6,54.5,110,1,80.4,79.3,75.6,69.5,,18.3,21,3.5,31,4,0,1,0,0,81.6,0,0,2018,2
T.Y. Hilton,7092,WR,1,IND,10,7,70.0,83,1,76.4,75.5,75.6,69.5,,11.9,50,7.1,22,4,0,2,0,1,88.8,0,0,2018,2
Michael Crabtree,4933,WR,1,BLT,10,5,50.0,56,0,57.3,57.1,46.3,68.0,,11.2,18,3.6,17,3,1,1,0,0,27.5,0,0,2018,2
Nelson Agholor,9453,WR,1,PHI,10,8,80.0,88,1,74.5,77.0,77.3,72.4,,11.0,52,6.5,50,4,0,0,0,0,136.7,1,0,2018,2
John Brown,8726,WR,1,BLT,10,4,40.0,92,1,66.7,66.2,41.6,67.0,,23.0,9,2.3,45,3,1,1,0,0,67.5,0,0,2018,2
Amari Cooper,9437,WR,1,OAK,10,10,100.0,116,0,79.4,76.9,78.7,71.5,,11.6,38,3.8,30,6,0,0,0,0,115.0,1,1,2018,2
Odell Beckham Jr.,8647,WR,1,NYG,9,4,44.4,51,0,66.0,65.2,72.1,69.0,,12.8,14,3.5,17,4,0,0,0,2,62.7,0,0,2018,2
Devin Funchess,9474,WR,1,CAR,9,7,77.8,77,0,69.7,68.8,75.6,69.5,,11.0,15,2.1,27,5,0,0,0,1,102.3,0,0,2018,2
Will Fuller V,10655,WR,1,HST,9,8,88.9,113,1,88.2,86.5,77.3,70.6,,14.1,15,1.9,39,6,0,0,0,0,155.8,0,0,2018,2
Kenny Golladay,11851,WR,1,DET,9,6,66.7,89,1,77.2,75.1,74.6,68.8,,14.8,26,4.3,30,5,0,0,0,0,135.9,0,0,2018,2
Marvin Jones Jr.,7158,WR,1,DET,9,4,44.4,54,1,63.2,62.6,72.1,67.0,,13.5,25,6.3,19,4,0,0,0,0,101.2,0,0,2018,2
Tyler Boyd,10689,WR,1,CIN,9,6,66.7,91,1,72.9,72.1,74.6,68.8,,15.2,21,3.5,27,4,0,0,0,1,136.8,0,0,2018,2
A.J. Green,6156,WR,1,CIN,9,5,55.6,69,3,74.7,72.4,73.4,68.0,,13.8,33,6.6,32,5,0,0,0,1,119.9,0,0,2018,2
James White,8765,HB,1,NE,8,7,87.5,73,0,72.4,79.3,75.6,72.4,79.8,10.4,55,7.9,27,4,0,0,0,0,104.7,0,0,2018,2
Terrelle Pryor Sr.,6944,WR,1,NYJ,8,4,50.0,84,0,57.2,59.6,28.6,67.0,,21.0,28,7.0,44,3,2,1,0,0,47.9,0,0,2018,2
Robert Woods,7822,WR,1,LA,8,6,75.0,81,0,83.8,84.2,74.6,68.8,69.0,13.5,20,3.3,21,4,0,0,0,0,106.8,1,0,2018,2
Julio Jones,6158,WR,1,ATL,8,5,62.5,64,0,67.2,66.8,45.8,68.0,,12.8,17,3.4,30,3,1,1,0,0,47.9,0,0,2018,2
Jimmy Graham,5619,TE,1,GB,8,6,75.0,95,0,70.8,70.9,75.6,69.5,68.8,15.8,39,6.5,34,3,0,0,0,1,114.1,0,0,2018,2
Travis Kelce,7844,TE,1,KC,8,7,87.5,109,2,90.5,90.8,77.3,70.6,65.9,15.6,18,2.6,31,5,0,0,0,0,158.3,1,0,2018,2
Brandin Cooks,8655,WR,1,LA,8,7,87.5,159,0,87.4,86.2,75.6,69.5,,22.7,50,7.1,57,6,0,1,0,0,79.2,0,0,2018,2
Keelan Cole,51593,WR,1,JAX,8,7,87.5,116,1,85.2,86.2,75.6,69.5,,16.6,37,5.3,24,6,0,0,0,1,158.3,0,0,2018,2
Donte Moncrief,8725,WR,1,JAX,8,4,50.0,34,1,60.5,60.1,29.2,68.0,,8.5,10,2.5,14,2,2,0,0,0,101.0,0,0,2018,2
Taylor Gabriel,9002,WR,1,CHI,7,4,57.1,30,0,54.3,56.6,72.1,70.3,,7.5,20,5.0,9,0,0,0,0,0,67.6,2,0,2018,2
Evan Engram,11778,TE,1,NYG,7,7,100.0,67,1,61.0,59.9,75.6,69.5,9.9,9.6,40,5.7,18,3,0,0,0,0,146.1,0,0,2018,2
Corey Davis,11760,WR,1,TEN,7,5,71.4,55,0,74.2,72.1,73.4,16.0,,11.0,34,6.8,18,2,0,0,1,2,94.3,0,0,2018,2
Kyle Rudolph,6195,TE,1,MIN,7,7,100.0,72,0,69.5,68.6,75.6,69.5,74.3,10.3,43,6.1,23,5,0,0,0,1,109.5,0,0,2018,2
Rashard Higgins,10806,WR,1,CLV,7,5,71.4,47,0,54.0,53.8,45.8,16.0,,9.4,19,3.8,23,2,1,0,1,0,89.6,0,0,2018,2
Torrey Smith,6210,WR,1,CAR,7,3,42.9,33,1,53.9,60.4,70.5,65.8,,11.0,16,5.3,26,2,0,0,0,0,97.0,3,0,2018,2
Tyler Lockett,9502,WR,1,SEA,7,5,71.4,60,1,70.9,70.3,73.4,69.7,,12.0,10,2.0,20,2,0,0,1,0,136.9,0,0,2018,2
Phillip Dorsett,9462,WR,1,NE,7,5,71.4,44,0,63.9,62.2,73.4,68.0,,8.8,11,2.2,19,2,0,0,0,0,87.8,0,0,2018,2
Melvin Gordon III,9448,HB,1,LAC,7,6,85.7,38,2,65.8,82.1,74.6,74.5,68.8,6.3,32,5.3,10,3,0,0,0,0,128.9,0,0,2018,2
Jarius Wright,7118,WR,1,CAR,7,5,71.4,62,1,69.9,68.9,46.3,68.0,,12.4,19,3.8,22,5,1,0,0,0,138.1,0,0,2018,2
Willie Snead IV,8999,WR,1,BLT,7,5,71.4,54,0,61.6,61.3,73.4,68.0,,10.8,29,5.8,19,3,0,0,0,1,93.8,0,0,2018,2
Jarvis Landry,8698,WR,1,CLV,7,5,71.4,69,0,64.7,65.0,73.4,68.0,38.5,13.8,20,4.0,25,3,0,0,0,1,102.7,0,0,2018,2
Ted Ginn Jr.,3625,WR,1,NO,7,4,57.1,55,0,53.2,53.5,72.1,15.0,,13.8,25,6.3,42,1,0,0,1,0,82.4,0,0,2018,2
Sammy Watkins,8639,WR,1,KC,7,6,85.7,100,0,88.3,83.3,74.6,69.8,,16.7,49,8.2,40,5,0,0,0,2,118.8,0,0,2018,2
Chris Godwin,11839,WR,1,TB,6,5,83.3,56,1,87.3,82.9,73.4,68.0,,11.2,8,1.6,17,4,0,0,0,0,145.1,0,0,2018,2
Keenan Allen,7857,WR,1,LAC,6,6,100.0,67,0,75.6,73.6,74.6,70.1,,11.2,32,5.3,16,4,0,0,0,0,113.2,0,0,2018,2
Corey Grant,9827,HB,1,JAX,6,6,100.0,56,0,72.2,86.8,74.6,72.8,68.5,9.3,66,11.0,16,5,0,0,0,3,105.6,0,0,2018,2
Josh Doctson,10656,WR,1,WAS,6,4,66.7,37,0,61.6,59.7,41.6,67.0,,9.3,4,1.0,14,4,1,0,0,0,83.3,0,0,2018,2
Bilal Powell,6278,HB,1,NYJ,6,5,83.3,74,1,72.9,80.7,73.4,72.2,74.8,14.8,47,9.4,28,3,0,0,0,2,157.6,0,0,2018,2
