player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Julius Peppers,1010,ED,1,CAR,30,18,12,0,69.0,69.7,27.6,68.4,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
James Harrison,1251,ED,1,PIT,15,9,2,4,71.9,52.9,35.4,80.6,64.1,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,87.5,0,0,2017,6
Terence Newman,1321,CB,1,MIN,51,0,22,29,70.4,68.1,46.2,,68.7,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,19.0,19.0,0.0,19.0,0.0,0.0,0.0,118.8,0,0,2017,6
Terrell Suggs,1326,ED,1,BLT,57,23,34,0,78.3,77.7,75.6,63.0,60.0,5.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Karlos Dansby,1754,LB,1,ARZ,66,7,21,38,66.1,68.6,78.3,62.5,61.2,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,5.0,4.0,36.0,9.0,13.0,15.0,1.0,0.0,0.0,136.3,0,0,2017,6
Mike Adams,1972,S,1,CAR,62,2,25,35,68.3,56.5,51.6,69.6,68.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0,2.0,22.0,11.0,5.0,17.0,1.0,0.0,0.0,152.1,0,0,2017,6
Thomas Davis Sr.,2231,LB,1,CAR,55,11,24,20,83.1,78.5,79.0,71.6,67.7,2.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Derrick Johnson,2232,LB,1,KC,64,2,37,25,42.4,29.5,36.9,56.9,71.9,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0,0,2017,6
Johnathan Joseph,2969,CB,1,HST,47,0,16,31,95.5,65.7,77.8,,95.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,6.0,2.0,3.0,1.5,3.0,6.0,0.0,2.0,2.0,2.8,0,0,2017,6
Frostee Rucker,3036,DI,1,ARZ,42,28,14,0,55.4,52.9,24.0,59.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Domata Peko Sr.,3068,DI,1,DEN,36,11,25,0,81.5,75.0,43.8,61.8,62.2,1.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Elvis Dumervil,3071,ED,1,SF,15,13,1,1,52.3,60.0,,59.4,60.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Antoine Bethea,3152,S,1,ARZ,49,1,10,38,90.7,72.9,85.1,59.1,85.1,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,0,0,2017,6
Tom Johnson,3378,DI,1,MIN,39,27,12,0,59.2,56.0,,71.5,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,0,2017,6
Tramon Williams,3558,CB,1,ARZ,30,1,6,23,85.9,60.0,72.5,59.1,87.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,41.0,41.0,4.0,41.0,0.0,1.0,0.0,56.3,0,0,2017,6
Brent Grimes,3589,CB,1,TB,63,0,35,28,47.6,45.4,49.6,,49.7,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,5.0,3.0,49.0,16.3,13.0,30.0,0.0,1.0,1.0,53.3,0,0,2017,6
Lawrence Timmons,3631,LB,1,MIA,57,3,18,36,59.6,64.9,64.5,69.0,53.7,0.0,0.0,0.0,0.0,1.0,7.0,2.0,1.0,4.0,0.0,5.0,4.0,40.0,10.0,14.0,22.0,0.0,0.0,0.0,100.0,0,0,2017,6
Reggie Nelson,3637,S,1,OAK,65,0,28,37,55.8,58.8,83.1,,55.9,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,60.4,1,1,2017,6
Alan Branch,3649,DI,1,NE,22,12,10,0,65.1,76.8,69.0,60.3,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,0,2017,6
Paul Posluszny,3650,LB,1,JAX,18,0,14,4,39.0,53.5,,,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Eric Weddle,3653,S,1,BLT,80,0,53,27,60.4,74.5,48.0,,48.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,1.0,2.0,1.0,18.0,18.0,2.0,18.0,0.0,0.0,0.0,81.3,0,0,2017,6
Charles Johnson,3699,ED,1,CAR,43,23,19,1,71.9,66.7,29.8,67.0,60.1,4.0,0.0,0.0,4.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Brandon Mebane,3701,DI,1,LAC,33,15,18,0,55.5,57.9,68.7,53.4,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Brian Robison,3718,ED,1,MIN,41,29,11,1,70.8,60.6,73.0,68.8,60.0,6.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Corey Graham,3784,S,1,PHI,7,1,0,6,78.7,,,59.0,77.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,1.0,39.6,0,0,2017,6
William Gay,3786,CB,1,PIT,21,1,1,19,57.2,60.0,,59.1,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,29.0,29.0,9.0,29.0,0.0,0.0,0.0,70.1,0,0,2017,6
Chris Long,4316,ED,1,PHI,41,30,10,1,78.5,75.8,73.1,68.7,60.0,4.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Aqib Talib,4334,CB,1,DEN,54,0,32,22,62.8,65.1,,,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0,0,2017,6
Calais Campbell,4364,ED,1,JAX,48,21,27,0,79.7,72.6,74.1,72.0,,3.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Tyvon Branch,4414,S,1,ARZ,70,3,21,46,71.3,63.3,66.8,51.1,71.2,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,4.0,43.0,10.8,17.0,21.0,0.0,0.0,1.0,102.5,0,0,2017,6
William Hayes,4417,ED,1,MIA,14,8,6,0,84.0,79.7,73.0,63.6,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Brandon Carr,4454,CB,1,BLT,78,1,51,26,66.4,60.3,72.5,56.9,69.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Erik Walden,4481,ED,1,TEN,41,28,9,4,41.4,51.7,69.9,58.5,44.8,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,16.0,14.0,16.0,0.0,0.0,0.0,118.8,1,0,2017,6
Ahtyba Rubin,4504,DI,1,DEN,8,2,6,0,63.0,62.2,,59.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Wesley Woodyard,4583,LB,1,TEN,58,7,16,35,72.3,63.8,81.3,80.8,64.4,3.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,7.0,6.0,52.0,8.7,44.0,11.0,0.0,0.0,0.0,97.6,0,0,2017,6
Cameron Wake,4907,ED,1,MIA,43,30,12,1,88.9,65.8,73.3,86.8,60.1,6.0,1.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Brian Orakpo,4936,ED,1,TEN,51,27,14,10,53.2,56.7,71.6,47.4,65.3,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,2.0,6.0,0.0,0.0,0.0,91.7,0,0,2017,6
Malcolm Jenkins,4937,S,1,PHI,82,4,22,56,55.9,44.2,29.5,52.6,60.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,5.0,2.0,24.0,12.0,24.0,15.0,0.0,0.0,0.0,55.4,0,0,2017,6
Robert Ayers,4941,ED,1,TB,47,21,26,0,60.1,67.3,69.2,59.7,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,0,2017,6
Vontae Davis,4948,CB,1,IND,69,0,33,36,69.4,74.4,77.8,,65.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,14.0,7.0,6.0,11.0,0.0,0.0,0.0,95.8,0,0,2017,6
Clay Matthews,4949,ED,1,GB,65,33,27,5,63.3,66.6,74.1,66.6,39.8,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,32.0,16.0,35.0,27.0,1.0,0.0,0.0,158.3,0,0,2017,6
Ziggy Hood,4955,DI,1,WAS,43,24,18,1,44.2,49.0,,49.8,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Patrick Chung,4957,S,1,NE,67,1,17,49,72.7,68.1,61.2,58.4,72.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,6.0,3.0,16.0,5.3,8.0,10.0,0.0,0.0,0.0,56.3,0,0,2017,6
Rey Maualuga,4961,LB,1,MIA,16,1,8,7,71.4,53.8,73.2,59.6,78.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,83.3,0,0,2017,6
Darius Butler,4964,S,1,IND,12,1,0,11,49.6,,77.9,58.4,51.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,100.0,1,0,2017,6
Jairus Byrd,4965,S,1,CAR,26,1,5,20,53.2,52.5,78.1,59.1,60.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,79.2,0,0,2017,6
Connor Barwin,4969,ED,1,LA,50,27,17,6,70.8,64.5,45.8,60.4,77.5,2.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Mike Mitchell,4970,S,1,PIT,54,1,13,40,59.3,61.7,54.1,39.4,66.2,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,0,2017,6
Roy Miller,5004,DI,1,KC,10,3,7,0,50.0,53.7,,57.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Lardarius Webb,5011,CB,1,BLT,24,1,10,13,60.7,48.3,29.1,93.7,45.8,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,32.0,16.0,17.0,18.0,0.0,0.0,0.0,118.8,0,0,2017,6
Glover Quin,5035,S,1,DET,37,0,22,15,68.4,66.3,64.3,,64.3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Brice McCain,5112,CB,1,TEN,12,0,2,10,43.4,60.0,76.7,,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0,16.0,9.0,19.0,0.0,0.0,0.0,118.8,0,0,2017,6
Jason McCourty,5127,CB,1,CLV,66,0,33,33,72.3,66.9,72.5,,72.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,19.0,9.5,0.0,16.0,1.0,1.0,0.0,84.0,0,0,2017,6
Captain Munnerlyn,5140,CB,1,CAR,18,6,2,10,72.5,60.0,75.8,53.3,77.6,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0,0,2017,6
Ricky Jean Francois,5168,DI,1,GB,7,4,3,0,42.2,64.8,66.8,55.4,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,0,2017,6
Clinton McDonald,5173,DI,1,TB,25,16,9,0,62.8,58.1,68.4,64.3,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Chris Baker,5188,DI,1,TB,33,8,25,0,75.6,72.8,70.2,85.3,,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,1,2017,6
Steve McLendon,5232,DI,1,NYJ,24,10,14,0,58.7,60.9,70.3,54.1,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Ndamukong Suh,5527,DI,1,MIA,48,31,15,2,68.6,61.0,69.6,62.6,68.5,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Gerald McCoy,5528,DI,1,TB,59,24,35,0,76.2,71.3,69.9,78.8,,4.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
Joe Haden,5532,CB,1,PIT,53,0,12,41,81.7,63.6,76.6,,82.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,87.5,0,0,2017,6
Tyson Alualu,5535,DI,1,PIT,7,5,1,1,67.7,60.2,,65.5,60.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2017,6
