player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent,season,week
Adam Vinatieri,226,K,1,IND,65.1,4,4,100.0,0,0,,2,2,100.0,0,0,,0,0,,0,0,,2018,8
Phil Dawson,422,K,1,ARZ,62.2,1,1,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2018,8
Sebastian Janikowski,595,K,1,SEA,64.5,4,4,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2018,8
Robbie Gould,2607,K,1,SF,62.3,1,1,100.0,0,0,,2,2,100.0,0,0,,0,0,,0,0,,2018,8
Stephen Gostkowski,3063,K,1,NE,54.8,1,1,100.0,0,0,,2,2,100.0,1,1,100.0,1,1,100.0,0,1,0.0,2018,8
Matt Prater,3471,K,1,DET,62.3,2,2,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2018,8
Mason Crosby,3809,K,1,GB,70.8,3,3,100.0,0,0,,0,0,,0,0,,1,1,100.0,1,1,100.0,2018,8
Stephen Hauschka,4655,K,1,BUF,69.9,0,0,,0,0,,0,0,,0,0,,1,1,100.0,1,1,100.0,2018,8
Graham Gano,5443,K,1,CAR,71.8,3,3,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,2018,8
Dan Bailey,6796,K,1,MIN,45.4,2,3,66.7,0,0,,0,0,,0,0,,0,0,,0,0,,2018,8
Randy Bullock,7154,K,1,CIN,60.2,4,5,80.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2018,8
Greg Zuerlein,7163,K,1,LA,74.6,1,1,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2018,8
Justin Tucker,7604,K,1,BLT,63.5,3,3,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2018,8
Dustin Hopkins,7958,K,1,WAS,55.0,2,2,100.0,0,0,,0,0,,1,1,100.0,0,1,0.0,1,1,100.0,2018,8
Brandon McManus,8437,K,1,DEN,46.4,2,2,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,1,0.0,2018,8
Chris Boswell,8990,K,1,PIT,66.7,4,4,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2018,8
Cody Parkey,9030,K,1,CHI,49.9,3,3,100.0,0,0,,0,0,,1,1,100.0,0,1,0.0,0,0,,2018,8
Chandler Catanzaro,9140,K,1,TB,40.8,2,3,66.7,0,0,,1,1,100.0,1,1,100.0,0,0,,0,0,,2018,8
Josh Lambo,10133,K,1,JAX,80.4,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2,2,100.0,2018,8
Jason Myers,10207,K,1,NYJ,63.9,1,1,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2018,8
Wil Lutz,11096,K,1,NO,72.6,3,3,100.0,0,0,,0,0,,0,0,,2,2,100.0,1,1,100.0,2018,8
Ka'imi Fairbairn,11161,K,1,HST,65.9,6,6,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2018,8
Aldrick Rosas,11331,K,1,NYG,63.0,1,1,100.0,0,0,,1,1,100.0,1,1,100.0,0,0,,0,0,,2018,8
Jake Elliott,11908,K,1,PHI,64.4,3,3,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2018,8
Harrison Butker,11988,K,1,KC,48.5,3,4,75.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2018,8
Greg Joseph,22842,K,1,CLV,29.0,0,1,0.0,0,0,,0,0,,1,1,100.0,1,2,50.0,0,0,,2018,8
Daniel Carlson,28121,K,1,OAK,64.5,4,4,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2018,8
Jason Sanders,29578,K,1,MIA,70.9,2,2,100.0,0,0,,0,0,,1,1,100.0,2,2,100.0,0,0,,2018,8
