player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Terrell Suggs,1326,ED,1,ARZ,31,24,5,2,73.5,57.8,27.6,83.1,61.0,2,1,0,1,0,1,0,1,2,1,0,0,0,,0,,0,0,0,0.0,1,0,2019,6
Thomas Davis Sr.,2231,LB,1,LAC,47,0,32,15,80.8,78.4,81.2,,77.6,0,0,0,0,0,6,1,0,5,0,1,1,-2,-2.0,0,-2.0,0,0,0,79.2,1,0,2019,6
Antoine Bethea,3152,S,1,NYG,79,0,33,46,60.3,48.4,34.5,,63.5,0,0,0,0,0,4,1,2,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2019,6
Tramon Williams,3558,CB,1,GB,29,2,5,22,63.9,60.0,79.4,53.2,65.5,1,0,0,1,0,2,0,0,0,0,3,2,15,7.5,2,8.0,0,0,1,78.5,0,0,2019,6
Eric Weddle,3653,S,1,LA,77,0,41,36,78.9,70.7,82.6,,73.3,0,0,0,0,0,5,2,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2019,6
Brandon Mebane,3701,DI,1,LAC,37,13,24,0,71.2,72.7,67.6,52.8,,1,0,0,1,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2019,6
Calais Campbell,4364,DI,1,JAX,51,31,20,0,90.9,92.7,46.6,66.2,,6,0,0,6,0,4,1,1,3,1,0,0,0,,0,,0,0,0,0.0,0,0,2019,6
Brandon Carr,4454,CB,1,BLT,59,0,13,46,50.2,64.4,37.6,,47.8,0,0,0,0,0,3,0,1,1,0,5,3,43,14.3,17,22.0,0,0,0,87.9,1,0,2019,6
Orlando Scandrick,4457,CB,1,PHI,13,0,4,9,58.1,66.0,,,53.1,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0,39.6,0,0,2019,6
Wesley Woodyard,4583,LB,1,TEN,57,6,28,23,53.7,46.8,78.7,85.6,51.8,3,1,1,1,0,5,0,0,3,0,3,3,35,11.7,11,18.0,0,0,0,115.3,0,0,2019,6
Malcolm Jenkins,4937,S,1,PHI,70,4,35,31,69.1,84.7,82.6,51.8,52.3,2,0,0,2,0,7,3,0,4,1,2,1,51,51.0,1,51.0,1,0,0,135.4,0,0,2019,6
Patrick Chung,4957,S,1,NE,8,0,4,4,54.2,57.7,,,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2019,6
Jason McCourty,5127,CB,1,NE,38,0,11,27,55.4,69.7,76.2,,57.9,0,0,0,0,0,3,0,0,1,0,2,2,25,12.5,14,13.0,0,0,0,118.8,1,0,2019,6
Clinton McDonald,5173,DI,1,ARZ,16,11,5,0,51.3,56.0,68.7,53.3,,0,0,0,0,0,1,1,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2019,6
Steve McLendon,5232,DI,1,NYJ,32,18,14,0,58.8,64.0,67.4,50.7,,1,0,0,1,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2019,6
Michael Bennett,5273,DI,1,NE,11,10,0,1,56.3,,,57.1,60.0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2019,6
Ndamukong Suh,5527,DI,1,TB,49,27,22,0,59.3,52.8,71.3,64.9,60.0,1,1,0,0,0,2,1,0,3,0,0,0,0,,0,,0,0,0,0.0,0,0,2019,6
Gerald McCoy,5528,DI,1,CAR,46,36,10,0,81.8,70.9,71.2,74.5,,6,3,1,2,1,0,1,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2019,6
Joe Haden,5532,CB,1,PIT,41,0,13,28,62.7,62.5,29.6,,62.0,0,0,0,0,0,2,0,1,0,0,2,1,20,20.0,3,20.0,0,0,1,85.4,0,0,2019,6
