player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Adam Vinatieri,226,K,1,IND,0,0,0,0,0,7,60.0,,,,,48.8,0,0,0,0,0,2015,12
Phil Dawson,422,K,1,SF,0,0,0,0,0,3,60.0,,,,,68.4,0,0,0,0,0,2015,12
Sebastian Janikowski,595,K,1,OAK,0,5,0,0,0,4,60.0,60.0,,,,63.9,0,0,0,0,0,2015,12
Shane Lechler,673,P,1,HST,0,0,0,4,0,4,60.5,,,62.1,,,0,0,0,0,0,2015,12
Shayne Graham,730,K,1,ATL,0,0,0,0,0,2,60.0,,,,,62.2,0,0,0,0,0,2015,12
Mike Leach,750,LS,1,ARZ,0,0,0,4,0,4,52.3,,,,,,0,0,0,0,0,2015,12
Julius Peppers,1010,ED,1,GB,0,0,0,0,3,0,59.4,,,,,,0,0,0,0,0,2015,12
James Harrison,1251,ED,1,PIT,0,0,0,0,4,0,60.2,,,,,,0,0,0,0,0,2015,12
Kevin Williams,1325,DI,1,NO,0,0,0,0,4,0,59.5,,,,,,0,0,0,0,0,2015,12
Calvin Pace,1334,ED,1,NYJ,0,0,2,0,1,0,60.4,,,,,,0,0,0,0,0,2015,12
Jason Witten,1384,TE,1,DAL,0,0,0,0,0,2,60.0,,,,,,0,0,0,0,0,2015,12
Mike Scifres,1458,P,1,SD,0,0,0,6,0,5,60.7,,,60.5,,,0,0,0,0,0,2015,12
Josh Brown,1520,K,1,NYG,0,3,0,0,0,2,60.0,60.0,,,,62.3,0,0,0,0,0,2015,12
Chris Clemons,1585,ED,1,JAX,0,0,0,0,5,0,59.6,,,,,,0,0,0,0,0,2015,12
Jon Dorenbos,1600,LS,1,PHI,0,0,0,6,0,3,44.5,,,,,,0,0,0,0,0,2015,12
Cullen Jenkins,1637,DI,1,NYG,0,0,0,0,5,0,59.8,,,,,,0,0,0,0,0,2015,12
DeAngelo Hall,1729,CB,1,WAS,0,0,2,0,0,0,60.0,,,,,,0,0,0,0,0,2015,12
Vince Wilfork,1742,DI,1,HST,0,0,0,0,2,0,59.9,,,,,,0,0,0,0,0,2015,12
Benjamin Watson,1753,TE,1,NO,0,0,0,0,0,2,60.0,,,,,,0,0,0,0,0,2015,12
Karlos Dansby,1754,LB,1,CLV,0,0,1,0,5,0,60.2,,,,,,0,0,0,0,0,2015,12
Dwan Edwards,1772,DI,1,CAR,0,0,0,0,2,9,60.4,,,,,,0,0,0,0,0,2015,12
Will Allen,1832,S,1,PIT,0,0,0,1,4,0,59.8,,,,,,0,0,0,0,0,2015,12
Antonio Smith,1856,DI,1,DEN,0,0,2,0,1,0,60.3,,,,,,0,0,0,0,0,2015,12
Andy Lee,1906,P,1,CLV,0,0,0,6,0,6,60.8,,,61.3,,,0,0,0,0,0,2015,12
Donnie Jones,1939,P,1,PHI,0,0,0,6,0,3,60.4,,,61.9,,,0,0,0,0,0,2015,12
Don Muhlbach,2130,LS,1,DET,0,0,0,4,0,7,36.2,,,,,,0,0,0,0,0,2015,12
Wes Welker,2204,WR,1,SL,0,0,1,0,0,0,60.0,,,,60.1,,0,0,0,0,0,2015,12
Thomas Davis Sr.,2231,LB,1,CAR,1,0,0,0,2,0,75.4,,,,,,0,0,0,0,0,2015,12
Logan Mankins,2249,G,1,TB,0,0,0,0,0,4,39.9,,,,,,1,0,0,0,0,2015,12
Mike Nugent,2264,K,1,CIN,0,6,0,0,0,5,60.0,60.0,,,,64.5,0,0,0,0,0,2015,12
Evan Mathis,2296,G,1,DEN,0,0,0,0,0,5,60.7,,,,,,0,0,0,0,0,2015,12
Richie Incognito,2298,G,1,BUF,0,0,0,0,0,3,60.4,,,,,,0,0,0,0,0,2015,12
Dustin Colquitt,2316,P,1,KC,0,0,0,3,0,7,60.8,,,54.4,,,0,0,0,0,0,2015,12
Darren Sproles,2347,HB,1,PHI,0,0,4,0,0,0,60.0,,,,61.2,,0,0,0,0,0,2015,12
Chris Canty,2349,DI,1,BLT,0,0,0,0,6,0,59.7,,,,,,0,0,0,0,0,2015,12
Trent Cole,2363,ED,1,IND,0,0,0,0,4,0,59.8,,,,,,0,0,0,0,0,2015,12
C.J. Mosley,2408,DI,1,MIA,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2015,12
Joe Berger,2424,C,1,MIN,0,0,0,0,0,5,60.4,,,,,,0,0,0,0,0,2015,12
Lorenzo Alexander,2476,ED,1,OAK,4,5,7,4,2,0,58.4,,,,,,0,0,0,0,0,2015,12
Jon Condo,2539,LS,1,OAK,0,0,0,4,0,4,52.3,,,,,,0,0,0,0,0,2015,12
John Denney,2561,LS,1,MIA,0,0,0,8,0,3,50.3,,,,,,0,0,0,0,0,2015,12
Robbie Gould,2607,K,1,CHI,0,4,0,0,0,3,60.0,60.0,,,,62.7,0,0,0,0,1,2015,12
John Kuhn,2686,FB,1,GB,4,0,0,5,0,0,78.7,,,,,,0,0,0,0,0,2015,12
L.P. Ladouceur,2687,LS,1,DAL,0,0,0,3,0,2,55.1,,,,,,0,0,0,0,0,2015,12
Lance Moore,2718,WR,1,DET,0,0,2,0,0,0,60.0,,,,61.0,,0,0,0,0,0,2015,12
Nick Novak,2726,K,1,HST,0,5,0,0,0,4,60.0,60.0,,,,64.5,0,0,0,0,0,2015,12
Erik Pears,2737,T,1,SF,0,0,0,0,0,3,60.4,,,,,,0,0,0,0,0,2015,12
Greg Warren,2831,LS,1,PIT,0,0,0,2,0,4,54.4,,,,,,0,0,0,0,0,2015,12
D'Brickashaw Ferguson,2949,T,1,NYJ,0,0,0,0,0,6,60.4,,,,,,0,0,0,0,0,2015,12
Haloti Ngata,2957,DI,1,DET,0,0,0,0,2,0,59.6,,,,,,0,0,0,0,0,2015,12
Chad Greenway,2962,LB,1,MIN,1,0,0,0,2,0,60.2,,,,,,0,0,0,0,0,2015,12
Antonio Cromartie,2964,CB,1,NYJ,2,0,0,0,3,0,60.1,,59.6,,,,0,0,0,0,0,2015,12
Manny Lawson,2967,LB,1,BUF,0,0,3,3,7,0,60.3,,,,,,0,0,0,0,0,2015,12
D'Qwell Jackson,2979,LB,1,IND,0,0,0,0,4,0,60.1,,,,,,0,0,0,0,0,2015,12
Roman Harper,2988,S,1,CAR,1,0,0,0,2,0,60.1,,,,,,0,0,0,0,0,2015,12
Andrew Whitworth,3000,T,1,CIN,0,0,0,0,0,5,60.7,,,,,,0,0,0,0,0,2015,12
Chris Chester,3001,G,1,ATL,0,0,0,0,0,1,60.0,,,,,,0,0,0,0,0,2015,12
Darryl Tapp,3008,ED,1,DET,3,0,0,0,2,7,59.3,,,,,,0,0,0,0,0,2015,12
Eric Winston,3011,T,1,CIN,0,0,0,0,0,5,60.4,,,,,,0,0,0,0,0,2015,12
James Anderson,3033,LB,1,NO,5,0,4,0,0,0,60.6,,,,,,0,0,0,0,0,2015,12
Jason Hatcher,3037,DI,1,WAS,0,0,0,0,2,0,59.9,,,,,,0,0,0,0,0,2015,12
Jahri Evans,3053,G,1,NO,0,0,0,0,0,2,60.3,,,,,,0,0,0,0,0,2015,12
Jason Avant,3054,WR,1,KC,5,0,0,0,0,0,60.4,,,,,,0,0,0,0,0,2015,12
Will Blackmon,3060,CB,1,WAS,1,4,3,0,2,0,60.2,,,,,,0,0,0,0,0,2015,12
Stephen Gostkowski,3063,K,1,NE,0,4,0,0,0,4,60.0,60.0,,,,76.0,0,0,0,0,0,2015,12
Brandon Marshall,3064,WR,1,NYJ,2,0,0,0,0,0,59.9,,,,,,0,0,0,0,0,2015,12
Domata Peko Sr.,3068,DI,1,CIN,0,0,0,0,1,5,60.3,,,,,,0,0,0,0,0,2015,12
Rob Ninkovich,3080,ED,1,NE,0,0,2,2,5,0,59.8,,,,,,0,0,0,0,0,2015,12
Jeremy Mincey,3136,ED,1,DAL,0,0,0,0,2,0,59.7,,,,,,0,0,0,0,0,2015,12
Kedric Golston,3141,DI,1,WAS,2,0,0,0,2,5,59.9,,,,,,0,0,0,0,0,2015,12
Sam Koch,3148,P,1,BLT,0,0,0,5,0,5,60.6,,,64.2,,,0,0,0,0,0,2015,12
Zach Strief,3155,T,1,NO,0,0,0,0,0,2,60.0,,,,,,0,0,0,0,0,2015,12
Thomas Gafford,3316,LS,1,CHI,0,0,0,8,0,3,37.2,,,,,,0,0,0,0,0,2015,12
Tom Johnson,3378,DI,1,MIN,0,0,0,0,1,0,59.8,,,,,,0,0,0,0,0,2015,12
Tony McDaniel,3423,DI,1,TB,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2015,12
Donald Penn,3459,T,1,OAK,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2015,12
Matt Prater,3471,K,1,DET,0,0,0,0,0,7,60.0,,,,,69.1,0,0,0,0,0,2015,12
Jon Ryan,3493,P,1,SEA,0,0,0,6,0,4,60.6,,,57.7,,,0,0,0,0,0,2015,12
Tramon Williams,3558,CB,1,CLV,0,0,1,0,5,0,60.7,,,,,,0,0,0,0,0,2015,12
Brent Grimes,3589,CB,1,MIA,0,0,4,0,6,0,60.6,,,,69.9,,0,0,0,0,0,2015,12
Ted Ginn Jr.,3625,WR,1,CAR,1,0,3,0,0,0,60.0,,60.0,,60.3,,0,0,0,0,0,2015,12
Lawrence Timmons,3631,LB,1,PIT,0,0,0,0,4,0,59.9,,,,,,0,0,0,0,0,2015,12
Leon Hall,3634,CB,1,CIN,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2015,12
Michael Griffin,3635,S,1,TEN,0,1,0,0,4,0,67.4,,,,,,0,0,0,1,0,2015,12
Reggie Nelson,3637,S,1,CIN,0,6,0,0,1,0,60.9,,,,,,0,0,0,0,0,2015,12
Greg Olsen,3647,TE,1,CAR,1,0,0,0,0,0,60.0,,,,,,0,0,0,0,0,2015,12
Alan Branch,3649,DI,1,NE,0,0,2,0,5,4,60.0,,,,,,0,0,0,0,0,2015,12
Paul Posluszny,3650,LB,1,JAX,0,0,0,0,5,0,60.2,,,,,,0,0,0,0,0,2015,12
Eric Weddle,3653,S,1,SD,1,0,0,0,0,0,60.0,,,,,,0,0,0,0,0,2015,12
David Harris,3663,LB,1,NYJ,2,0,2,0,2,0,60.4,,,,,,0,0,0,0,0,2015,12
