player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Julian Edelman,5156,WR,1,NE,14,7,50.0,73,0,67.0,64.6,52.1,70.6,,10.4,22,3.1,28,3,1,0,0,1,65.5,0,0,2016,14
Demaryius Thomas,5547,WR,1,DEN,14,10,71.4,126,0,85.0,83.1,78.7,71.5,,12.6,27,2.7,34,8,0,0,0,1,99.1,0,0,2016,14
Emmanuel Sanders,5606,WR,1,DEN,14,11,78.6,100,1,75.3,75.8,78.7,71.5,,9.1,34,3.1,17,6,0,0,0,1,120.2,1,0,2016,14
Zach Ertz,7816,TE,1,PHI,12,10,83.3,112,0,84.4,86.0,78.0,71.1,10.9,11.2,46,4.6,29,6,0,1,0,1,70.8,0,0,2016,14
Kenny Britt,4953,WR,1,LA,12,7,58.3,82,0,55.3,58.1,52.1,69.5,,11.7,19,2.7,28,4,1,2,0,0,39.6,1,0,2016,14
T.Y. Hilton,7092,WR,1,IND,11,9,81.8,115,1,75.5,74.3,77.3,70.6,,12.8,10,1.1,35,4,0,0,0,1,140.5,0,0,2016,14
Antonio Brown,5718,WR,1,PIT,11,5,45.5,78,0,75.3,75.9,73.4,73.3,,15.6,36,7.2,40,3,0,1,0,0,31.6,1,1,2016,14
Kenneth Dixon,10768,HB,1,BLT,11,8,72.7,42,1,54.0,43.8,35.3,76.4,44.8,5.3,56,7.0,15,2,2,0,0,4,108.9,1,0,2016,14
Tavon Austin,7789,WR,1,LA,11,7,63.6,62,0,73.0,70.6,52.1,76.8,,8.9,20,2.9,17,5,1,0,0,0,78.6,0,0,2016,14
Doug Baldwin,6615,WR,1,SEA,11,6,54.5,46,0,56.5,56.2,49.2,68.8,,7.7,23,3.8,10,3,1,2,0,0,25.4,0,0,2016,14
