player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Allen Robinson II,8696,WR,1,JAX,14,6,42.9,72,0,68.4,67.9,74.6,16.9,,12.0,17,2.8,22,4,0,0,1,0,59.2,0,0,2016,1
Jordan Matthews,8677,WR,1,PHI,13,7,53.8,114,1,81.4,80.5,31.8,69.5,,16.3,17,2.4,28,6,2,0,0,0,109.1,0,0,2016,1
A.J. Green,6156,WR,1,CIN,13,12,92.3,180,1,92.8,92.2,79.4,71.9,,15.0,75,6.3,54,5,0,0,0,1,144.4,0,0,2016,1
Jason Witten,1384,TE,1,DAL,13,9,69.2,66,0,58.4,62.2,57.0,70.6,72.9,7.3,30,3.3,17,3,1,0,0,0,80.9,0,0,2016,1
Cole Beasley,7330,WR,1,DAL,12,8,66.7,65,0,72.4,71.2,54.5,70.1,,8.1,20,2.5,15,5,1,0,0,1,80.2,0,0,2016,1
Jeremy Kerley,6305,WR,1,SF,11,7,63.6,61,0,71.1,70.0,76.5,72.4,,8.7,25,3.6,18,4,0,0,0,0,78.2,0,0,2016,1
Antonio Brown,5718,WR,1,PIT,11,8,72.7,126,2,90.1,90.4,76.5,70.1,,15.8,8,1.0,29,6,0,0,0,1,150.0,1,0,2016,1
Will Fuller V,10655,WR,1,HST,11,5,45.5,107,1,77.1,76.2,45.8,68.0,,21.4,45,9.0,35,4,1,0,0,2,110.8,0,0,2016,1
Amari Cooper,9437,WR,1,OAK,11,6,54.5,137,0,65.5,64.6,54.9,18.5,,22.8,63,10.5,43,4,1,0,1,1,99.4,0,0,2016,1
Tajae Sharpe,10774,WR,1,TEN,11,7,63.6,76,0,74.5,73.7,75.6,69.5,,10.9,4,0.6,17,5,0,0,0,0,83.9,0,0,2016,1
Tavon Austin,7789,WR,1,LA,11,4,36.4,13,0,48.0,47.2,28.6,73.5,,3.3,13,3.3,5,1,2,1,0,0,7.0,0,0,2016,1
Jordan Reed,7866,TE,1,WAS,10,7,70.0,64,0,64.9,64.9,75.6,69.5,,9.1,30,4.3,14,4,0,1,0,3,47.5,0,0,2016,1
Marvin Jones Jr.,7158,WR,1,DET,10,4,40.0,85,0,62.6,61.9,42.1,67.0,,21.3,31,7.8,32,3,1,0,0,0,70.8,0,0,2016,1
Kelvin Benjamin,8663,WR,1,CAR,10,6,60.0,91,1,70.9,72.7,74.6,68.8,,15.2,28,4.7,17,6,0,1,0,2,83.8,1,0,2016,1
Doug Baldwin,6615,WR,1,SEA,10,9,90.0,92,1,81.8,79.6,77.3,70.6,,10.2,34,3.8,22,7,0,0,0,0,138.3,0,0,2016,1
Stefon Diggs,9579,WR,1,MIN,9,7,77.8,103,0,86.8,87.7,75.6,70.3,,14.7,23,3.3,33,6,0,0,0,1,114.4,0,0,2016,1
Willie Snead IV,8999,WR,1,NO,9,9,100.0,172,1,91.1,89.8,77.3,19.2,,19.1,51,5.7,49,7,0,0,1,1,155.8,0,0,2016,1
Greg Olsen,3647,TE,1,CAR,9,7,77.8,73,0,75.7,76.9,75.6,69.5,51.6,10.4,29,4.1,18,5,0,0,0,0,100.5,0,0,2016,1
T.Y. Hilton,7092,WR,1,IND,9,6,66.7,79,0,75.4,74.3,74.6,70.1,,13.2,11,1.8,32,3,0,0,0,0,94.2,0,0,2016,1
Jordy Nelson,4350,WR,1,GB,9,6,66.7,32,1,66.2,66.6,74.6,68.8,,5.3,19,3.2,8,3,0,0,0,1,109.5,0,0,2016,1
Larry Fitzgerald,1724,WR,1,ARZ,9,8,88.9,81,2,87.6,86.4,76.5,70.1,65.7,10.1,25,3.1,21,6,0,0,0,2,143.8,0,0,2016,1
DeAngelo Williams,2972,HB,1,PIT,9,6,66.7,28,0,64.6,49.7,49.7,79.3,23.3,4.7,36,6.0,14,0,2,0,0,1,70.6,0,0,2016,1
Jamison Crowder,9538,WR,1,WAS,9,6,66.7,58,0,57.0,53.9,74.6,18.1,,9.7,25,4.2,16,2,0,1,1,1,44.9,0,0,2016,1
Steve Smith,837,WR,1,BLT,8,5,62.5,19,0,54.0,54.5,73.4,68.0,,3.8,11,2.2,6,0,0,0,0,0,66.7,1,0,2016,1
Jarvis Landry,8698,WR,1,MIA,8,7,87.5,59,0,69.3,68.4,75.6,70.8,,8.4,40,5.7,28,3,0,0,0,1,97.4,0,0,2016,1
Mohamed Sanu,7084,WR,1,ATL,8,5,62.5,80,1,65.8,63.7,29.8,68.8,,16.0,48,9.6,59,3,2,0,0,1,135.4,0,0,2016,1
Brandin Cooks,8655,WR,1,NO,8,6,75.0,143,2,75.1,73.1,74.6,69.8,,23.8,77,12.8,98,3,0,0,0,0,156.3,0,0,2016,1
Odell Beckham Jr.,8647,WR,1,NYG,8,4,50.0,73,0,70.6,70.0,72.1,67.0,,18.3,17,4.3,45,3,0,0,0,0,81.8,0,0,2016,1
Spencer Ware,7975,HB,1,KC,8,7,87.5,129,0,78.2,92.6,75.6,75.5,,18.4,74,10.6,45,5,0,0,0,3,118.8,0,0,2016,1
Emmanuel Sanders,5606,WR,1,DEN,8,5,62.5,49,0,75.5,73.1,73.4,68.0,,9.8,4,0.8,15,3,0,2,0,0,40.1,0,0,2016,1
Randall Cobb,6216,WR,1,GB,8,6,75.0,57,0,66.3,66.7,75.6,71.8,,9.5,8,1.3,32,3,0,0,0,0,94.3,1,1,2016,1
DeAndre Hopkins,7808,WR,1,HST,8,5,62.5,54,1,69.6,68.6,46.3,68.0,,10.8,0,0.0,23,4,1,1,0,0,82.3,1,0,2016,1
DeSean Jackson,4363,WR,1,WAS,8,6,75.0,102,0,80.0,78.3,74.6,68.8,,17.0,35,5.8,33,5,1,0,0,0,116.7,0,0,2016,1
Kyle Rudolph,6195,TE,1,MIN,8,4,50.0,65,0,72.6,75.6,42.1,81.1,74.1,16.3,30,7.5,21,4,1,0,0,1,77.6,0,0,2016,1
Quincy Enunwa,8843,WR,1,NYJ,8,7,87.5,54,1,71.7,67.9,75.6,69.5,,7.7,28,4.0,23,3,0,0,0,0,134.4,0,0,2016,1
Michael Crabtree,4933,WR,1,OAK,8,7,87.5,87,0,73.9,79.4,54.9,70.1,,12.4,14,2.0,25,6,1,0,0,3,112.0,3,0,2016,1
Eli Rogers,9878,WR,1,PIT,7,6,85.7,59,1,66.0,65.5,74.6,68.8,,9.8,35,5.8,20,3,0,1,0,1,101.8,0,0,2016,1
Travis Benjamin,7100,WR,1,SD,7,7,100.0,32,0,65.5,64.8,75.6,72.0,,4.6,12,1.7,8,2,0,0,0,3,85.7,0,0,2016,1
