player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Keenan Allen,7857,WR,1,LAC,16,13,81.3,183,2,86.4,86.6,80.0,72.9,,14.1,72,5.5,34,8,0,0,0,3,153.9,0,0,2019,3
Darren Waller,9637,TE,1,OAK,14,13,92.9,134,0,86.0,86.0,80.0,72.9,73.0,10.3,63,4.8,30,7,0,0,0,1,106.5,0,0,2019,3
Mike Evans,8642,WR,1,TB,14,8,57.1,190,3,90.6,90.2,76.5,70.1,,23.8,28,3.5,55,7,0,1,0,0,111.6,0,0,2019,3
Tyler Lockett,9502,WR,1,SEA,13,11,84.6,154,1,79.0,77.9,78.7,75.4,,14.0,29,2.6,40,8,0,0,0,0,141.7,0,0,2019,3
Christian Kirk,47546,WR,1,ARZ,12,10,83.3,59,0,59.8,61.3,78.0,73.1,,5.9,42,4.2,13,2,0,0,0,2,87.2,0,0,2019,3
Cooper Kupp,11824,WR,1,LA,12,11,91.7,101,2,82.4,83.3,78.7,71.5,68.1,9.2,41,3.7,22,6,0,0,0,0,141.3,0,0,2019,3
Brandin Cooks,8655,WR,1,LA,12,8,66.7,112,0,76.4,77.4,54.9,70.8,,14.0,23,2.9,23,7,1,1,0,0,61.8,0,0,2019,3
Nelson Agholor,9453,WR,1,PHI,11,8,72.7,50,2,54.2,53.7,76.5,18.5,,6.3,38,4.8,20,2,0,0,1,2,121.2,0,0,2019,3
Josh Gordon,7618,WR,1,NE,11,6,54.5,83,0,59.6,61.4,29.7,69.8,,13.8,24,4.0,28,3,2,0,0,0,79.0,1,0,2019,3
Cole Beasley,7330,WR,1,BUF,10,8,80.0,48,0,69.6,69.3,77.3,70.6,,6.0,24,3.0,10,2,0,1,0,0,47.1,0,0,2019,3
Julian Edelman,5156,WR,1,NE,10,7,70.0,62,1,77.0,76.4,52.1,69.5,,8.9,19,2.7,15,5,1,0,0,1,119.6,0,0,2019,3
T.Y. Hilton,7092,WR,1,IND,10,8,80.0,65,1,80.3,78.2,76.5,70.1,,8.1,21,2.6,26,3,0,0,0,0,127.1,0,0,2019,3
Preston Williams,38855,WR,1,MIA,10,4,40.0,68,0,67.1,66.3,72.1,67.0,,17.0,5,1.3,25,4,0,0,0,0,63.8,0,0,2019,3
Alvin Kamara,11822,HB,1,NO,10,9,90.0,92,1,81.5,91.7,77.3,77.7,76.8,10.2,105,11.7,29,4,0,0,0,6,138.3,1,0,2019,3
Tyler Boyd,10689,WR,1,CIN,10,6,60.0,68,0,75.6,73.1,74.6,68.8,,11.3,25,4.2,26,4,0,1,0,2,40.8,0,0,2019,3
David Johnson,9519,HB,1,ARZ,9,6,66.7,28,1,71.8,62.2,74.6,75.7,76.9,4.7,35,5.8,17,2,0,0,0,1,107.6,0,0,2019,3
Julio Jones,6158,WR,1,ATL,9,8,88.9,128,1,91.7,91.0,76.5,70.1,,16.0,29,3.6,34,7,0,0,0,0,155.8,0,0,2019,3
Delanie Walker,3120,TE,1,TEN,9,7,77.8,64,0,60.9,64.6,75.6,69.5,23.3,9.1,22,3.1,29,3,0,0,0,1,96.3,0,0,2019,3
Dede Westbrook,11865,WR,1,JAX,9,5,55.6,46,0,51.2,52.2,29.2,71.8,,9.2,25,5.0,28,1,2,0,0,0,69.7,0,0,2019,3
Sterling Shepard,10674,WR,1,NYG,9,7,77.8,100,1,81.1,80.8,76.5,71.5,,14.3,44,6.3,36,3,0,0,0,3,150.0,0,0,2019,3
Marvin Jones Jr.,7158,WR,1,DET,9,6,66.7,101,1,90.0,90.6,74.6,68.8,,16.8,16,2.7,27,5,0,0,0,0,141.4,0,0,2019,3
Paul Richardson Jr.,8680,WR,1,WAS,9,8,88.9,83,1,75.0,72.3,76.5,70.1,,10.4,16,2.0,22,5,0,1,0,0,102.5,0,0,2019,3
Adam Humphries,10075,WR,1,TEN,9,6,66.7,93,0,67.5,66.9,49.2,70.3,65.2,15.5,17,2.8,30,5,1,0,0,0,100.7,0,0,2019,3
