player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Adam Vinatieri,226,K,1,IND,0,0,0,0,0,4,60.0,,,,,64.2,0,0,0,0,0,2018,3
Phil Dawson,422,K,1,ARZ,0,3,0,0,0,2,60.0,60.0,,,,62.3,0,0,0,0,0,2018,3
Sebastian Janikowski,595,K,1,SEA,0,4,0,0,0,4,60.0,60.0,,,,67.4,0,0,0,0,0,2018,3
Julius Peppers,1010,ED,1,CAR,0,0,0,0,4,0,59.9,,,,,,0,0,0,0,0,2018,3
Matt Bryant,1223,K,1,ATL,0,0,0,0,0,4,60.0,,,,,64.2,0,0,0,0,0,2018,3
Philip Rivers,1725,QB,1,LAC,0,0,0,0,0,1,60.0,,,,,,0,0,0,0,0,2018,3
Andy Lee,1906,P,1,ARZ,0,0,0,4,0,2,60.2,,,66.0,,,0,0,0,0,0,2018,3
Mike Adams,1972,S,1,CAR,0,0,0,0,4,0,60.1,,,,,,0,0,0,0,0,2018,3
Don Muhlbach,2130,LS,1,DET,0,0,0,2,0,6,64.3,,,,,,0,0,0,0,0,2018,3
Mike Nugent,2264,K,1,OAK,0,5,0,0,0,4,60.0,60.0,,,,68.5,0,0,0,0,0,2018,3
Dustin Colquitt,2316,P,1,KC,0,0,0,2,0,6,60.6,,,59.5,,,0,0,0,0,0,2018,3
Lorenzo Alexander,2476,LB,1,BUF,1,0,0,6,0,0,58.4,,,,,,0,0,0,0,0,2018,3
John Denney,2561,LS,1,MIA,0,0,0,6,0,4,68.8,,,,,,0,0,0,0,0,2018,3
Robbie Gould,2607,K,1,SF,0,0,0,0,0,4,60.0,,,,,47.8,0,0,0,0,0,2018,3
L.P. Ladouceur,2687,LS,1,DAL,0,0,0,6,0,3,73.0,,,,,,0,0,1,0,0,2018,3
Haloti Ngata,2957,DI,1,PHI,0,0,0,0,4,0,59.7,,,,,,0,0,0,0,0,2018,3
Johnathan Joseph,2969,CB,1,HST,0,0,0,0,5,0,60.4,,,,,,0,0,0,0,0,2018,3
