player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Julius Peppers,1010,ED,1,CAR,40,25,15,0,67.8,63.1,,64.9,,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Terrell Suggs,1326,ED,1,BLT,40,17,18,5,65.4,69.2,,54.1,65.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Mike Adams,1972,S,1,CAR,74,0,32,42,63.2,69.1,80.3,,59.3,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,2.0,7.0,0.0,0.0,0.0,95.8,0,0,2018,15
Thomas Davis Sr.,2231,LB,1,CAR,74,2,32,40,59.7,37.5,43.5,69.7,75.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,6.0,0.0,9.0,7.0,52.0,7.4,24.0,28.0,0.0,0.0,1.0,90.7,0,0,2018,15
Darren Sproles,2347,HB,1,PHI,1,0,0,1,60.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Lorenzo Alexander,2476,LB,1,BUF,55,9,25,21,89.3,76.9,67.1,68.0,81.9,2.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,6.0,3.0,19.0,6.3,12.0,20.0,0.0,0.0,1.0,56.9,0,0,2018,15
Haloti Ngata,2957,DI,1,PHI,32,21,11,0,75.6,73.6,68.4,64.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Johnathan Joseph,2969,CB,1,HST,71,0,26,45,73.1,80.2,82.1,,69.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,5.0,0.0,6.0,4.0,22.0,5.5,2.0,7.0,0.0,0.0,1.0,72.9,0,0,2018,15
Frostee Rucker,3036,ED,1,OAK,56,21,34,1,60.8,58.1,28.0,60.4,60.2,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,0,0,2018,15
Domata Peko Sr.,3068,DI,1,DEN,30,13,17,0,76.9,63.4,28.7,60.5,81.6,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,0,2018,15
Kyle Williams,3079,DI,1,BUF,40,23,17,0,74.5,67.5,23.1,70.0,,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Antoine Bethea,3152,S,1,ARZ,67,2,26,39,62.2,48.3,27.5,81.2,63.4,2.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,5.0,4.0,8.0,2.0,7.0,5.0,1.0,0.0,0.0,118.8,0,0,2018,15
Tom Johnson,3378,DI,1,MIN,19,15,4,0,59.6,53.7,66.8,64.4,,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Tramon Williams,3558,S,1,GB,60,1,26,33,70.1,63.2,84.3,60.0,67.7,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,9.0,3.0,9.0,0.0,0.0,0.0,104.2,0,0,2018,15
Brent Grimes,3589,CB,1,TB,75,0,45,30,55.3,69.5,77.3,,47.6,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,9.0,9.0,2.0,9.0,0.0,0.0,0.0,62.5,1,0,2018,15
Eric Weddle,3653,S,1,BLT,50,1,21,28,71.0,54.1,79.8,59.1,73.2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,56.3,0,0,2018,15
Corey Graham,3784,S,1,PHI,76,1,16,59,63.9,38.1,34.0,60.0,69.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Chris Long,4316,ED,1,PHI,51,45,6,0,61.2,60.2,28.1,59.1,60.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Aqib Talib,4334,CB,1,LA,64,0,32,32,74.3,64.6,75.1,,75.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,5.0,132.0,26.4,28.0,50.0,0.0,1.0,0.0,66.7,0,0,2018,15
Calais Campbell,4364,ED,1,JAX,52,32,20,0,79.5,86.1,51.3,61.2,61.4,4.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1,0,2018,15
Brandon Carr,4454,CB,1,BLT,32,0,13,19,72.4,62.0,75.3,,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,,0.0,0.0,1.0,39.6,0,0,2018,15
Orlando Scandrick,4457,CB,1,KC,64,0,17,47,69.3,66.1,77.8,,68.6,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,3.0,15.0,5.0,0.0,10.0,1.0,0.0,0.0,119.8,1,0,2018,15
Wesley Woodyard,4583,LB,1,TEN,53,4,12,37,81.1,76.7,79.6,52.7,75.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,,0.0,,0.0,0.0,1.0,39.6,0,0,2018,15
Cameron Wake,4907,ED,1,MIA,33,20,13,0,70.1,60.5,69.6,69.4,,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Malcolm Jenkins,4937,S,1,PHI,76,6,16,54,65.5,82.2,84.2,54.2,59.4,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,3.0,0.0,6.0,6.0,61.0,10.2,21.0,18.0,0.0,0.0,0.0,109.0,0,0,2018,15
Clay Matthews,4949,ED,1,GB,49,23,23,3,65.9,73.0,72.0,52.9,61.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Ziggy Hood,4955,DI,1,MIA,22,11,11,0,66.2,61.6,69.0,65.4,60.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Patrick Chung,4957,S,1,NE,59,2,25,32,58.8,59.5,78.4,57.0,58.8,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,3.0,2.0,13.0,6.5,0.0,8.0,1.0,0.0,0.0,115.3,0,0,2018,15
Michael Johnson,4993,ED,1,CIN,20,11,9,0,44.5,41.0,24.1,61.4,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Glover Quin,5035,S,1,DET,53,0,31,22,62.2,67.9,47.8,,56.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0,1.0,25.0,25.0,3.0,25.0,0.0,0.0,1.0,95.8,1,1,2018,15
Jason McCourty,5127,CB,1,NE,64,0,26,38,55.0,58.3,60.8,,54.2,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,5.0,4.0,81.0,20.3,29.0,32.0,0.0,0.0,0.0,118.8,0,0,2018,15
Captain Munnerlyn,5140,CB,1,CAR,35,3,11,21,73.5,62.9,82.2,65.9,72.8,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,3.0,36.0,12.0,4.0,21.0,0.0,0.0,2.0,82.1,0,0,2018,15
Ricky Jean Francois,5168,DI,1,DET,29,10,19,0,67.9,68.8,30.6,56.7,,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Clinton McDonald,5173,DI,1,OAK,40,12,27,1,72.5,72.1,73.1,58.7,60.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Steve McLendon,5232,DI,1,NYJ,26,15,11,0,89.7,90.9,71.2,53.5,,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
Michael Bennett,5273,ED,1,PHI,61,47,13,1,64.5,57.3,,63.9,60.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2018,15
