player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Darren McFadden,4318,HB,1,DAL,31,29,152,5.2,1,69.8,67.4,79.8,60.0,54,1.86,22,8,1,0,0,0,2015,7
Marshawn Lynch,3628,HB,1,SEA,28,27,122,4.5,1,77.0,75.0,79.1,60.0,65,2.41,17,8,5,0,0,0,2015,7
Devonta Freeman,8738,HB,1,ATL,29,25,116,4.6,0,75.1,70.1,79.6,60.0,35,1.4,19,8,1,0,0,0,2015,7
Jonathan Stewart,4327,HB,1,CAR,27,24,125,5.2,0,87.4,85.4,78.2,60.0,78,3.25,36,4,5,0,0,0,2015,7
Charcandrick West,9047,HB,1,KC,24,22,110,5.0,1,53.4,59.8,77.9,60.0,64,2.91,36,7,3,0,1,0,2015,7
T.J. Yeldon,9469,HB,1,JAX,25,20,115,5.8,1,75.5,83.0,77.3,60.0,78,3.9,28,4,6,0,0,0,2015,7
Adrian Peterson,3623,HB,1,MIN,23,19,98,5.2,0,66.7,67.8,77.3,60.0,51,2.68,75,5,4,0,0,0,2015,7
Doug Martin,7035,HB,1,TB,19,19,136,7.2,0,83.2,77.4,77.3,,105,5.53,49,5,4,0,0,0,2015,7
Todd Gurley II,9443,HB,1,SL,20,19,128,6.7,2,90.7,90.4,77.5,60.0,110,5.79,48,8,9,0,0,0,2015,7
Chris Johnson,4338,HB,1,ARZ,18,18,122,6.8,1,72.0,70.9,76.8,,96,5.33,62,3,3,0,0,0,2015,7
DeMarco Murray,6223,HB,1,PHI,18,18,65,3.6,0,47.5,57.5,76.9,,37,2.06,11,3,0,0,0,0,2015,7
LeSean McCoy,4976,HB,1,BUF,23,18,68,3.8,0,61.9,68.0,29.9,60.0,39,2.17,17,4,3,1,0,0,2015,7
Arian Foster,5398,HB,1,HST,18,18,59,3.3,1,70.5,68.7,77.3,,49,2.72,11,5,4,0,0,0,2015,7
Chris Ivory,6007,HB,1,NYJ,17,17,41,2.4,0,63.6,60.1,76.6,,27,1.59,7,2,1,0,0,0,2015,7
Le'Veon Bell,7829,HB,1,PIT,19,17,121,7.1,0,70.1,66.7,76.9,60.0,70,4.12,42,4,3,0,0,0,2015,7
Latavius Murray,7962,HB,1,OAK,16,15,85,5.7,1,52.2,55.0,76.4,60.0,31,2.07,24,5,3,0,0,0,2015,7
Khiry Robinson,8514,HB,1,NO,14,14,28,2.0,2,47.5,48.3,75.3,,22,1.57,6,2,3,0,0,0,2015,7
Mark Ingram II,6180,HB,1,NO,19,14,143,10.2,1,77.0,79.7,75.9,60.0,100,7.14,44,7,7,0,0,0,2015,7
Lamar Miller,7097,HB,1,MIA,14,14,175,12.5,1,92.3,91.4,75.8,,146,10.43,85,5,5,0,0,0,2015,7
Jonas Gray,7393,HB,1,MIA,15,12,48,4.0,0,61.1,60.0,74.5,60.0,24,2.0,16,2,2,0,0,0,2015,7
Justin Forsett,4547,HB,1,BLT,13,12,36,3.0,1,55.7,59.7,75.8,60.0,36,3.0,14,2,3,0,0,0,2015,7
Carlos Hyde,8692,HB,1,SF,11,11,40,3.6,0,40.5,42.1,14.8,,31,2.82,13,3,4,1,0,0,2015,7
Antonio Andrews,9014,HB,1,TEN,11,10,57,5.7,0,78.3,77.5,73.3,60.0,24,2.4,17,5,1,0,0,0,2015,7
Charles Sims,8704,HB,1,TB,10,10,49,4.9,0,70.1,77.6,25.9,,34,3.4,13,4,4,1,0,0,2015,7
Jerick McKinnon,8731,HB,1,MIN,10,9,36,4.0,0,66.8,65.3,73.1,60.0,23,2.56,9,2,3,0,0,0,2015,7
Frank Gore,2282,HB,1,IND,9,9,43,4.8,0,58.9,57.6,74.3,,20,2.22,14,1,1,0,0,0,2015,7
Matt Jones,9528,HB,1,WAS,13,9,29,3.2,0,60.0,66.7,73.7,60.0,23,2.56,11,2,3,0,0,0,2015,7
Branden Oliver,9286,HB,1,SD,9,9,35,3.9,0,74.1,75.4,74.5,,30,3.33,15,3,2,0,0,0,2015,7
Orleans Darkwa,9173,HB,1,NYG,8,8,48,6.0,1,76.8,75.8,72.1,,25,3.13,15,2,3,0,0,0,2015,7
Isaiah Crowell,9295,HB,1,CLV,8,8,9,1.1,0,51.0,51.0,72.1,,15,1.88,8,1,1,0,0,0,2015,7
Ameer Abdullah,9487,HB,1,DET,8,8,43,5.4,0,57.7,58.7,74.5,,12,1.5,13,3,0,0,0,0,2015,7
E.J. Manuel,7797,QB,1,BUF,25,5,38,4.8,0,31.6,59.5,24.2,60.2,8,1.0,12,5,0,2,0,0,2015,7
Russell Wilson,7077,QB,1,SEA,38,4,20,2.9,0,70.6,59.7,78.7,60.0,16,2.29,9,2,0,0,0,0,2015,7
Melvin Gordon III,9448,HB,1,SD,7,7,29,4.1,0,66.2,65.0,71.4,,17,2.43,11,4,2,0,0,0,2015,7
Zac Stacy,7942,HB,1,NYJ,7,7,19,2.7,0,54.7,52.4,71.9,,9,1.29,6,0,0,0,0,0,2015,7
Toby Gerhart,5576,HB,1,JAX,11,6,8,1.3,0,49.0,51.3,70.6,60.0,9,1.5,4,2,0,0,0,0,2015,7
Thomas Rawls,9993,HB,1,SEA,6,6,32,5.3,0,53.1,55.8,72.3,,20,3.33,17,1,1,0,0,0,2015,7
Duke Johnson Jr.,9510,HB,1,CLV,6,6,17,2.8,0,67.0,50.6,73.5,,14,2.33,10,0,2,0,0,0,2015,7
Ryan Mathews,5537,HB,1,PHI,6,6,97,16.2,1,75.6,76.5,72.0,,14,2.33,63,2,0,0,0,0,2015,7
Alfred Morris,7165,HB,1,WAS,6,6,5,0.8,0,49.2,49.4,71.1,,8,1.33,5,0,0,0,0,0,2015,7
Andre Ellington,7968,HB,1,ARZ,5,5,21,4.2,0,59.4,57.8,71.4,,9,1.8,6,1,0,0,0,0,2015,7
Ryan Fitzpatrick,2467,QB,1,NYJ,24,0,29,5.8,0,61.4,62.2,29.8,60.0,5,1.0,11,1,0,1,0,0,2015,7
Danny Woodhead,4914,HB,1,SD,5,5,26,5.2,0,71.2,74.4,74.1,60.0,11,2.2,6,2,0,0,0,0,2015,7
Rashad Jennings,5174,HB,1,NYG,8,5,19,3.8,0,69.8,67.3,69.7,60.0,10,2.0,8,0,0,0,0,0,2015,7
Dexter McCluster,5561,HB,1,TEN,6,5,20,4.0,0,63.3,59.7,72.9,60.0,10,2.0,6,0,1,0,0,0,2015,7
