player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Adrian Peterson,3623,HB,1,WAS,24,24,99,4.1,0,65.5,67.9,78.5,,55,2.29,23,6,6,0,0,0,2018,7
Lamar Miller,7097,HB,1,HST,22,22,100,4.5,1,71.6,72.2,77.8,,70,3.18,16,5,2,0,0,0,2018,7
Kerryon Johnson,34455,HB,1,DET,23,19,158,8.3,0,83.9,82.9,77.4,60.0,93,4.89,71,5,5,0,0,0,2018,7
Marlon Mack,11898,HB,1,IND,22,19,126,6.6,1,79.7,76.7,77.4,60.0,51,2.68,23,5,1,0,0,0,2018,7
Nick Chubb,45783,HB,1,CLV,19,18,80,4.4,1,80.7,83.3,77.1,60.0,61,3.39,21,6,3,0,0,0,2018,7
Alvin Kamara,11822,HB,1,NO,25,17,64,3.8,1,72.2,68.6,77.5,56.4,41,2.41,12,4,3,0,0,0,2018,7
Chris Ivory,6007,HB,1,BUF,16,16,81,5.1,0,77.1,80.8,76.4,,73,4.56,21,4,4,0,0,0,2018,7
Ezekiel Elliott,10638,HB,1,DAL,17,15,33,2.2,0,57.1,64.2,76.1,60.0,28,1.87,6,2,0,0,0,0,2018,7
Kareem Hunt,11841,HB,1,KC,19,15,86,5.7,1,91.4,90.6,76.5,60.0,72,4.8,21,6,6,0,0,0,2018,7
Latavius Murray,7962,HB,1,MIN,17,15,69,4.6,2,66.7,68.2,76.6,60.0,36,2.4,38,2,3,0,0,0,2018,7
Todd Gurley II,9443,HB,1,LA,18,15,63,4.2,2,64.5,67.2,76.3,60.0,52,3.47,18,4,3,0,0,0,2018,7
Saquon Barkley,45791,HB,1,NYG,18,14,43,3.1,1,66.5,67.0,77.1,60.0,42,3.0,15,4,0,0,0,0,2018,7
David Johnson,9519,HB,1,ARZ,16,14,39,2.8,0,73.1,61.0,75.8,60.0,42,3.0,10,2,2,0,0,0,2018,7
Phillip Lindsay,12660,HB,1,DEN,17,14,90,6.4,1,76.0,76.2,78.2,60.0,57,4.07,28,3,2,0,0,0,2018,7
Royce Freeman,45747,HB,1,DEN,13,13,37,2.8,1,64.5,64.0,74.7,,53,4.08,9,2,1,0,0,0,2018,7
Dion Lewis,6301,HB,1,TEN,16,13,91,7.0,0,90.2,90.6,76.0,60.0,68,5.23,36,3,8,0,0,0,2018,7
Joe Mixon,11803,HB,1,CIN,13,13,50,3.8,0,51.3,57.5,75.4,,28,2.15,20,3,2,0,0,0,2018,7
Malcolm Brown,9902,HB,1,LA,16,13,65,5.0,0,72.0,70.8,74.9,60.0,51,3.92,10,4,3,0,0,0,2018,7
Jordan Howard,10784,HB,1,CHI,12,12,39,3.3,1,56.6,55.0,74.9,,21,1.75,6,2,0,0,0,0,2018,7
Austin Ekeler,12164,HB,1,LAC,14,12,42,3.5,0,57.2,58.0,75.5,60.0,35,2.92,11,2,1,0,0,0,2018,7
Mark Ingram II,6180,HB,1,NO,15,12,32,2.7,0,53.6,55.8,74.8,60.0,26,2.17,8,2,1,0,0,0,2018,7
Derrick Henry,10679,HB,1,TEN,12,12,33,2.8,1,65.5,61.0,75.2,60.0,25,2.08,7,2,0,0,0,0,2018,7
T.J. Yeldon,9469,HB,1,JAX,13,12,28,2.3,0,56.9,54.8,75.5,60.0,30,2.5,6,0,0,0,0,0,2018,7
Tevin Coleman,9506,HB,1,ATL,11,11,50,4.5,1,50.4,56.0,74.4,,21,1.91,30,3,1,0,0,0,2018,7
Isaiah Crowell,9295,HB,1,NYJ,14,11,29,2.6,0,56.2,59.2,74.5,60.0,20,1.82,10,1,1,0,0,0,2018,7
Alex Collins,10805,HB,1,BLT,17,11,38,3.5,0,60.6,60.5,74.6,60.0,31,2.82,9,1,3,0,0,0,2018,7
Peyton Barber,10927,HB,1,TB,13,11,30,2.7,0,57.6,65.1,74.7,60.0,26,2.36,12,2,1,0,0,0,2018,7
James White,8765,HB,1,NE,11,11,40,3.6,0,74.2,69.3,75.7,,17,1.55,8,2,1,0,0,0,2018,7
LeGarrette Blount,5863,HB,1,DET,10,10,50,5.0,1,61.0,61.1,73.8,,19,1.9,13,4,0,0,0,0,2018,7
Jameis Winston,9434,QB,1,TB,25,3,55,5.5,1,72.2,75.1,44.7,60.0,57,5.7,14,4,5,2,0,0,2018,7
Frank Gore,2282,HB,1,MIA,12,10,29,2.9,0,54.1,58.8,73.6,60.0,17,1.7,6,2,1,0,1,0,2018,7
Kenjon Barner,7963,HB,1,NE,11,10,36,3.6,0,62.4,63.1,73.3,60.0,15,1.5,7,1,2,0,0,0,2018,7
Alfred Morris,7165,HB,1,SF,9,9,25,2.8,0,70.8,71.9,72.7,,21,2.33,6,2,0,0,0,0,2018,7
Wendell Smallwood,10787,HB,1,PHI,9,9,32,3.6,0,65.8,65.3,73.9,,22,2.44,10,3,2,0,0,0,2018,7
Alfred Blue,8816,HB,1,HST,14,8,28,3.5,0,54.6,51.3,72.1,69.3,19,2.38,7,1,1,0,0,0,2018,7
Corey Clement,12253,HB,1,PHI,9,8,6,0.8,0,37.2,30.3,20.6,60.0,12,1.5,4,1,0,1,0,0,2018,7
Spencer Ware,7975,HB,1,KC,8,8,59,7.4,0,71.0,63.4,73.2,,24,3.0,34,2,3,0,0,0,2018,7
Raheem Mostert,9783,HB,1,SF,9,7,59,8.4,0,67.1,65.1,73.0,60.0,29,4.14,16,4,1,0,0,0,2018,7
Cam Newton,6153,QB,1,CAR,14,4,49,7.0,0,74.0,69.4,80.5,60.0,24,3.43,14,2,2,0,1,0,2018,7
Deshaun Watson,11767,QB,1,HST,33,3,13,1.9,0,55.8,57.1,78.3,60.0,22,3.14,4,1,0,0,1,0,2018,7
Christian McCaffrey,11763,HB,1,CAR,14,7,29,4.1,0,63.6,61.7,73.6,59.1,9,1.29,15,2,1,0,0,0,2018,7
Marcus Mariota,9435,QB,1,TEN,28,2,38,5.4,0,73.2,77.3,79.6,60.0,40,5.71,11,2,5,0,1,0,2018,7
Ito Smith,45932,HB,1,ATL,9,7,16,2.3,0,64.2,58.9,72.3,60.0,10,1.43,6,1,0,0,0,0,2018,7
Kenyan Drake,10707,HB,1,MIA,7,6,72,12.0,1,51.1,65.5,72.4,60.0,21,3.5,54,1,1,0,0,0,2018,7
Mitchell Trubisky,11757,QB,1,CHI,19,0,81,13.5,1,51.7,90.9,81.7,60.0,51,8.5,39,5,2,0,1,0,2018,7
Tarik Cohen,11874,HB,1,CHI,9,6,14,2.3,0,69.5,47.4,74.5,59.6,9,1.5,5,0,0,0,0,0,2018,7
Blake Bortles,8638,QB,1,JAX,13,1,30,5.0,0,34.5,29.8,15.5,60.0,27,4.5,10,3,0,2,0,0,2018,7
Ronald Jones,34001,HB,1,TB,8,6,13,2.2,1,60.3,59.7,71.1,60.0,15,2.5,9,1,2,0,0,0,2018,7
Sam Darnold,29048,QB,1,NYJ,22,4,18,3.0,1,47.0,65.4,33.4,60.0,22,3.67,10,4,2,2,0,0,2018,7
Jordan Wilkins,26618,HB,1,IND,10,6,46,7.7,0,74.9,68.8,72.5,60.0,35,5.83,18,3,2,0,0,0,2018,7
Taysom Hill,12112,QB,1,NO,22,6,35,5.8,0,75.2,73.2,69.7,70.8,15,2.5,11,3,1,1,0,0,2018,7
Dak Prescott,10769,QB,1,DAL,17,1,33,5.5,1,73.6,64.1,22.9,60.0,3,0.5,14,4,0,2,0,0,2018,7
Bilal Powell,6278,HB,1,NYJ,5,5,20,4.0,0,58.1,57.6,70.3,,2,0.4,11,2,0,0,0,0,2018,7
Chase Edmonds,45851,HB,1,ARZ,5,5,9,1.8,0,59.4,57.9,71.4,,8,1.6,6,1,0,0,0,0,2018,7
Nyheim Hines,48103,HB,1,IND,6,5,47,9.4,0,67.2,69.1,70.9,60.0,19,3.8,18,3,1,0,0,0,2018,7
Matt Breida,12271,HB,1,SF,5,5,15,3.0,0,29.4,35.3,16.7,,4,0.8,7,1,0,1,0,0,2018,7
Alex Smith,2218,QB,1,WAS,29,1,16,4.0,0,61.3,48.8,77.4,60.0,6,1.5,6,0,1,1,0,0,2018,7
Baker Mayfield,46518,QB,1,CLV,20,1,43,10.8,0,72.1,53.4,29.5,60.0,25,6.25,35,1,1,1,0,0,2018,7
Josh Adams,45662,HB,1,PHI,6,4,17,4.3,0,69.4,68.4,68.6,60.0,13,3.25,9,0,1,0,0,0,2018,7
Case Keenum,7323,QB,1,DEN,30,3,4,1.0,0,74.7,66.5,77.6,60.0,0,0.0,7,1,0,0,0,0,2018,7
