player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
David Johnson,9519,HB,1,ARZ,34,33,113,3.4,0,64.1,60.8,81.2,60.0,56,1.7,14,7,4,0,0,0,2016,7
Matt Forte,4358,HB,1,NYJ,32,30,100,3.3,1,56.2,51.8,30.0,60.0,69,2.3,15,4,0,1,0,0,2016,7
Jay Ajayi,9582,HB,1,MIA,30,28,214,7.6,1,82.8,79.4,80.0,60.0,128,4.57,53,11,9,0,0,0,2016,7
Jacquizz Rodgers,6297,HB,1,TB,27,26,154,5.9,0,78.4,77.6,79.1,60.0,122,4.69,45,5,6,0,0,0,2016,7
DeMarco Murray,6223,HB,1,TEN,26,25,107,4.3,1,62.5,61.2,78.8,60.0,49,1.96,14,7,3,0,0,0,2016,7
LeGarrette Blount,5863,HB,1,NE,25,24,127,5.3,2,64.1,64.3,78.3,60.0,56,2.33,25,8,6,0,0,0,2016,7
Melvin Gordon III,9448,HB,1,SD,23,22,68,3.1,2,67.3,66.7,78.5,72.6,47,2.14,13,5,3,0,0,0,2016,7
Le'Veon Bell,7829,HB,1,PIT,22,21,81,3.9,0,64.6,68.6,28.7,60.0,51,2.43,12,4,3,1,0,0,2016,7
Latavius Murray,7962,HB,1,OAK,20,18,59,3.3,2,50.7,55.1,77.1,60.0,36,2.0,10,4,1,0,0,0,2016,7
Devontae Booker,10770,HB,1,DEN,19,17,83,4.9,1,76.8,74.9,25.4,60.0,56,3.29,12,5,1,1,0,0,2016,7
Giovani Bernard,7818,HB,1,CIN,17,17,80,4.7,1,60.8,62.0,76.4,,33,1.94,17,4,0,0,0,0,2016,7
Spencer Ware,7975,HB,1,KC,21,17,77,4.5,0,81.4,66.0,76.6,60.0,43,2.53,12,5,3,0,0,0,2016,7
Frank Gore,2282,HB,1,IND,20,17,61,3.6,0,58.3,51.8,77.1,60.0,25,1.47,10,5,0,0,0,0,2016,7
C.J. Anderson,8101,HB,1,DEN,16,16,107,6.7,1,76.6,75.6,75.8,,52,3.25,19,6,1,0,0,0,2016,7
Mark Ingram II,6180,HB,1,NO,17,16,62,3.9,0,66.0,64.5,25.6,60.0,47,2.94,7,2,3,1,0,0,2016,7
Christine Michael,7843,HB,1,SEA,17,16,52,3.3,0,54.6,53.4,76.4,60.0,28,1.75,10,4,0,0,0,0,2016,7
Todd Gurley II,9443,HB,1,LA,17,15,57,3.8,0,59.6,55.1,76.9,60.0,28,1.87,8,2,0,0,0,0,2016,7
Devonta Freeman,8738,HB,1,ATL,17,15,58,3.9,0,68.6,68.6,76.5,60.0,29,1.93,15,4,1,0,0,0,2016,7
Ryan Mathews,5537,HB,1,PHI,15,14,56,4.0,0,49.2,47.6,23.3,60.0,29,2.07,20,3,2,1,0,0,2016,7
Rashad Jennings,5174,HB,1,NYG,14,13,25,1.9,1,51.2,46.7,75.2,60.0,15,1.15,5,2,0,0,0,0,2016,7
Isaiah Crowell,9295,HB,1,CLV,17,12,63,5.3,1,63.6,71.2,75.4,59.5,31,2.58,21,5,1,0,0,0,2016,7
Chris Thompson,7936,HB,1,WAS,13,12,73,6.1,0,61.6,55.9,75.9,60.0,30,2.5,16,5,1,0,0,0,2016,7
Peyton Barber,10927,HB,1,TB,13,12,84,7.0,1,66.6,65.4,74.3,60.0,24,2.0,44,3,1,0,0,0,2016,7
Matt Asiata,6432,HB,1,MIN,16,12,55,4.6,0,54.7,63.3,75.9,60.0,21,1.75,29,3,2,0,0,0,2016,7
Jerick McKinnon,8731,HB,1,MIN,11,11,43,3.9,0,56.2,55.8,74.1,,27,2.45,9,1,0,0,0,0,2016,7
Alfred Blue,8816,HB,1,HST,12,11,63,5.7,0,63.7,64.1,21.9,60.0,27,2.45,17,2,0,1,0,0,2016,7
DuJuan Harris,6595,HB,1,SF,12,11,39,3.5,0,64.3,57.5,75.0,60.0,31,2.82,18,2,3,0,0,0,2016,7
Lamar Miller,7097,HB,1,HST,11,11,61,5.5,0,58.4,57.8,74.6,,20,1.82,25,2,0,0,0,0,2016,7
Ka'Deem Carey,8752,HB,1,CHI,11,10,48,4.8,0,63.6,61.6,73.6,60.0,33,3.3,24,2,1,0,0,0,2016,7
Matt Jones,9528,HB,1,WAS,12,10,27,2.7,0,47.9,49.2,20.7,60.0,22,2.2,7,4,1,1,0,0,2016,7
Ty Montgomery,9527,HB,1,GB,10,9,60,6.7,0,76.2,75.5,75.7,60.0,55,6.11,30,2,4,0,0,0,2016,7
Colin Kaepernick,6188,QB,1,SF,22,3,84,9.3,0,42.3,63.9,19.2,60.0,15,1.67,17,5,3,2,0,0,2016,7
Jeremy Hill,8690,HB,1,CIN,9,9,168,18.7,1,85.2,82.5,73.4,,125,13.89,74,5,4,0,0,0,2016,7
Zach Zenner,9761,HB,1,DET,9,9,29,3.2,1,45.6,47.8,73.3,,15,1.67,9,2,0,0,0,0,2016,7
Tevin Coleman,9506,HB,1,ATL,8,8,64,8.0,1,70.8,69.8,72.5,,16,2.0,30,3,1,0,0,0,2016,7
LeSean McCoy,4976,HB,1,BUF,9,8,11,1.4,0,53.0,51.6,72.1,60.0,19,2.38,4,0,1,0,0,0,2016,7
Justin Forsett,4547,HB,1,DET,8,8,33,4.1,0,51.4,51.5,72.9,,12,1.5,9,1,1,0,0,0,2016,7
Terrance West,8729,HB,1,BLT,9,8,10,1.3,0,61.4,61.4,72.7,60.0,15,1.88,5,0,0,0,0,0,2016,7
Jordan Howard,10784,HB,1,CHI,7,7,22,3.1,0,56.7,58.3,71.4,,15,2.14,11,1,2,0,0,0,2016,7
Tyrod Taylor,6332,QB,1,BUF,16,1,35,5.0,1,74.9,54.0,79.4,60.0,34,4.86,10,2,2,0,1,0,2016,7
Kevin Hogan,10796,QB,1,CLV,16,5,104,14.9,1,61.8,77.0,78.3,60.0,18,2.57,28,5,1,0,1,0,2016,7
Mike Davis,9559,HB,1,SF,8,7,21,3.0,1,52.9,53.0,71.4,60.0,12,1.71,8,3,0,0,0,0,2016,7
T.J. Yeldon,9469,HB,1,JAX,8,6,24,4.0,0,62.0,65.2,71.1,60.0,18,3.0,15,1,1,0,0,0,2016,7
Duke Johnson Jr.,9510,HB,1,CLV,9,6,15,2.5,0,49.9,41.1,73.4,59.9,9,1.5,5,0,0,0,0,0,2016,7
Ryan Tannehill,7014,QB,1,MIA,37,2,21,3.5,0,65.8,59.9,78.2,60.0,16,2.67,13,2,2,0,0,0,2016,7
Mike Gillislee,7946,HB,1,BUF,6,5,20,4.0,0,63.5,63.6,69.7,60.0,10,2.0,20,1,0,0,0,0,2016,7
Tim Hightower,4463,HB,1,NO,5,5,39,7.8,0,57.7,57.2,70.3,,13,2.6,13,3,0,0,0,0,2016,7
Chris Ivory,6007,HB,1,JAX,6,5,48,9.6,0,54.1,59.9,18.3,60.0,11,2.2,42,1,0,1,0,0,2016,7
Randall Cobb,6216,WR,1,GB,17,5,21,4.2,0,72.1,59.6,74.1,58.7,18,3.6,14,2,1,0,0,0,2016,7
Andrew Luck,7007,QB,1,IND,22,3,17,3.4,0,90.4,50.0,80.7,60.0,0,0.0,9,1,0,0,0,0,2016,7
Tom Brady,698,QB,1,NE,26,2,13,2.6,0,86.5,62.7,78.1,60.0,8,1.6,5,3,0,0,0,0,2016,7
Blake Bortles,8638,QB,1,JAX,13,2,33,6.6,0,39.8,59.9,81.3,60.0,10,2.0,17,2,0,0,1,1,2016,7
Carson Wentz,10636,QB,1,PHI,26,5,1,0.2,0,45.0,29.9,22.3,60.0,1,0.2,6,1,0,3,0,0,2016,7
DeAndre Washington,10777,HB,1,OAK,7,5,16,3.2,0,57.7,64.4,70.3,60.0,10,2.0,6,1,0,0,0,0,2016,7
Damien Williams,9205,HB,1,MIA,5,4,16,4.0,1,66.7,65.5,68.6,60.0,14,3.5,12,1,2,0,0,0,2016,7
Bilal Powell,6278,HB,1,NYJ,4,4,18,4.5,0,66.0,66.7,68.6,,14,3.5,9,1,0,0,0,0,2016,7
Paul Perkins,10783,HB,1,NYG,4,4,12,3.0,0,64.9,64.5,69.4,,4,1.0,10,2,0,0,0,0,2016,7
Alex Smith,2218,QB,1,KC,26,2,7,1.8,0,71.6,62.6,77.1,60.0,0,0.0,6,1,0,0,0,0,2016,7
Rex Burkhead,7971,HB,1,CIN,4,4,23,5.8,0,82.0,75.2,69.4,,26,6.5,11,2,2,0,0,0,2016,7
Rob Kelley,11090,HB,1,WAS,5,4,15,3.8,0,72.4,68.8,69.4,60.0,11,2.75,5,2,0,0,0,0,2016,7
Derek Carr,8671,QB,1,OAK,32,3,4,1.0,0,79.2,53.1,79.5,60.0,0,0.0,5,0,0,0,0,0,2016,7
Wendell Smallwood,10787,HB,1,PHI,4,4,13,3.3,0,43.8,47.1,68.6,,3,0.75,4,0,0,0,0,0,2016,7
Charcandrick West,9047,HB,1,KC,5,4,5,1.3,0,40.6,44.9,69.4,60.0,5,1.25,2,0,0,0,1,0,2016,7
Kirk Cousins,7102,QB,1,WAS,29,3,15,5.0,1,65.8,34.2,22.3,60.0,1,0.33,19,1,0,3,0,0,2016,7
Darren Sproles,2347,HB,1,PHI,6,3,26,8.7,0,56.9,58.0,71.4,59.9,18,6.0,17,1,1,0,0,0,2016,7
Aaron Ripkowski,9639,FB,1,GB,10,3,8,2.7,0,62.3,54.2,68.2,55.4,6,2.0,4,0,0,0,0,0,2016,7
Benny Cunningham,8283,HB,1,LA,3,3,4,1.3,0,59.7,55.9,72.1,,3,1.0,2,0,0,0,0,0,2016,7
Arian Foster,5398,HB,1,MIA,3,3,5,1.7,0,44.4,52.1,68.2,,5,1.67,3,1,0,0,0,0,2016,7
Jamize Olawale,7572,FB,1,OAK,17,3,12,4.0,0,50.1,54.5,67.2,48.5,6,2.0,6,1,0,0,0,0,2016,7
Matt Ryan,4317,QB,1,ATL,25,2,8,2.7,0,67.7,51.1,79.5,60.0,0,0.0,7,1,0,0,0,0,2016,7
Brock Osweiler,7059,QB,1,HST,23,1,16,5.3,0,30.8,44.8,18.3,60.2,17,5.67,10,0,0,3,0,0,2016,7
Eli Manning,1722,QB,1,NYG,20,2,-2,-1.0,0,50.9,60.0,79.0,60.0,0,0.0,0,0,0,0,0,0,2016,7
Tyreek Hill,10799,WR,1,KC,12,2,23,11.5,0,86.9,59.9,68.9,60.2,10,5.0,18,1,1,0,0,0,2016,7
